CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,You got it.,,,DLC04DialogueSettlement_AaronVendor
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Let's see what you've got.,Alright.,,,DLC04DialogueSettlement_AaronVendor
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Let's see what you've got.,Sure.,,,DLC04DialogueSettlement_AaronVendor
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Let's see what you've got.,Okay.,,,DLC04DialogueSettlement_AaronVendor
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Whatever you want.,,,DLC04DialogueSettlement_AaronVendor
Scene,SceneDialogue,Custom,,Player Default: You'll see a lot of hard-working people forced to peddle stolen goods to the travelers who come from all over the wasteland.,"We do all the work, then the gangs reap the rewards. Pretty sweet setup, at least for you.",,,DLC04DialogueSettlement_AaronFirstScene
Scene,SceneDialogue,Custom,,,"But I guess it doesn't really matter what I think, does it? As long as I'm wearing this collar, I'm no better than a slave.","Player Default: Hey, it's not my fault things are like this. I just got here.",,DLC04DialogueSettlement_AaronFirstScene
Scene,SceneDialogue,Custom,,"Player Default: Why do I have to pay for this stuff? I'm the Overboss, remember?","Like any market, this place needs caps to run. Whether it's for payoffs, bribes, you name it.",,,DLC04DialogueSettlement_AaronVendor
Scene,SceneDialogue,Custom,,,"I don't mean any offense, boss. It's just the way things run around here.","AaronCorbett: Like any market, this place needs caps to run. Whether it's for payoffs, bribes, you name it.",Apologetic,DLC04DialogueSettlement_AaronVendor
Scene,SceneDialogue,Custom,,Player Default: Nothing like that. I'm just having a look around.,Yeah? Let me tell you what you're going to see.,,,DLC04DialogueSettlement_AaronFirstScene
Scene,SceneDialogue,Custom,,,You'll see a lot of hard-working people forced to peddle stolen goods to the travelers who come from all over the wasteland.,"AaronCorbett: We do all the work, then the gangs reap the rewards. Pretty sweet setup, at least for you.",,DLC04DialogueSettlement_AaronFirstScene
Scene,SceneDialogue,Custom,,"Player Default: Lose the atittude, or lose something a lot more valuable.","Sorry. I know you didn't ask for this. It's just hard not to be bitter, you know?","AaronCorbett: We do all the work, then the gangs reap the rewards. Pretty sweet setup, at least for you.","Contrite, a little nervous / Nervous",DLC04DialogueSettlement_AaronFirstScene
Scene,SceneDialogue,Custom,,"Player Default: Lose the atittude, or lose something a lot more valuable.","If I seem a little salty today, it's just because of how things work around here.","AaronCorbett: We do all the work, then the gangs reap the rewards. Pretty sweet setup, at least for you.",,DLC04DialogueSettlement_AaronFirstScene
Scene,SceneDialogue,Custom,,Player Default: Damn right. You should thank me. It's not every day I wander out to visit the peasants.,"For a second there, I thought you might be making a joke. Hell, I even considered laughing.",,Sardonic humor,DLC04DialogueSettlement_AaronFirstScene
