CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: He did mention that Jake stole his sword and joined The Forged.,"Well, at least he mentioned him. That's a good sign.",Abigail: The two of them were at it again and Jake must have taken off to that Ironworks like he was going on about.,Relieved,DN121_AbigailPostIntro
Scene,SceneDialogue,Custom,,Player Default: Not really. He mentioned him but said that Jake was dead to him.,Abraham... Oooh I am gonna wring his neck.,Abigail: The two of them were at it again and Jake must have taken off to that Ironworks like he was going on about.,"angry that your husband didn't mention that the sword he hired you to retrieve was stolen by their son. trying to remain calm, but still seething. / Angry",DN121_AbigailPostIntro
Scene,SceneDialogue,Custom,,Player Default: I wasn't listening that closely to his rambling.,"Yeah, that sounds like Abe.",Abigail: The two of them were at it again and Jake must have taken off to that Ironworks like he was going on about.,Irritated,DN121_AbigailPostIntro
Scene,SceneDialogue,Custom,,Player Default: You mean Jake?,"Yeah, my youngest, Jake. I guess I shouldn't call him a boy though. That's probably part of the problem.",Abigail: The two of them were at it again and Jake must have taken off to that Ironworks like he was going on about.,Nervous,DN121_AbigailPostIntro
Scene,SceneDialogue,Custom,,"Player Default: Well, at least he mentioned him. That's a good sign.",The two of them were at it again and Jake must have taken off to that Ironworks like he was going on about.,,"Quiet, but still clearly angry at Abraham / Conspiratorial",DN121_AbigailPostIntro
Scene,SceneDialogue,Custom,,,"Don't bring it up to Abraham, but if you find my boy, you bring him home. I'll get the two of them sorted out.",,"Quiet and conspiratorial, but very obvious that she is totally pissed off. / Conspiratorial",DN121_AbigailPostIntro
Scene,SceneDialogue,Custom,,Jake: Here goes nothing.,"Abraham, what's going on? Is that my boy come home?",Daniel: What? Jake's back? Oh thank god.,Worried,DN121_AbrahamJakeReconcile
Scene,SceneDialogue,Custom,,Jake: I didn't- I don't want to hurt anybody.,Abraham Francis Finch that is enough!,Jake: Mama it-,Disgust,DN121_AbrahamJakeReconcile
Scene,SceneDialogue,Custom,,Abraham: I don't care what you thought. I told you-,"Shut up Jake. If I hear anything out of either of you, you'll both be peeling potatoes for the next year.",,Angry,DN121_AbrahamJakeReconcile
Scene,SceneDialogue,Custom,,,I have watched you two go at it for years and tried to let you sort it out for yourselves.,,Stern,DN121_AbrahamJakeReconcile
Scene,SceneDialogue,Custom,,,"Abraham, your son is a grown man and if you expect him to act like one then you'd better stop treating him like a child.",,Defiant,DN121_AbrahamJakeReconcile
Scene,SceneDialogue,Custom,,,"Jake, your father and I have been out there and we know it can be dangerous. We just want to make sure you are prepared.",,Relieved,DN121_AbrahamJakeReconcile
Scene,SceneDialogue,Custom,,,"There. It's over. And if I hear another word about it from either of you, so help me...",,Stern,DN121_AbrahamJakeReconcile
Scene,SceneDialogue,Custom,,"Player Default: Yeah, here you go.","Great, here's your caps.",,,DialogueFinchFarmWorkReward
Scene,SceneDialogue,Custom,,Player Default: Not right now.,"Another time, maybe.",,,DialogueFinchFarmWorkReward
Scene,SceneDialogue,Custom,,Player Default: Maybe another time.,I'll make it worth your while. Here you go.,,,DialogueFinchFarmWorkReward
Scene,SceneDialogue,Custom,,Player Default: How much did you say?,"Two caps an ear. So, what do you say?","Player Default: Yeah, here you go.",,DialogueFinchFarmWorkReward
Scene,SceneDialogue,Custom,,,I found that busted-up old radio you gave Jake for his twelfth birthday.,,,DialogueFinchAbigailAbraham_JakeDeadScene
Scene,SceneDialogue,Custom,,,Took me an hour to stop crying over it.,"Abraham: Oh, Abbey...",,DialogueFinchAbigailAbraham_JakeDeadScene
Scene,SceneDialogue,Custom,,"Abraham: Oh, Abbey...",How could we let it happen? How could we fail our own son so completely?,"Abraham: We did the best we could by him, but Jake was a grown man and he made his decision.",Tormented,DialogueFinchAbigailAbraham_JakeDeadScene
Scene,SceneDialogue,Custom,,"Abraham: I know it's hard, but we can't go on blaming ourselves.",I just don't see how I'll ever be able to forgive myself.,"Abraham: I know, Abbey. I know.",Tormented,DialogueFinchAbigailAbraham_JakeDeadScene
Scene,SceneDialogue,Custom,,,"Abraham Finch, just how big do you plan to let that junk pile of yours get?","Abraham: Woman, I must've told you a dozen times by now, if it gets too big, I'll start a new pile down by the razorgrain patch.",A nagging wife,DialogueFinchAbigailAbrahamScene
Scene,SceneDialogue,Custom,,"Abraham: Woman, I must've told you a dozen times by now, if it gets too big, I'll start a new pile down by the razorgrain patch.","That's what you said last year, when your pile was half that big.",,Nagging wife,DialogueFinchAbigailAbrahamScene
Scene,SceneDialogue,Custom,,,"What I want to know is, how big is too big? Because I'm thinking it's too big already.","Abraham: Fine, fine. I'll get to moving it when my day ain't filled from sun-up to sun-down with all the other work that goes on around here.",,DialogueFinchAbigailAbrahamScene
Scene,SceneDialogue,Custom,,"Abraham: Fine, fine. I'll get to moving it when my day ain't filled from sun-up to sun-down with all the other work that goes on around here.","Oh, why do I even bother.",,Nagging wife,DialogueFinchAbigailAbrahamScene
Scene,SceneDialogue,Custom,,Abraham: Where'd you put those fusion cells I set out the other day?,"I put them back in your junk pile, dear.",,,DialogueFinchAbrahamAbigailScene
Scene,SceneDialogue,Custom,,,You know the rule. Anything that ain't on the workbench is fair game when I'm cleaning.,"Abraham: Well couldn't you have asked me first, woman?",,DialogueFinchAbrahamAbigailScene
Scene,SceneDialogue,Custom,,Abraham: I had to dig around in that pile for two hours straight to find those damn things!,"Really? If I had to stop and ask about every piece of scrap you left laying around, I'd need a week just to tidy up the house!",,Annoyed,DialogueFinchAbrahamAbigailScene
Scene,SceneDialogue,Custom,,,"That's why we made that rule in the first place. And I might remind you, Abraham Lowell Finch, that you agreed to it!","Abraham: Alright, alright! I get the point, woman.",,DialogueFinchAbrahamAbigailScene
Scene,SceneDialogue,Custom,,"Abraham: Alright, alright! I get the point, woman.",Hmph. I'll believe it when I see it.,,Annoyed,DialogueFinchAbrahamAbigailScene
Scene,SceneDialogue,Custom,,Daniel: We got enough caps to get me a new pair of boots?,Why? The ones you got on don't look so bad.,,Dismissive,DialogueFinchAbigailDanielScene
Scene,SceneDialogue,Custom,,,I'm sure they've got another couple of months on 'em at least.,"Daniel: Easy for you to say, you ain't wearin' 'em.",Dismissive,DialogueFinchAbigailDanielScene
Scene,SceneDialogue,Custom,,"Daniel: The soles are coming off. Sometimes they flap so bad when I walk, it sounds like someone's clapping at me.",Well maybe they're just showin' their appreciation for all the hard work you do.,"Daniel: That's very funny, but I'm being serious here. I might as well go barefoot for all the trouble these things cause me.",Playful sarcasm,DialogueFinchAbigailDanielScene
Scene,SceneDialogue,Custom,,"Daniel: That's very funny, but I'm being serious here. I might as well go barefoot for all the trouble these things cause me.","Well, I'll see what we've got. It ain't much, but it might be enough.",Daniel: That's all I need to hear.,Resigned,DialogueFinchAbigailDanielScene
Scene,SceneDialogue,Custom,,,"Are my eyes playing tricks on me, or did that scrap heap of yours get about ten pieces of junk larger since last week?","Abraham: What uh... what makes you think that, sweetheart?",Accusing,DialogueFinchAbigailAbraham2Scene
