CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Greeting,,,"Hey, you!","Abraham: Oh sorry, thought you might be one of those Forged maniacs, but you don't have the burns.",Shouting at a trespasser. / Angry,DN121_IntroAbraham
Scene,SceneDialogue,Custom,,Abraham: Here's something for your help.,I know this wasn't really Minutemen business. But I'm still mighty grateful. You can count on my help down the line.,Abraham: Keep the sword. Gotta move on and it'll just remind us of him.,Grateful,DN121_AbrahamReward
Miscellaneous,Miscellaneous,SharedInfo,,"Player Default: I- I understand. Thank you for... well, thank you for trying.",Here's something for your help.,Abraham: I know this wasn't really Minutemen business. But I'm still mighty grateful. You can count on my help down the line.,"Down trodden, you just found out your son died or isn't coming back / Apologetic",DN121_AbrahamReward
Scene,SceneDialogue,Custom,,"Player Default: I- I understand. Thank you for... well, thank you for trying.","Here, it's everything we agreed to.",Abraham: I know this wasn't really Minutemen business. But I'm still mighty grateful. You can count on my help down the line.,"Down trodden, you just found out your son died or isn't coming back / InPain",DN121_AbrahamReward
Scene,SceneDialogue,Custom,,Abraham: I know this wasn't really Minutemen business. But I'm still mighty grateful. You can count on my help down the line.,Keep the sword. Gotta move on and it'll just remind us of him.,,Somber,DN121_AbrahamReward
Scene,SceneDialogue,Custom,,"Abraham: Here's the caps we agreed on, plus a bit for helping my boy.",I think you should hang onto that sword. It'd put a smile on Granddad's face to know it was being used to help people.,,Grateful,DN121_AbrahamRewardJakeLives
Scene,SceneDialogue,Custom,,"MaleBoston: Hey, you!","Oh sorry, thought you might be one of those Forged maniacs, but you don't have the burns.","Abraham: A group of them took over the old ironworks, and they'll shoot ya as soon as look at ya.",Surprised,DN121_IntroAbraham
Scene,SceneDialogue,Custom,,MaleBoston: You're back huh?,You uh... did you.. what happened with Jake?,Player Default: He made his choice. It's over.,Worried,DN121_AbrahamReward
Scene,SceneDialogue,Custom,,MaleBoston: You're back huh?,So uh.. what... what happened with Jake?,Player Default: He made his choice. It's over.,"He wants to know if his son was killed, but isn't sure if he really wants to know. / Worried",DN121_AbrahamReward
Scene,SceneDialogue,Custom,,Player Default: He made his choice. It's over.,"I- I understand. Thank you for... well, thank you for trying.",Abraham: Here's something for your help.,Sad,DN121_AbrahamReward
Scene,SceneDialogue,Custom,,Player Default: He's dead. That's what happens to raiders.,Goddamn. I'd hoped he'd come around when he realized what that life meant but I...,Abraham: Here's something for your help.,Depressed,DN121_AbrahamReward
Scene,SceneDialogue,Custom,,"Player Default: He changed his mind in the end, but it was too late to help him.","Not much consolation, but... at least he didn't hurt anyone.",Abraham: Here's something for your help.,Relieved,DN121_AbrahamReward
Scene,SceneDialogue,Custom,,"Player Default: He changed his mind in the end, but it was too late to help him.",Well that's something. Maybe getting a fresh start'll be what he needs.,Abraham: Here's something for your help.,Relieved,DN121_AbrahamReward
Scene,SceneDialogue,Custom,,"Player Default: He changed his mind in the end, but it was too late to help him.","Look, you don't need to spare my feelings. I- I knew what the outcome was likely to be when he ran off.",Abraham: Here's something for your help.,Disbelief,DN121_AbrahamReward
Scene,SceneDialogue,Custom,,Player Default: Does it really matter to you any more?,... No. I guess not.,Abraham: Here's something for your help.,Depressed,DN121_AbrahamReward
Scene,SceneDialogue,Custom,,Daniel: What? Jake's back? Oh thank god.,What the...,,Disbelief,DN121_AbrahamJakeReconcile
Scene,SceneDialogue,Custom,,,Boy I told you that if you ever showed your face here again I'd-,"Jake: Papa, please. I- I know I screwed up pretty big.",Stern,DN121_AbrahamJakeReconcile
Scene,SceneDialogue,Custom,,Abigail: Abraham Francis Finch that is enough!,I don't care what you thought. I told you-,Jake: Mama it-,Request Retake. About to start into a big rant when his wife cuts him off. Second line should be ramping up on anger. / Angry,DN121_AbrahamJakeReconcile
Scene,SceneDialogue,Custom,,MaleBoston: She's right. I've been a fool. There's no way I can thank you enough.,"Here's the caps we agreed on, plus a bit for helping my boy.",Abraham: I think you should hang onto that sword. It'd put a smile on Granddad's face to know it was being used to help people.,Grateful,DN121_AbrahamRewardJakeLives
Scene,SceneDialogue,Custom,,"Abraham: Oh sorry, thought you might be one of those Forged maniacs, but you don't have the burns.","A group of them took over the old ironworks, and they'll shoot ya as soon as look at ya.",Player Default: I'm with the Minutemen. Tell me what happened and maybe I can help.,Defiant,DN121_IntroAbraham
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I'm with the Minutemen. Tell me what happened and maybe I can help.,"Well, I'll be jiggered. Didn't really expect anybody to come.","Abraham: That bastard son of mine, Jake, snuck out in the middle of the night to join them.",Surprised,DN121_IntroAbraham
Scene,SceneDialogue,Custom,,Player Default: I'm with the Minutemen. Tell me what happened and maybe I can help.,Least I can do. Might as well save you the trouble they've caused me.,"Abraham: That bastard son of mine, Jake, snuck out in the middle of the night to join them.",Friendly,DN121_IntroAbraham
Scene,SceneDialogue,Custom,,Player Default: It takes a lot more than a bunch of punks to scare me.,"Maybe that's because you ain't got a farm and a family to think about. Even so, those guys are serious.","Abraham: That bastard son of mine, Jake, snuck out in the middle of the night to join them.",Concerned / Concerned,DN121_IntroAbraham
Scene,SceneDialogue,Custom,,"Player Default: To think, the ironworks used to be such a nice place.","Look, I'm being serious here. These guys don't mess around.","Abraham: That bastard son of mine, Jake, snuck out in the middle of the night to join them.",Concerned / Concerned,DN121_IntroAbraham
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Who are the Forged?,Bunch a trumped up raiders. Obsessed with fire and metal.,"Abraham: That bastard son of mine, Jake, snuck out in the middle of the night to join them.",Disgust,DN121_IntroAbraham
Scene,SceneDialogue,Custom,,"Player Default: Well, I'll be jiggered. Didn't really expect anybody to come.","That bastard son of mine, Jake, snuck out in the middle of the night to join them.",,Irritated / Angry,DN121_IntroAbraham
Scene,SceneDialogue,Custom,,,He grabbed my granddad's old sword. It's the closest thing I've got to an heirloom.,"Abraham: If you really are with the Minutemen and you want to help, well, it would mean a lot to me if you could get that sword back.",Irritated / Irritated,DN121_IntroAbraham
Scene,SceneDialogue,Custom,,"Player Default: Well, I'll be jiggered. Didn't really expect anybody to come.",What do you say? Can you get my Granddad's sword back for me?,Player Default: I already cleared that place out. I've got your sword right here.,Question,DN121_IntroAbraham
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I already cleared that place out. I've got your sword right here.,What? Really?,Player Default: He made his choice. It's over.,Surprised,DN121_IntroAbraham
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I already cleared that place out. I've got your sword right here.,You're doing me a big favor and I'll make it up to you as best as I can.,,Grateful,DN121_IntroAbraham
Scene,SceneDialogue,Custom,,"Player Default: You mean, this sword right here?","If I were younger I would. Look, if you happen across my sword, I'd pay to have it back.",,,DN121_IntroAbraham
Scene,SceneDialogue,Custom,,Player Default: I already cleared that place out. I've got your sword right here.,I see what you're getting' at. 200 caps if you can bring it back for me.,Player Default: I already cleared that place out. I've got your sword right here.,Thinking,DN121_IntroAbraham
Scene,SceneDialogue,Custom,,Player Default: I already cleared that place out. I've got your sword right here.,"Alright, alright. How's 250 caps sound?",Player Default: I already cleared that place out. I've got your sword right here.,Impressed,DN121_IntroAbraham
Scene,SceneDialogue,Custom,,Player Default: I already cleared that place out. I've got your sword right here.,You want my shirt while you're at it? Fine. 400 but not a single cap more.,Player Default: I already cleared that place out. I've got your sword right here.,Disbelief,DN121_IntroAbraham
