CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Preston: Take care, Codsworth.","I'll head for home, then. Good luck.",,,COMPrestonFollowStartScene
Miscellaneous,Miscellaneous,SharedInfo,,,"Good luck, General. I hope you find your son.",,Concerned,
Scene,SceneDialogue,Custom,,"Ada: Once I'm in the robot workbench, just install the Radar Beacon and I'll do the rest.",Shall I go with you? Or meet you there?,"Player Default: Yes, come with me.",Question,DLC01MQ02_2600_AdaWorkbench
Scene,SceneDialogue,Custom,,"Player Default: Yes, come with me.",Let's be on our way.,,Neutral,DLC01MQ02_2600_AdaWorkbench
Scene,SceneDialogue,Custom,,Player Default: Never mind.,I will do my best to make my way there when you're ready.,,Neutral,DLC01MQ02_2600_AdaWorkbench
Scene,SceneDialogue,Custom,,Player Default: I'll meet you there.,Right. I will be on my way then.,,Neutral,DLC01MQ02_2600_AdaWorkbench
Scene,SceneDialogue,Custom,,Player Default: What would you prefer?,"I would prefer to accompany you. While I could make my way there myself, it would be more efficient for us to travel together.","Player Default: Yes, come with me.",Neutral,DLC01MQ02_2600_AdaWorkbench
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Good. The installation should be simple.,"Once I'm in the robot workbench, just install the Radar Beacon and I'll do the rest.",Ada: Shall I go with you? Or meet you there?,Confident,DLC01MQ02_2600_AdaWorkbench
Scene,SceneDialogue,Custom,,Player Default: Good. The installation should be simple.,"Once I'm in the robot workbench, just install the Radar Beacon and I'll do the rest.",Ada: Shall I go with you? Or meet you there?,Confident,DLC01MQ02_2600_AdaWorkbench
Scene,SceneDialogue,Custom,,"Player Default: Finally, we have an advantage.","Perhaps, but it isn't quite that simple.",Ada: The encryption on the source signal is complex but not beyond solving.,Neutral,DLC01MQ02_2900_AdaInstalled
Scene,SceneDialogue,Custom,,Player Default: Another Robobrain? Who cares.,We care. Allow me to explain.,Ada: The encryption on the source signal is complex but not beyond solving.,Neutral,DLC01MQ02_2900_AdaInstalled
Scene,SceneDialogue,Custom,,Player Default: Which means the one I destroyed isn't the only Robobrain under the Mechanist's control.,"Yes, and we can use this to our advantage.",Ada: The encryption on the source signal is complex but not beyond solving.,Neutral,DLC01MQ02_2900_AdaInstalled
Scene,SceneDialogue,Custom,,Player Default: And this is important because?,I will explain.,Ada: The encryption on the source signal is complex but not beyond solving.,Neutral,DLC01MQ02_2900_AdaInstalled
Scene,SceneDialogue,Custom,,Player Default: It had this strange device on it.,Let's have a look.,,Neutral,DLC01MQ02_2400_AdaBeaconCompanion
Scene,SceneDialogue,Custom,,Player Default: Just this piece of junk.,Even junk may hold a purpose.,,Neutral,DLC01MQ02_2400_AdaBeaconCompanion
Scene,SceneDialogue,Custom,,"Player Default: Yeah, it had this interesting tech.",Intriguing. Let's examine it.,,Neutral,DLC01MQ02_2400_AdaBeaconCompanion
Scene,SceneDialogue,Custom,,Player Default: Have you seen a robot with a brain like that before?,"No, but my old caravan discovered records about them while we were scavenging military facilities.",,Neutral,DLC01MQ02_2400_AdaBeaconCompanion
Scene,SceneDialogue,Custom,,,"According to my data banks, it's called the ""Robobrain.""",,Neutral,DLC01MQ02_2400_AdaBeaconCompanion
Scene,SceneDialogue,Custom,,,"It was considered one of the most technologically superior robots ever constructed, but the model never reached full production status.",Player Default: It had this strange device on it.,Neutral,DLC01MQ02_2400_AdaBeaconCompanion
Scene,SceneDialogue,Custom,,"Ada: You'll need to use a robot workbench to ensure proper installation, and my presence will be required.","In order to maximize our time efficiency, perhaps I should accompany you now?","Player Default: Yes, come with me.",Question,DLC01MQ02_2400_AdaBeaconNotCompanion
