CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"NPCMAlanBinet: Ah, it's you. You're finally with us.",I'd just like to apologize for any... trouble... our synths may have caused for you on your way here.,,"Genuinely apologetic, abashed",DialogueInstituteAlanFirstGreetingScene
Scene,SceneDialogue,Custom,,,"They of course couldn't be told of your identity, and they have very specific protocols for protecting themselves and Institute interests...",,Sincerely contrite,DialogueInstituteAlanFirstGreetingScene
Scene,SceneDialogue,Custom,,,"Most of which I designed myself. Not to make problems for you, though. I, err, will you be staying with us, then?","Player Default: Yes, of course.","Sincerely contrite, a bit embarrassed",DialogueInstituteAlanFirstGreetingScene
Scene,SceneDialogue,Custom,,"Player Default: Yes, of course.","Ah, good. Shaun is most pleased, I'm sure. He's been quite anxious to have you with us.","AlanBinet: If you require anything, especially as it pertains to synths, please let me know.","Excited, upbeat",DialogueInstituteAlanFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: Not a chance.,"No? I... hmm. Well, I'm sure Shaun is... quite disappointed.",,"Surprised, uncertain, not what you expected",DialogueInstituteAlanFirstGreetingScene
Scene,SceneDialogue,Custom,,,I do hope you reconsider.,"AlanBinet: If you require anything, especially as it pertains to synths, please let me know.","Disappointed, emphasis on ""do""",DialogueInstituteAlanFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: I'm thinking it over.,Well I hope you do decide to stay. It would mean a great deal to Shaun.,"AlanBinet: If you require anything, especially as it pertains to synths, please let me know.","Hopeful, serious",DialogueInstituteAlanFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: What's it to you?,"Oh, forgive me, I realize... well, I understand that's somewhat personal. It would just mean a great deal to Shaun.","AlanBinet: If you require anything, especially as it pertains to synths, please let me know.","Awkward apology, but well-intentioned",DialogueInstituteAlanFirstGreetingScene
Scene,SceneDialogue,Custom,,"Player Default: Ah, good. Shaun is most pleased, I'm sure. He's been quite anxious to have you with us.","If you require anything, especially as it pertains to synths, please let me know.",,"Warm, friendly, sincere",DialogueInstituteAlanFirstGreetingScene
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,You must feel a bit overwhelmed.,,Filling an awkward pause in the conversation... the player has stopped talking,
