CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Justin: Yes, as soon as possible. I want that area completely secure.","Oh, I'm... Well, I'm not sure. That was Justin's concern, really. I suppose it's still worth the upgrade.",Allie: Right... I'll make sure a team is sent over soon.,slightly hesitant,Inst303DirectoratePreSceneLoop
Scene,SceneDialogue,Custom,,Justin: What exactly is he doing here?,"Excuse me sir, but is it wise to have this meeting given... present company?","Shaun: I will address that issue, but there are other subjects that require our attention first.",,Inst303DirectorateOpeningScene
Scene,SceneDialogue,Custom,,"Justin: SRB agents are monitoring all known situations, sir.","Oh, yes.  Uhh... Watchers have not shown any additional threats at this time.","Alana: We're still monitoring increased activity around Fort Independence, though there's no immediate cause for concern.",,Inst303DirectorateOpeningScene
Scene,SceneDialogue,Custom,,"Alana: Oh, yes.  Uhh... Watchers have not shown any additional threats at this time.","We're still monitoring increased activity around Fort Independence, though there's no immediate cause for concern.","Alana: Boston International Airport remains occupied, and Brotherhood presence has been noted at several other locations.",,Inst303DirectorateOpeningScene
Scene,SceneDialogue,Custom,,"Alana: We're still monitoring increased activity around Fort Independence, though there's no immediate cause for concern.","Boston International Airport remains occupied, and Brotherhood presence has been noted at several other locations.","Alana: And, uhh... Despite a lack of concrete evidence, we have reason to believe that the ""Railroad"" continues to operate within the Commonwealth.",,Inst303DirectorateOpeningScene
Scene,SceneDialogue,Custom,,"Alana: Boston International Airport remains occupied, and Brotherhood presence has been noted at several other locations.","And, uhh... Despite a lack of concrete evidence, we have reason to believe that the ""Railroad"" continues to operate within the Commonwealth.","Alana: Personally I suspect they're becoming more ambitious, but I can't confirm that at this time.",,Inst303DirectorateOpeningScene
Scene,SceneDialogue,Custom,,"Alana: And, uhh... Despite a lack of concrete evidence, we have reason to believe that the ""Railroad"" continues to operate within the Commonwealth.","Personally I suspect they're becoming more ambitious, but I can't confirm that at this time.","Alana: For now, we have assets monitoring all known situations.",,Inst303DirectorateOpeningScene
Scene,SceneDialogue,Custom,,"Alana: Personally I suspect they're becoming more ambitious, but I can't confirm that at this time.","For now, we have assets monitoring all known situations.","Shaun: Very good, thank you.",,Inst303DirectorateOpeningScene
Miscellaneous,Miscellaneous,Greeting,,,"Catch me after the meeting, okay?",,Apologetic,
Scene,SceneDialogue,Custom,,NPCFAlanaSecord: I swear I spend half my time smoothing the feathers that Justin ruffles.,"We need to be able to collaborate with the other divisions, and that's a lot harder when they're always angry at us.","Player Default: If you can't get along, it's going to be hard to accomplish anything.",,DialogueInstituteAlanaFirstGreetingScene
Scene,SceneDialogue,Custom,,"Player Default: If you can't get along, it's going to be hard to accomplish anything.","Even worse, we've got a lot of smart guys with fragile egos.",,,DialogueInstituteAlanaFirstGreetingScene
Scene,SceneDialogue,Custom,,,"Anyway, we'll figure it out. It was good to meet you.","AlanaSecord: Just listen to me. It's the first chance we've had to get acquainted, and all I want to do is complain.",,DialogueInstituteAlanaFirstGreetingScene
Scene,SceneDialogue,Custom,,"Player Default: Sometimes, feathers need to be ruffled to get things done.","I won't deny that. I guess I just feel like he comes on a little strong sometimes, you know?",,,DialogueInstituteAlanaFirstGreetingScene
Scene,SceneDialogue,Custom,,,"Well, of course you don't. Not yet, anyway.",,,DialogueInstituteAlanaFirstGreetingScene
Scene,SceneDialogue,Custom,,,I'll stop rambling and let you get back to whatever you're doing.,"AlanaSecord: Just listen to me. It's the first chance we've had to get acquainted, and all I want to do is complain.",,DialogueInstituteAlanaFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: A little friction between departments is normal. You'll work through it.,"Yeah, I guess that's true.","AlanaSecord: Just listen to me. It's the first chance we've had to get acquainted, and all I want to do is complain.",,DialogueInstituteAlanaFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: What's Justin doing that's causing friction?,"Oh, he's just pushy and demanding. He thinks his problems should be everyone's biggest concern.",,,DialogueInstituteAlanaFirstGreetingScene
Scene,SceneDialogue,Custom,,,"I have to admit, though, the other divisions have never taken our needs as seriously as they should.",,,DialogueInstituteAlanaFirstGreetingScene
Scene,SceneDialogue,Custom,,,I guess they see us as a necessary evil or something. It's really not fair.,"AlanaSecord: Just listen to me. It's the first chance we've had to get acquainted, and all I want to do is complain.",,DialogueInstituteAlanaFirstGreetingScene
Scene,SceneDialogue,Custom,,"Player Default: Anyway, we'll figure it out. It was good to meet you.","Just listen to me. It's the first chance we've had to get acquainted, and all I want to do is complain.",,,DialogueInstituteAlanaFirstGreetingScene
Scene,SceneDialogue,Custom,,,"In any case, it was good to meet you.",,,DialogueInstituteAlanaFirstGreetingScene
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"I know, it's a lot to take in.",,Filling in an awkward pause in the conversation.,
Miscellaneous,Miscellaneous,Greeting,,,I swear I spend half my time smoothing the feathers that Justin ruffles.,"AlanaSecord: We need to be able to collaborate with the other divisions, and that's a lot harder when they're always angry at us.","Exasperated, frustrated",DialogueInstituteAlanaFirstGreetingScene
Miscellaneous,Miscellaneous,Hello,,,"Like any machine, a synth can malfunction. I just wish it didn't happen so often.",,"Exasperated, tired",
Miscellaneous,Miscellaneous,Hello,,,"I know it'll be a difficult adjustment for you, but try to remember that synths aren't people.",,"A little condescending, but well-intentioned",
Miscellaneous,Miscellaneous,Hello,,,The Directorate should take the synth escapes more seriously.,,Frustrated,
Scene,SceneDialogue,Custom,,"JustinAyo: Everyone in the Directorate has a say, sir.","With all due respect, sir, everyone's allowed a voice here.",JustinAyo: Right now we're all here because it's time to decide to finally stand up for ourselves.,,Inst305Stage90DirectorateScene
Scene,SceneDialogue,Custom,,"JustinAyo: Everyone in the Directorate has a say, sir.","With all due respect, ma'am, everyone's allowed a voice here.",JustinAyo: Right now we're all here because it's time to decide to finally stand up for ourselves.,,Inst305Stage90DirectorateScene
Scene,SceneDialogue,Custom,,AllieFilmore: I'm sure you will.,"If I may, we're all here because our position in the Commonwealth has fundamentally shifted.","AllieFilmore: Let's not be dramatic, Justin.",,Inst305Stage90DirectorateScene
Scene,SceneDialogue,Custom,,"JustinAyo: There's nothing dramatic about it. We're in a position to push back, to assert ourselves here. That's what we've talked about all along.","It's the only way of looking at it, Allie. You know that as well as the rest of us.",ClaytonHoldren: To bring you up to speed: Obviously there are groups in the Commonwealth that stand in opposition to the Institute's goals.,,Inst305Stage90DirectorateScene
