CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Sounds like you should deal with the Children of Atom. Permanently.,The mainlander sees the sense in all this.,"CaptainAvery: I will do everything in my power to keep the peace here. So go, Allen.",Surprised and pleased / Stern,DLC03MQ02_0400_PostHullAvery
Scene,SceneDialogue,Custom,,Player Default: Absolutely not. There's not one bit of evidence.,"Geiger counters don't lie, Avery. The Fog's gotten more lethal year over year.",,"Litany of arguments, well rehearsed - but renewed irritation in the tone / Irritated",DLC03MQ02_0400_PostHullAvery
Scene,SceneDialogue,Custom,,,And now the Fog's covering the whole island. But only after the Children came.,"CaptainAvery: You know as well as I do, that's happened before.",Irritated,DLC03MQ02_0400_PostHullAvery
Scene,SceneDialogue,Custom,,"Player Default: We used to have a peace with them, until a certain hothead menace named Allen Lee-","Now, that's enough. That preacher came into the Harbor saying that it was Atom's will that we lost our land.",,"Sharing a story that galls him, infuriates him / Angry",DLC03MQ02_0400_PostHullAvery
Scene,SceneDialogue,Custom,,,That it was Atom's god damned will that we lost so many friends and family.,,Angry,DLC03MQ02_0400_PostHullAvery
Scene,SceneDialogue,Custom,,,And that the Atom would wipe this whole place clean of us.,"CaptainAvery: If it were up to me, you'd hang for what you did to that preacher, Allen.",And this is the thing which most gets him murderous - the preacher saying he will burn in hell and relishing it / Angry,DLC03MQ02_0400_PostHullAvery
Scene,SceneDialogue,Custom,,"Player Default: *chuckle* Ornery, more like. I-","I'm done cowering behind your damned Hull, Avery.",AllenLee: Time you let me deal with the real problem.,"Fed up, coming down off adrenaline / Irritated",DLC03MQ02_0400_PostHullAvery
Scene,SceneDialogue,Custom,,"AllenLee: I'm done cowering behind your damned Hull, Avery.",Time you let me deal with the real problem.,AllenLee: With the right people and my guns I can end those Children of Atom cultists for good.,Irritated,DLC03MQ02_0400_PostHullAvery
Scene,SceneDialogue,Custom,,AllenLee: Time you let me deal with the real problem.,With the right people and my guns I can end those Children of Atom cultists for good.,CaptainAvery: The Fog's been here forever. The Children didn't make it.,Deadly serious - holding in murderous rage / Angry,DLC03MQ02_0400_PostHullAvery
Scene,SceneDialogue,Custom,,CaptainAvery: The Fog's been here forever. The Children didn't make it.,"Before the rad eaters came, the Fog was under control. They come and it all goes wrong.",,"Old argument - not buying Avery's bullshit at all, angry / Angry",DLC03MQ02_0400_PostHullAvery
