CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,NPCFAllieFilmore: This ought to be quite an adventure.,"Don't make fun of the suit, okay? I know it's not the most flattering thing in the world, but neither is radiation sickness.","Allie: Look, before we go through with this, we need to be straight with each other.",,Inst303Stage40AllieScene
Scene,SceneDialogue,Custom,,"Allie: Don't make fun of the suit, okay? I know it's not the most flattering thing in the world, but neither is radiation sickness.","Look, before we go through with this, we need to be straight with each other.",Allie: There's an additional reason we're making this move now. It's the Brotherhood of Steel.,,Inst303Stage40AllieScene
Scene,SceneDialogue,Custom,,"Allie: Look, before we go through with this, we need to be straight with each other.",There's an additional reason we're making this move now. It's the Brotherhood of Steel.,"Allie: Intel suggests they're up to something big, and have their eyes on Mass Fusion too. It's not out of the question that we're going to run into them.",,Inst303Stage40AllieScene
Scene,SceneDialogue,Custom,,Allie: There's an additional reason we're making this move now. It's the Brotherhood of Steel.,"Intel suggests they're up to something big, and have their eyes on Mass Fusion too. It's not out of the question that we're going to run into them.","Allie: So before we step in the Relay, I need to know that you'll be on my side out there. Not theirs.",,Inst303Stage40AllieScene
Scene,SceneDialogue,Custom,,"Allie: Intel suggests they're up to something big, and have their eyes on Mass Fusion too. It's not out of the question that we're going to run into them.","So before we step in the Relay, I need to know that you'll be on my side out there. Not theirs.","Player Default: I'm loyal to Shaun, and to the Institute.",,Inst303Stage40AllieScene
Scene,SceneDialogue,Custom,,"Player Default: I'm loyal to Shaun, and to the Institute.",I really hope that's true.,Allie: You've got to know that the Watchers have been keeping an eye on you. We've seen you working with the Brotherhood.,,Inst303Stage40AllieScene
Scene,SceneDialogue,Custom,,Player Default: How dare you question who's side I'm on. After everything I've been through to get here...,That's exactly my point. You've been through a lot. More than most people could rationally handle.,Allie: You've got to know that the Watchers have been keeping an eye on you. We've seen you working with the Brotherhood.,,Inst303Stage40AllieScene
Scene,SceneDialogue,Custom,,Player Default: My goal is to avoid conflict as much as possible.,I don't think that's really going to be an option.,Allie: You've got to know that the Watchers have been keeping an eye on you. We've seen you working with the Brotherhood.,,Inst303Stage40AllieScene
Scene,SceneDialogue,Custom,,Player Default: Why are you only just telling me about this now?,Because I decided it's best if we lay it all out there. No secrets.,Allie: You've got to know that the Watchers have been keeping an eye on you. We've seen you working with the Brotherhood.,,Inst303Stage40AllieScene
Scene,SceneDialogue,Custom,,Player Default: I really hope that's true.,You've got to know that the Watchers have been keeping an eye on you. We've seen you working with the Brotherhood.,"Allie: I don't want to risk going in there if you're... conflicted. So before you step into the Relay, you'd better be sure. Got me?",,Inst303Stage40AllieScene
