CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,Are you crazy? Get out of the street before any more of them catch wind of you!,"Barney: Look, I'll open the gate and you get in here quick! I'm gonna let you in the bunker.  Don't make me regret this.",Yelling to someone below him / Surprised,DN083_BarneyRunsToBunker
Scene,SceneDialogue,Custom,,"Player Default: Yes, I'm really interested.","Ok, I guess I've got a minute.","Barney: My family's lived in this town going back generations. Far as I can tell, we've been here as long as it has.",neutral / Sad,DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,"Player Default: On second thought, never mind.",Right. No time for reminiscing when there's work to be done.,Player Default: Tell me what I'm supposed to be doing again.,"Going back to cranky, all business Barney / Stern",DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,"Player Default: Only if you want to, Barney.","Yeah, I'll tell you. It'll do me some good to get this off my chest.","Barney: My family's lived in this town going back generations. Far as I can tell, we've been here as long as it has.",Opening up a bit to the player for once / Neutral,DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,"Player Default: Barney, are you ok?","Yeah, I'm fine. It's just...","Barney: My family's lived in this town going back generations. Far as I can tell, we've been here as long as it has.",Starting to think sadly of the past / Sad,DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,"Player Default: Ok, I guess I've got a minute.","My family's lived in this town going back generations. Far as I can tell, we've been here as long as it has.",,Reminiscing an old story to the player / Somber,DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,,"Even after the bombs dropped, my folks worked hard to keep the town together and drive out any threats.",,Reminiscing a little proud / Somber,DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,,"We did such a good job that before I was even born, this place was one of the safest towns in the commonwealth. And soon everyone forgot how to be cautious.",,Proud then a little irritated / Somber,DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,,"I begged the town council to let me train the militia, to teach the citizens how to shoot and fend for themselves. But they thought I was just paranoid.",,Upset no one would listen to him / Irritated,DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,,"I knew something was coming, I just didn't know what. And when the mirelurks started rising out of the ocean, no one was ready.",,"He was so sure, but no one listened / Somber",DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,,"I saved as many as I could, sniping crabbies from my roost upstairs. But for every one I saved, three were goners.",,Sad he couldn't do more to help / Apologetic,DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,,"That was a couple of year ago. Ever since then, I've vowed to protect this town, and I don't plan on breaking that vow.","Player Default: People will come back, Barney.","Determined, the problems of the past won't happen again / Stern",DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,"Player Default: People will come back, Barney.","Yeah, I hope so, too.","Barney: All right, enough chit chat. You've got a job to do, so go do it!","hopeful, but sad / Friendly",DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,"Player Default: I think you might want to consider moving on, Barney.","No, I don't think I will.  Even if no one comes back, I can't imagine living any place else.","Barney: All right, enough chit chat. You've got a job to do, so go do it!",Kind of realizing this for the first time himself / Somber,DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,Player Default: First we have to get rid of all the mirelurks.,"You're right, gotta keep my mind on the job","Barney: All right, enough chit chat. You've got a job to do, so go do it!",snapping out of reminiscing / Stern,DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,Player Default: What'll you do now?,"I figure the last Rook will die here, whether it's in the belly of one of those crabs, or in my bed many years from now.","Barney: All right, enough chit chat. You've got a job to do, so go do it!",Coming to a conclusion / Somber,DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,"Player Default: Yeah, I hope so, too.","All right, enough chit chat. You've got a job to do, so go do it!",,"Back to military, no nonsense Barney / Stern",DN083_BarneySalemStory
Scene,SceneDialogue,Custom,,"Player Default: Listen, I accidentally destroyed some of your turrets, but I still think we're ok here.",You did what?!?,,"Shocked, angry, this is horrible news / Angry",DN083_BarneyDestroyedTurrets
Scene,SceneDialogue,Custom,,,"Oh, well, I'm glad you've still got hope, sunshine! Maybe we can group hug the rest of them to death!",Barney: How many did you break?,Loud sarcasm.  They player has made a huge mistake / Sarcastic,DN083_BarneyDestroyedTurrets
Scene,SceneDialogue,Custom,,"Player Default: False alarm, don't worry about it.","You're a real weird one, you know that?",Player Default: Tell me what I'm supposed to be doing again.,Unsure of player / Puzzled,DN083_BarneyDestroyedTurrets
Scene,SceneDialogue,Custom,,Player Default: I took out some of the turrets...,You did what?!?,Barney: How many did you break?,"Shocked, terrible news, the player has really messed up / Angry",DN083_BarneyDestroyedTurrets
Scene,SceneDialogue,Custom,,Player Default: How badly do we need those turrets?,No.  No way you are this stupid.,Barney: How many did you break?,Quiet unbelieving tone / Disbelief,DN083_BarneyDestroyedTurrets
Scene,SceneDialogue,Custom,,"Player Default: Oh, well, I'm glad you've still got hope, sunshine! Maybe we can group hug the rest of them to death!",How many did you break?,"Player Default: Look, I don't see what the problem is here. You've still got Reba.","Angry, irritated / Irritated",DN083_BarneyDestroyedTurrets
