CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: Yeah, plenty of times.","Really? Okay... I just need to remind you that Fallon's isn't a charity. If you want the clothes, you have to pay for 'em.",Player Default: No mooching. Got it.,first time the player is walking into your store. you're suspicious because you've had a lot of problems with thieves / Suspicious,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: No. First time.,"Thought so. Some ground rules. This isn't a charity. Clothes are for sale if you have the money. Otherwise, the door's right there.",Player Default: No mooching. Got it.,first time the player is walking into your store. you're suspicious because you've had a lot of problems with thieves / Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Might have.,"Don't be cute. First thing's first, this isn't a charity. You want the clothes, pay for 'em.",Player Default: No mooching. Got it.,first time the player is walking into your store. you're suspicious because you've had a lot of problems with thieves / Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: What's it matter?,"Because Fallon's isn't a charity. The clothes are for sale if you have the money. No lifting, all right?",Player Default: No mooching. Got it.,"lifting is short for ""shoplifting"" / Irritated",BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: No mooching. Got it.,Good.,Becky: Now that we understand each other... Welcome to Fallon's. Happy to show you everything in stock.,Happy,BeckyGreetScene
Scene,SceneDialogue,Custom,,"Player Default: I'm not a thief, and I'm not liking your tone.","Just giving a warning. As long as you pay with good caps, we won't have any problems.",Becky: Now that we understand each other... Welcome to Fallon's. Happy to show you everything in stock.,Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: People are stealing these clothes? Seriously?,"Yes, they are. So don't push it.",Becky: Now that we understand each other... Welcome to Fallon's. Happy to show you everything in stock.,Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: You have some kind of problem with shoplifters?,Nothing me and my ten-gauge haven't been able to handle.,Becky: Now that we understand each other... Welcome to Fallon's. Happy to show you everything in stock.,referring to ten-gauge shotgun that you hide behind the counter / Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Good.,Now that we understand each other... Welcome to Fallon's. Happy to show you everything in stock.,Player Default: Let's see what you've got.,"suddenly going from standoffish to friendly, you're happy to have paying customers once you know they aren't thieves / Friendly",BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,A payin' customer. Finally.,,showing your wares / Friendly,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Try this one on...,,showing your wares / Friendly,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Plenty of styles to choose.,,showing your wares / Friendly,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Don't bother asking about the thread count.,,showing your wares / Friendly,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,"Tops, bottoms, shoes.",,showing your wares / Friendly,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,"Clothes make the person, right?",,showing your wares / Friendly,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Fine, but I got my eye on you.",,Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Just don't steal anything, all right?",,Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,*sigh* Whatever.,,Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Sure, sure.",,Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Door's right there...,,Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,You know your way out.,,Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Then outside you go.,,Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Fine. Take it outside.,,Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"Outside, then.",,Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Can I pay with my charge card?,"Whatever that is, we don't take it.",Player Default: Let's see what you've got.,"player is trying to pay with a ""charge card"" - it looks like a worthless piece of plastic / Stern",BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Fallon's Basement. Interesting name.,"Yeah, it's ancient. There was a Fallon's here back even before the War. Granddad always said we had a tradition of ""quality and affordability.""",,"player asks about your store's name, ""Fallon's Basement"" / Amused",BeckyGreetScene
Scene,SceneDialogue,Custom,,,Guess affordability got too expensive for some folks. Damn thieves. And it ain't like Diamond City Security helps.,Player Default: Let's see what you've got.,Irritated,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Why doesn't Diamond City Security help you?,"*sigh* My husband got taken, all right? By the Institute. Security wouldn't look into it, I raised a stink, and now I'm black-listed.",Player Default: Let's see what you've got.,player asks why Diamond City Security doesn't help you / Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Your husband was taken by the Institute?,"Well he ain't here anymore, that's for sure. Not like the Institute leaves a trail besides those damn synths.",Player Default: Let's see what you've got.,player asks why you think the Institute kidnapped your husband / Stern,BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: What's a synth?,"You're joking, right? A synth. Those machine people the Institute builds. Some of them even look human. Enough you wouldn't know the difference.",,player asks what a Synth is. you're confused because everyone knows what they are / Puzzled,BeckyGreetScene
Scene,SceneDialogue,Custom,,,"Lucky me, huh? Institute takes my Charlie, and doesn't even bother replacing him.",Player Default: Let's see what you've got.,"ironic chuckle at the beginning, using humor to deflect the sadness / Sad",BeckyGreetScene
Scene,SceneDialogue,Custom,,Player Default: What do you know about synths?,"Just what I read in the papers. That the Institute builds 'em, and some even look human. So much you can't tell the real difference.",,player asks what you know about Synths / Thinking,BeckyGreetScene
