CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Greeting,,,What was all that commotion?,,,
Miscellaneous,Miscellaneous,Greeting,,,I can't believe it.,,,
Scene,SceneDialogue,Custom,,,"Was there something else, Detective?",Player Default: Tell me about yourself.,,DLC03_V118_QuestBertMain
Scene,SceneDialogue,Custom,,Julianna: Hello Mr. Whiskers. Who's a pretty kitty?,"Julianna... Mr. Whiskers died last month. This is Scruffy, remember?",Julianna: Oh... of course. Silly me.,,DLC03_V118_QuestIntroJuliannaBertWait
Scene,SceneDialogue,Custom,,Julianna: Oh... of course. Silly me.,Just let me have a look at the neural interface matrix and I'm sure I can clear that-,"Julianna: No! No it's not that, I've just caught another cold. Probably something that got in when they sent Pearl out.",,DLC03_V118_QuestIntroJuliannaBertWait
Scene,SceneDialogue,Custom,,"Julianna: No! No it's not that, I've just caught another cold. Probably something that got in when they sent Pearl out.","Oh god, not this again. Last month you were convinced you had the measles...","Julianna: You're not a doctor, what would you even know about it. And besides, I think it may be malaria.",,DLC03_V118_QuestIntroJuliannaBertWait
Scene,SceneDialogue,Custom,,"Julianna: You're not a doctor, what would you even know about it. And besides, I think it may be malaria.","First of all, I am a doctor.","Julianna: Yes, but not a real doctor. Robotics isn't an actual medical degree.",,DLC03_V118_QuestIntroJuliannaBertWait
Scene,SceneDialogue,Custom,,"Julianna: Yes, but not a real doctor. Robotics isn't an actual medical degree.","Secondly, I've told you time and again, you can't get sick inside the suit. It's not physically possible.","Julianna: I know when I'm getting sick, Bert. Now why don't you just wander off and play in your lab.",,DLC03_V118_QuestIntroJuliannaBertWait
Scene,SceneDialogue,Custom,,"Julianna: Have fun, dear!","Oh, god Julianna. Whatever. I'm going to the lab.",,,DLC03_V118_QuestIntroJuliannaBertWait
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Tell me about yourself.,I don't want to talk about this any more. Please just go.,,"hurried, you are worried you said something that will get you killed",DLC03_V118_QuestBertMain
Scene,SceneDialogue,Custom,,Player Default: Tell me about yourself.,"Oh uh... well, I'm a scientist. You've probably met my wife, Julianna, already. Not sure what else to say really.",,,DLC03_V118_QuestBertMain
