CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,NPCMBilly: Thank you! Thank you so much.,Everything's so different.,,Surprised,MS01BillyOutOfFridge
Scene,SceneDialogue,Custom,,,I guess I was in there for a really long time.,,Sad,MS01BillyOutOfFridge
Scene,SceneDialogue,Custom,,,What do I do now?,Player Default: I'll take you some place safe.,Worried,MS01BillyOutOfFridge
Scene,SceneDialogue,Custom,,Billy: Ugh. My legs are so stiff.,It's really bright out. I haven't seen the sun in so long.,,light hurts his eyes / InPain,MS01BillyGetOut
Scene,SceneDialogue,Custom,,Billy: Ugh. My legs are so stiff.,"Whoa, it's night time and it's still kinda bright! It was always pitch black in the fridge.",,Surprised,MS01BillyGetOut
Scene,SceneDialogue,Custom,,"Bullet: You can give them up peaceful like, or die trying to save them.",That's the man that tried to buy me.,CarolPeabody: Oh my god! They want Billy!,Afraid,MS01BulletSurround
Scene,SceneDialogue,Custom,,"Bullet: You can give them up peaceful like, or die trying to save them.",Why does he want me?,CarolPeabody: Oh my god! They want Billy!,Puzzled,MS01BulletSurround
Scene,SceneDialogue,Custom,,Player Default: I felt bad for selling you. I had to make it right.,You should feel bad. That was a rotten thing to do.,,"sullen, accusatory / Irritated",MS01BillyRescued
Scene,SceneDialogue,Custom,,,At least you came back for me. Thanks.,,relieved / Irritated,MS01BillyRescued
Scene,SceneDialogue,Custom,,,Can we go to my house now? I want to find out what happened to my Mom and Dad.,,Worried,MS01BillyRescued
Scene,SceneDialogue,Custom,,Player Default: You're going to show me where you lived so I can loot it.,You want to steal my baseball cards or something?,,Suspicious,MS01BillyRescued
Scene,SceneDialogue,Custom,,,We weren't rich. You aren't going to find anything to steal there.,,Suspicious,MS01BillyRescued
Scene,SceneDialogue,Custom,,Player Default: I did it to trick Bullet into giving me the money.,Maybe you could have told me that. I thought you really sold me.,,Irritated,MS01BillyRescued
Scene,SceneDialogue,Custom,,Player Default: Do you want to go home?,"Don't want to tell me, huh?",,Irritated,MS01BillyRescued
Scene,SceneDialogue,Custom,,,Fine. Let's go home and find out what happened to my Mom and Dad.,,Irritated,MS01BillyRescued
Scene,SceneDialogue,Custom,,Player Default: Let me open the door for you.,Yes! It's been so long.,,"The ""yes"" is triumphant. / Grateful",MS01BillyStart
Scene,SceneDialogue,Custom,,,The door is stuck. You're going to have to shoot it off.,"Player Default: Okay, okay. I'll let you out.",,MS01BillyStart
Scene,SceneDialogue,Custom,,Player Default: I'm not falling for that trick.,You bastard! You can't do this! Let me out!,"Player Default: Okay, okay. I'll let you out.",Angry,MS01BillyStart
Scene,SceneDialogue,Custom,,"Player Default: Okay, okay. I'll let you out.",Yes! I've been stuck in here for so long.,,"The ""yes"" is triumphant / Grateful",MS01BillyStart
Scene,SceneDialogue,Custom,,,Hurry up. Shoot the door off.,,,MS01BillyStart
