CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,SharedInfo,,,Let me check it out first.,,,MS16BobbiAndMelToTrainCar
Scene,SceneDialogue,Custom,,Mel: Looks like a subway tunnel.,Then we're on the right track.,Mel: I see what you did there.,,MS16AmbientReachedSubway
Scene,SceneDialogue,Custom,,Mel: I see what you did there.,What? No.,Bobbi: Just keep heading Southwest. We need to find a place to blast out of these tunnels.,"Confusion, then realizing you made an unintentional pun.",MS16AmbientReachedSubway
Scene,SceneDialogue,Custom,,Bobbi: What? No.,Just keep heading Southwest. We need to find a place to blast out of these tunnels.,,Changing the subject,MS16AmbientReachedSubway
Scene,SceneDialogue,Custom,,"Mel: How come it's been so long since we worked together, Bobbi?","I've been trying to keep a low profile on this one, Mel.",Bobbi: And I didn't want to get you wrapped up in it unless I had to.,,MS16AmbientBobbiMel01
Scene,SceneDialogue,Custom,,"Bobbi: I've been trying to keep a low profile on this one, Mel.",And I didn't want to get you wrapped up in it unless I had to.,Mel: We've been through worse jobs than this...,,MS16AmbientBobbiMel01
Scene,SceneDialogue,Custom,,Mel: We've been through worse jobs than this...,"We're not done yet, are we?",Mel: Encouraging.,,MS16AmbientBobbiMel01
Scene,SceneDialogue,Custom,,Mel: Maybe I can fix one up and...,"I think the one robot is enough, Mel.",Mel: Alright. It wouldn't have taken long.,,MS16AmbientCommentaryRobotRoom
Scene,SceneDialogue,Custom,,,"No flesh off my face, but you two might want to watch out for the radiation around here.",Mel: The thing on this one's wrist has a Geiger counter equipped. I'll just keep my ears open for clicks.,You are immune to radiation poisoning,MS16AmbientCommentaryRadiation
Scene,SceneDialogue,Custom,,,We're getting really close.,"Bobbi: There is a brewery near our strongroom, this has to be the basement to that brewery.",Getting excited.,MS16AmbientReachedIndustrial
