CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"RobotMS11Bosun: Power courses through the Constitution's veins again. Her systems, long starved, flicker to life. A hearty congratulation. Huzzah!","However, this has brought to light further failures in our power grid. The Power Relay which, to my shame, I previously complained about is fluctuating wildly.","Player Default: Don't worry, I'll get you up and running.",,MS11_0600_BosunSecondQuest
Scene,SceneDialogue,Custom,,"Player Default: Don't worry, I'll get you up and running.","Bully for you, sir.","Bosun: Power Relay Coils are a common enough part. Might I recommend checking the local shopkeeps? Surely, they would be of some assistance. Fair winds and following seas.",,MS11_0600_BosunSecondQuest
Scene,SceneDialogue,Custom,,"Player Default: Don't worry, I'll get you up and running.","Bully for you, madame.","Bosun: Power Relay Coils are a common enough part. Might I recommend checking the local shopkeeps? Surely, they would be of some assistance. Fair winds and following seas.",,MS11_0600_BosunSecondQuest
Scene,SceneDialogue,Custom,,Player Default: Can't you fix anything yourself?,"Your criticism squarely hits the mark, sir. I fear the butcher's bill has many a fine Mr. Handy on its list. I entreat you to aid us once more.","Bosun: Power Relay Coils are a common enough part. Might I recommend checking the local shopkeeps? Surely, they would be of some assistance. Fair winds and following seas.",,MS11_0600_BosunSecondQuest
Scene,SceneDialogue,Custom,,Player Default: Can't you fix anything yourself?,"Your criticism squarely hits the mark, madame. I fear the butcher's bill has many a fine Mr. Handy on its list. I entreat you to aid us once more.","Bosun: Power Relay Coils are a common enough part. Might I recommend checking the local shopkeeps? Surely, they would be of some assistance. Fair winds and following seas.",,MS11_0600_BosunSecondQuest
Scene,SceneDialogue,Custom,,Player Default: Why are you ashamed of that?,"Bad for morale, sir. There were dark times where I made all manner of baseless complaints against the Captain, the manner this ship is run, and the plausibility of our sacred mission.",,,MS11_0600_BosunSecondQuest
Scene,SceneDialogue,Custom,,,"But now I see the error of my ways. And with your help, perhaps I can atone.","Bosun: Power Relay Coils are a common enough part. Might I recommend checking the local shopkeeps? Surely, they would be of some assistance. Fair winds and following seas.",,MS11_0600_BosunSecondQuest
Scene,SceneDialogue,Custom,,Player Default: Why are you ashamed of that?,"Bad for morale, madame. There were dark times where I made all manner of baseless complaints against the Captain, the manner this ship is run, and the plausibility of our sacred mission.",,,MS11_0600_BosunSecondQuest
Scene,SceneDialogue,Custom,,,"But now I see the error of my ways. And with your help, perhaps I can atone.","Bosun: Power Relay Coils are a common enough part. Might I recommend checking the local shopkeeps? Surely, they would be of some assistance. Fair winds and following seas.",,MS11_0600_BosunSecondQuest
Scene,SceneDialogue,Custom,,"Player Default: Bully for you, sir.","Power Relay Coils are a common enough part. Might I recommend checking the local shopkeeps? Surely, they would be of some assistance. Fair winds and following seas.",,,MS11_0600_BosunSecondQuest
Scene,SceneDialogue,Custom,,RobotMS11Bosun: Power flows firm and steady.,"I would applaud you but, alas, I cannot due to my lack of clapping instruments. But huzzah, sir, huzzah.","Player Default: Well, you're very welcome, Bosun.",,MS11_0640_BosunEndQuest
Scene,SceneDialogue,Custom,,RobotMS11Bosun: Power flows firm and steady.,"I would applaud you but, alas, I cannot due to my lack of clapping instruments. But huzzah, madame, huzzah.","Player Default: Well, you're very welcome, Bosun.",,MS11_0640_BosunEndQuest
Scene,SceneDialogue,Custom,,"Player Default: Well, you're very welcome, Bosun.",You are too kind. I require no further assistance.,"Bosun: The Captain requests your presence on the bridge. I am sure he intends to rest further laurels upon you. Again, well done.",,MS11_0640_BosunEndQuest
Scene,SceneDialogue,Custom,,Player Default: Please tell me we're done.,Indeed we are. I require no further assistance.,"Bosun: The Captain requests your presence on the bridge. I am sure he intends to rest further laurels upon you. Again, well done.",,MS11_0640_BosunEndQuest
Scene,SceneDialogue,Custom,,Player Default: If you've got nothing else...,I require no further assistance.,"Bosun: The Captain requests your presence on the bridge. I am sure he intends to rest further laurels upon you. Again, well done.",,MS11_0640_BosunEndQuest
Scene,SceneDialogue,Custom,,Player Default: So no more problems with the power?,"Nary a one. It flows like a veritable torrent through our cables. If I may say so, the Surgeon would be proud.",,,MS11_0640_BosunEndQuest
Scene,SceneDialogue,Custom,,,I require no further assistance.,"Bosun: The Captain requests your presence on the bridge. I am sure he intends to rest further laurels upon you. Again, well done.",,MS11_0640_BosunEndQuest
Scene,SceneDialogue,Custom,,Player Default: You are too kind. I require no further assistance.,"The Captain requests your presence on the bridge. I am sure he intends to rest further laurels upon you. Again, well done.",,,MS11_0640_BosunEndQuest
Scene,SceneDialogue,Custom,,Player Default: You are too kind. I require no further assistance.,"But our Mr. Navigator is also beset by troubles. Scuttlebutt is our guidance system is on her last legs. If you have not already, speak to him. Fare thee well.",,,MS11_0640_BosunEndQuest
Scene,SceneDialogue,Custom,,RobotMS11Bosun: Your very presence does this humble unit a great honor.,My programming would find it amiss if I did not also interject. Long live the captain!,Player Default: You certainly have pep.,,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,Player Default: You certainly have pep.,Much obliged for the compliment. But on to the mission of the day.,"Bosun: Our last marine expedition valiantly returned with much needed supplies. Including replacement power cables, sir.",,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,Player Default: Is every robot on this tub broken?,I confess I may be missing a few parts that are considered standard on my model. But broken? I should say not.,"Bosun: Our last marine expedition valiantly returned with much needed supplies. Including replacement power cables, sir.",,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,Player Default: OK.,On to the mission.,"Bosun: Our last marine expedition valiantly returned with much needed supplies. Including replacement power cables, sir.",,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,"Player Default: Do you often just... interject, as you put it?","Indeed, I do. I exclaim from exuberance. And not because I've been reprogrammed five times to whole-heartedly embrace these marvelous turns-of-phrase and anachronisms.",,,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,,My metal heart burns with a fierce love and affection for our captain. Huzzah!,Player Default: You certainly have pep.,,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,"Player Default: Do you often just... interject, as you put it?",I will confide this only as a cautionary tale. The Captain requires all crew to speak in the proper idiom.,,,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,,"""We are the inheritors of a sacred tradition."" There was a time I thought he was... well, balmy. But with my new programming -- I see his incalculable wisdom.","Bosun: Our last marine expedition valiantly returned with much needed supplies. Including replacement power cables, sir.",,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,"Player Default: Do you often just... interject, as you put it?",You would have me speak ill of the Captain? I would sooner boil my own internal circuits than contemplate that. Let us speak of less treasonous matters.,"Bosun: Our last marine expedition valiantly returned with much needed supplies. Including replacement power cables, sir.",,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,Player Default: Much obliged for the compliment. But on to the mission of the day.,"Our last marine expedition valiantly returned with much needed supplies. Including replacement power cables, sir.",,,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,,"Alas, with my severe lack of appendages, I find myself unequal to the task of repairing the cables myself.",Player Default: I'll get right on it.,,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,Player Default: Much obliged for the compliment. But on to the mission of the day.,"Our last marine expedition valiantly returned with much needed supplies. Including replacement power cables, madame.",,,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,,"Alas, with my severe lack of appendages, I find myself unequal to the task of repairing the cables myself.",Player Default: I'll get right on it.,,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,Player Default: I'll get right on it.,My anxiety emulators are lightening by the microsecond.,"Bosun: Once you have resolved this matter, I beseech you to return to me to accept my undying gratitude.",,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,"Player Default: I'm not a mechanic, pal.","I would despair, but it appears my despair emulator has been forcibly removed.",,,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,,So instead I will await the cable's repairs with unbridled anticipation.,"Bosun: Once you have resolved this matter, I beseech you to return to me to accept my undying gratitude.",,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,Player Default: I'll see what I can do about your cables.,I feel my anxiety emulators lightening by the microsecond.,"Bosun: Once you have resolved this matter, I beseech you to return to me to accept my undying gratitude.",,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,Player Default: Can't someone else repair it?,"The rest of the crew is programmed for more martial pursuits. And they are, dare I say, useless in this endeavor.",,,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,,"Oh, were I hale and hearty... But fate is a cruel mistress.",Player Default: I'll get right on it.,,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,Player Default: Can't someone else repair it?,They were stolen from me in their prime. With a full two centuries left on their warranty.,,,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,,The scavenger scum blasted them off me as I valiantly defended our ship systems. Were the ship's Surgeon still with us...,Player Default: I'll get right on it.,,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,Player Default: Can't someone else repair it?,"Sadly, he is no longer with us. Another casualty in our thrice-cursed war with the scavengers. His passing is a terrible loss.",,,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,,Look around. The Captain's vision brought us here - but it was the Surgeon who rebuilt the Constitution. Now it falls to us to carry on his work.,"Bosun: Once you have resolved this matter, I beseech you to return to me to accept my undying gratitude.",,MS11_0500_BosunFirstQuest
Scene,SceneDialogue,Custom,,Player Default: My anxiety emulators are lightening by the microsecond.,"Once you have resolved this matter, I beseech you to return to me to accept my undying gratitude.",,,MS11_0500_BosunFirstQuest
Miscellaneous,Miscellaneous,Greeting,,,Power flows firm and steady.,"Bosun: I would applaud you but, alas, I cannot due to my lack of clapping instruments. But huzzah, sir, huzzah.",,MS11_0640_BosunEndQuest
Miscellaneous,Miscellaneous,Greeting,,,"Power courses through the Constitution's veins again. Her systems, long starved, flicker to life. A hearty congratulation. Huzzah!","Bosun: However, this has brought to light further failures in our power grid. The Power Relay which, to my shame, I previously complained about is fluctuating wildly.",,MS11_0600_BosunSecondQuest
Miscellaneous,Miscellaneous,Greeting,,,Your very presence does this humble unit a great honor.,Bosun: My programming would find it amiss if I did not also interject. Long live the captain!,,MS11_0500_BosunFirstQuest
Miscellaneous,Miscellaneous,Hello,,,"The ship's structural integrity is well below recommended levels, but pish posh, I'm certain everything will work out.",,,
Miscellaneous,Miscellaneous,Hello,,,"To play a part in something so magnificent, I am programmed to burst with excitement. Huzzah.",,,
Miscellaneous,Miscellaneous,Hello,,,So much work to do. I'll have to factor in extra time for the lack of appendages.,,,
Miscellaneous,Miscellaneous,Hello,,,'Tis an honor to crew such a storied vessel.,,,
Miscellaneous,Miscellaneous,Hello,,,From the top deck one can spot other robots of the Commonwealth floating. Listless. Without purpose. But not us.,,,
Miscellaneous,Miscellaneous,Hello,,,Huzzah for the Captain and the Constitution!,,,
Miscellaneous,Miscellaneous,Hello,,,Continuing routine maintenance. It is a mere 73 days over due.,,,
Miscellaneous,Miscellaneous,Hello,,,Everything is ship shape.,,,
