CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Greeting,,,They really pulled it off. I'm impressed.,,,
Miscellaneous,Miscellaneous,Greeting,,,Acadia is just the kind of place a lot synths have dreamed of.,,,
Miscellaneous,Miscellaneous,Greeting,,,Turns out not everyone here is thrilled with the work the Railroad's doing.,,,
Miscellaneous,Miscellaneous,Greeting,,,"I think that, in time, the Railroad can work with Acadia so everyone can benefit.",,,
Scene,SceneDialogue,Custom,,DLC03FemaleRRContact: Hey there.,Thanks again for the information. I'll get up north as soon as I can.,,,DLC03Acadia_RR_TransitionScene
Scene,SceneDialogue,Custom,,Player Default: I'm following a lead on a place called Far Harbor.,"Never heard of it. Doesn't mean it's not connected, though...",,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,,"If you're already looking into it, don't let me stop you. Just let me know if you find anything, okay?","Player Default: You heard right. I found a place called Acadia, full of synths.",,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,"Player Default: Sorry, I don't know anything.","All right, well listen. I'm thinking there's something to all this. If you get anything concrete, let me know, okay?","Player Default: You heard right. I found a place called Acadia, full of synths.",,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,"Player Default: There's a girl named Kasumi Nakano - she disappeared up north. Sounds like she heard the same stories, and thinks she's a synth.","The name doesn't ring a bell... If she is a synth, it doesn't sound like we ever helped her.",,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,,"but I guess those stories really are getting around, huh?",,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,,"I'm gonna keep my ear to the ground; you do the same. If you get anything concrete, let me know, okay?","Player Default: You heard right. I found a place called Acadia, full of synths.",,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,Player Default: The Railroad has connections up the coast?,"No, not really. I mean, we give synths a head-start out of the Commonwealth, but whatever this is, it isn't us.",,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,,"So come on, spill it. What do you know?",Player Default: I'm following a lead on a place called Far Harbor.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,DLC03FemaleRRContact: Hey there.,"You're Fixer, right?",RRContact: I've been looking for you. Name's Boxer. Boss called me in on account of some rumors making their way through the Commonwealth.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,DLC03FemaleRRContact: Hey there.,"You're the Professor, yeah?",RRContact: I've been looking for you. Name's Boxer. Boss called me in on account of some rumors making their way through the Commonwealth.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,DLC03FemaleRRContact: Hey there.,"Hey, you're Charmer, right?",RRContact: I've been looking for you. Name's Boxer. Boss called me in on account of some rumors making their way through the Commonwealth.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,DLC03FemaleRRContact: Hey there.,"You're Whisper, aren't you.",RRContact: I've been looking for you. Name's Boxer. Boss called me in on account of some rumors making their way through the Commonwealth.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,DLC03FemaleRRContact: Hey there.,You must be Bullseye.,RRContact: I've been looking for you. Name's Boxer. Boss called me in on account of some rumors making their way through the Commonwealth.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,DLC03FemaleRRContact: Hey there.,"You're Wanderer, yeah?",RRContact: I've been looking for you. Name's Boxer. Boss called me in on account of some rumors making their way through the Commonwealth.,,DLC03Acadia_RR_StartScene
Miscellaneous,Miscellaneous,SharedInfo,,DLC03FemaleRRContact: Hey there.,Good to see you again.,RRContact: I've been looking for you. Name's Boxer. Boss called me in on account of some rumors making their way through the Commonwealth.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,"RRContact: You're Fixer, right?",I've been looking for you. Name's Boxer. Boss called me in on account of some rumors making their way through the Commonwealth.,"RRContact: Heard word that you've been up north, maybe run into some synths that way. Did I hear correctly?",,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,RRContact: I've been looking for you. Name's Boxer. Boss called me in on account of some rumors making their way through the Commonwealth.,"Heard word that you've been up north, maybe run into some synths that way. Did I hear correctly?","Player Default: You heard right. I found a place called Acadia, full of synths.",,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,RRContact: I've been looking for you. Name's Boxer. Boss called me in on account of some rumors making their way through the Commonwealth.,"So, is it true? You met a group of synths way up north?","Player Default: You heard right. I found a place called Acadia, full of synths.",,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,RRContact: I've been looking for you. Name's Boxer. Boss called me in on account of some rumors making their way through the Commonwealth.,Have you been able to confirm those stories about a group of synths up north?,"Player Default: You heard right. I found a place called Acadia, full of synths.",,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,RRContact: I've been looking for you. Name's Boxer. Boss called me in on account of some rumors making their way through the Commonwealth.,"There's word that there's some kind of colony of synths way up the coast, all on their own. You heard anything like that?",Player Default: I'm following a lead on a place called Far Harbor.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,"Player Default: You heard right. I found a place called Acadia, full of synths.","I knew it! There was always talk of someplace up north, but we couldn't ever verify it.",RRContact: Do they need our help? Can we establish some formal communications with them?,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,"Player Default: Nope, sorry. No idea what you're talking about.","Look, I get that it's supposed to be a secret. Railroad, remember? We're all about secrets.",RRContact: Do they need our help? Can we establish some formal communications with them?,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,"Player Default: I met a synth, calls himself DiMA. He's trying to create a community up north for synths.","Really? That's... that's amazing. I've never heard of this Dima, but he sounds like our kind of guy. Synth. You know what I mean.",RRContact: Do they need our help? Can we establish some formal communications with them?,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,Player Default: How'd you hear about that?,"There's been talk for a while now about a safe place up north, but no confirmation.",RRContact: Do they need our help? Can we establish some formal communications with them?,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,"Player Default: I knew it! There was always talk of someplace up north, but we couldn't ever verify it.",Do they need our help? Can we establish some formal communications with them?,Player Default: They could absolutely use the Railroad's help.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,Player Default: They could absolutely use the Railroad's help.,That's maybe the best news I've heard in a long time.,"RRContact: Look, I'll head up north as soon as I can. If we can talk face-to-face with these synths, it's a good start.",,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,Player Default: They're not looking for help from anyone. They just want to be left alone.,"Really? They know who we are, what we do... Right?","RRContact: Look, I'll head up north as soon as I can. If we can talk face-to-face with these synths, it's a good start.",,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,"Player Default: They're not the most trusting folks. I'll talk to them, find out if there's anything they need.",Please do. It would be enough just to know we have someplace we can send synths looking for a way out of the Commonwealth.,"RRContact: Look, I'll head up north as soon as I can. If we can talk face-to-face with these synths, it's a good start.",,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,Player Default: What sort of help could the Railroad offer?,"We're stretched thin on supplies, but we could try and send them whatever we can spare.",,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,,"Beyond that... Well, it'd be enough to know we have someplace we can send synths looking for a way out of the Commonwealth.",,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,,"So, what do you think?",Player Default: They could absolutely use the Railroad's help.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,Player Default: That's maybe the best news I've heard in a long time.,"Look, I'll head up north as soon as I can. If we can talk face-to-face with these synths, it's a good start.","RRContact: Thanks, Fixer.",,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,"RRContact: Look, I'll head up north as soon as I can. If we can talk face-to-face with these synths, it's a good start.","Thanks, Fixer.",RRContact: This could make a huge difference for us.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,"RRContact: Look, I'll head up north as soon as I can. If we can talk face-to-face with these synths, it's a good start.","Thanks, Professor.",RRContact: This could make a huge difference for us.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,"RRContact: Look, I'll head up north as soon as I can. If we can talk face-to-face with these synths, it's a good start.","Thanks, Charmer.",RRContact: This could make a huge difference for us.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,"RRContact: Look, I'll head up north as soon as I can. If we can talk face-to-face with these synths, it's a good start.","Thanks, Whisper.",RRContact: This could make a huge difference for us.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,"RRContact: Look, I'll head up north as soon as I can. If we can talk face-to-face with these synths, it's a good start.","Thanks, Bullseye.",RRContact: This could make a huge difference for us.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,"RRContact: Look, I'll head up north as soon as I can. If we can talk face-to-face with these synths, it's a good start.","Thanks, Wanderer.",RRContact: This could make a huge difference for us.,,DLC03Acadia_RR_StartScene
Scene,SceneDialogue,Custom,,"RRContact: Thanks, Fixer.",This could make a huge difference for us.,,,DLC03Acadia_RR_StartScene
Miscellaneous,Miscellaneous,SharedInfo,,,Hey there.,RRContact: Thanks again for the information. I'll get up north as soon as I can.,,DLC03Acadia_RR_TransitionScene
