CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: It was America's pasttime. A sport that united families on warm summer days. And it wasn't violent. Mostly.,"Sounds stupid. Without a little violence, what's the point?",Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: The teams would also beat the spectators to death. That's how the term ""spectator sport"" got started.",Now that's my kind of action.,Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: There were balls, strikes, three bases, and home runs. You kept score by how many runners made it to home plate.",No hittin' or beatin'? What's the damn point?,Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,Player Default: Always believed in freedom of the press.,We use newspapers at the Combat Zone... put it on the floor and it keeps us from slippin' on the blood.,"Mayor: Oh, I didn't mean to bring you into this argument, good sir. No no no... You look like Diamond City material.",,08MayorIntroScene2a
Scene,SceneDialogue,Custom,,Player Default: Newspapers just like to stir up trouble.,I tried to read a newspaper once but I couldn't find the funny pages.,"Mayor: Oh, I didn't mean to bring you into this argument, good sir. No no no... You look like Diamond City material.",,08MayorIntroScene2a
Scene,SceneDialogue,Custom,,"Player Default: You made a mistake, but you can still do the right thing, doctor. Just think this through.",Why are you tryin' to reason with this lunatic? Can't you see he's too far gone.,DocCrocker: You're...you're right. There's one thing I can do. Only one thing's going to make this all better.,,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,"Player Default: You've killed a man, doctor. You're going to pay for it. Put the gun down, and come with me.",Seriously? You're gonna let him live?,"DocCrocker: I... I did it, didn't I? I killed a man. Oh god. There's so much blood. So much blood all over me!",,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,,Good. Saved us from wasting our ammo.,Companion: Crocker got exactly what was comin' to him.,,004b_MS07aCompanionInterjects
Scene,SceneDialogue,Custom,,,Crocker got exactly what was comin' to him.,,,004b_MS07aCompanionInterjects
Scene,SceneDialogue,Custom,,Player Default: I don't want to get shredded by those miniguns.,"Everyone for themselves, eh? Fine.",Ringmaster: Alright. Fight's over. You two and come out now.,"sighing, knowing what you want isn't going to happen",CZ_Arena_Combat_Post_A
