CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,No! You fool! I have not prepared the reactor yet!,,Afraid,MS02WarheadFirst
Scene,SceneDialogue,Custom,,,"No! You fool! Without dampening coil, the reactor will explode! Baozha!",,Afraid,MS02WarheadFirst
Scene,SceneDialogue,Custom,,NPCMCaptainZao: Was not sure my beautiful Yangtze would hold together. But we did it!,Here. Payment Zao promised you.,,Happy,MS02SubReady
Scene,SceneDialogue,Custom,,,"Plus, to show my thanks. I give you these, ah... Transponders.",Captain: Each one acts as a homing signal for missile I can fire from my Yangtze.,struggles a bit recalling the English word / Nervous,MS02SubReady
Scene,SceneDialogue,Custom,,NPCMCaptainZao: Was not sure my beautiful Yangtze would hold together. But we did it!,You are a capitalist. I know you expect payment for services.,,Amused,MS02SubReady
Scene,SceneDialogue,Custom,,,Instead I would offer you service in exchange for your service. It is our way.,,Grateful,MS02SubReady
Scene,SceneDialogue,Custom,,,"Take these, ah... Transponders.",Captain: Each one acts as a homing signal for missile I can fire from my Yangtze.,Grateful,MS02SubReady
Scene,SceneDialogue,Custom,,Player Default: I wish you a safe journey.,Many thanks. I look forward to seeing my Zhongguo soon.,"Captain: Soon, I will set sail. You should get ashore. Farewell, American. I must admit. I have met...  worse capitalists.",Grateful,MS02SubReady
Scene,SceneDialogue,Custom,,Player Default: I hope this tub sinks with you in it.,"The journey is long. Sadly, that is possible.",,Amused,MS02SubReady
Scene,SceneDialogue,Custom,,,It is fortunate Zao is man of honor. A lesser man insulted would not keep his promise.,"Captain: Soon, I will set sail. You should get ashore. Farewell, American. I must admit. I have met...  worse capitalists.",Angry,MS02SubReady
Scene,SceneDialogue,Custom,,Player Default: You should just leave now.,I understand. There is no love for Zao. Or Zhongguo.,"Captain: Soon, I will set sail. You should get ashore. Farewell, American. I must admit. I have met...  worse capitalists.",Apologetic,MS02SubReady
Scene,SceneDialogue,Custom,,Player Default: Why would you let me use up your missiles?,I have no wish to bring weapons back home. I leave the fire here.,,Worried,MS02SubReady
Scene,SceneDialogue,Custom,,,"And... I owe you. Zao pays his debts. Besides, my missiles just might... *chuckle*  ""Save your bacon.""","Captain: Soon, I will set sail. You should get ashore. Farewell, American. I must admit. I have met...  worse capitalists.",coming up with a good English phase you remember at the end / Amused,MS02SubReady
Scene,SceneDialogue,Custom,,Player Default: Many thanks. I look forward to seeing my Zhongguo soon.,"Soon, I will set sail. You should get ashore. Farewell, American. I must admit. I have met...  worse capitalists.",,Grateful,MS02SubReady
Scene,SceneDialogue,Custom,,"Captain: Plus, to show my thanks. I give you these, ah... Transponders.",Each one acts as a homing signal for missile I can fire from my Yangtze.,,Confident,MS02SubReady
Scene,SceneDialogue,Custom,,,Only small. Tactical nukes. But you should still get far away as possible!,,Concerned,MS02SubReady
Scene,SceneDialogue,Custom,,,"Throw transponder like a grenade to activate it. Then wait for baozha. ""Kaboom!""",Player Default: I wish you a safe journey.,Amused,MS02SubReady
Scene,SceneDialogue,Custom,,Player Default: I admire your spirit.,While you are getting warhead? I will prepare the reactor.,Captain: But now I must... warn you. There is danger. Wei xian! Old crew... still down there.,,MS02CaptainPChasRods
Scene,SceneDialogue,Custom,,Captain: While you are getting warhead? I will prepare the reactor.,But now I must... warn you. There is danger. Wei xian! Old crew... still down there.,,,MS02CaptainPChasRods
Scene,SceneDialogue,Custom,,,Not okay like their captain. Worse. They do not harm me. But they will kill you!,,,MS02CaptainPChasRods
Scene,SceneDialogue,Custom,,,"I... I cannot kill them. Still, they are my crew. My family. Jia ren, all of us. But you must do what you must do.",,,MS02CaptainPChasRods
Scene,SceneDialogue,Custom,,Player Default: The next step seems simple. But do not be deceived.,"200 years ago, I launched all of Yangtze's high-yield nuclear missiles. As ordered.",,Sad,MS02CaptainPChasRods
Scene,SceneDialogue,Custom,,,"For 200 years, I have lived with that guilt. That shame. So much fire Such bei.",,Sad,MS02CaptainPChasRods
Scene,SceneDialogue,Custom,,,But one missile failed to launch. You must go down. Remove the warhead. Then bring it to me.,Player Default: I already have the warhead.,Somber,MS02CaptainPChasRods
Scene,SceneDialogue,Custom,,Player Default: I already have the warhead.,"So. You have met my crew, then. Or... what is left of them.","Player Default: I'm alive, aren't I?",,MS02CaptainPChasRods
Scene,SceneDialogue,Custom,,Player Default: I already have the warhead.,I admire your spirit.,Captain: While you are getting warhead? I will prepare the reactor.,,MS02CaptainPChasRods
Scene,SceneDialogue,Custom,,Player Default: The warhead might detonate. We'd both be killed.,"No, no. It will not detonate. Not if you are careful. Treat it as ji dan. A chicken egg.",,,MS02CaptainPChasRods
Scene,SceneDialogue,Custom,,,But... you will be exposed to radiation. So long as you carry it.,Captain: While you are getting warhead? I will prepare the reactor.,,MS02CaptainPChasRods
Scene,SceneDialogue,Custom,,Player Default: You've got to be kidding.,No. No jokes. Just jue wang. Desperation. Only thing left to try. Plutonium in warhead will serve as fuel.,Captain: While you are getting warhead? I will prepare the reactor.,,MS02CaptainPChasRods
Scene,SceneDialogue,Custom,,Player Default: Why don't you get it?,Ah... Because I have different task.,Captain: While you are getting warhead? I will prepare the reactor.,,MS02CaptainPChasRods
Scene,SceneDialogue,Custom,,NPCMCaptainZao: I watched you talk to a boy on the dock. Swim out here.,You appear... able. But not a threat? No. Come in he ping. Ah... peace?,Player Default: I'm not a threat to you. Just curious.,calmly assessing the threat / Confident,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,Player Default: Fortune smiles. Let us work together. Yi qi lai.,First thing we need - a new dampening coil. To stabilize Yangtze's reactor.,,Neutral,MS02CaptainRefused
Scene,SceneDialogue,Custom,,,You can find them at Saugus Ironworks. That is what my old intelligence says.,Player Default: I already have the dampening coil from Saugus.,Confident,MS02CaptainRefused
Scene,SceneDialogue,Custom,,Player Default: What about the nuclear fuel?,I have idea for that. But first - dampening coil.,Player Default: I already have the dampening coil from Saugus.,Confident,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,Player Default: What about the nuclear fuel?,"For long, I was happy to stay here. Of late, though... I have been thinking of my zu guo. Of China.",,Sad,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,,Also... my Yangtze is not safe. Raiders come. I have fought them. But I fear leaving her alone to get what I need for repair.,Player Default: I already have the dampening coil from Saugus.,Afraid,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,Player Default: What's in it for me?,"Money! Xianjin! American money. From before. Still worth something, no? Worthless to me, on my Yangtze.",Player Default: I already have the dampening coil from Saugus.,Conspiratorial,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,Player Default: What's in it for me?,"Wealth is like dung, useful only when spread.",,Disgust,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,,"I have some bottle caps, too. New money for your new, burned America. They are yours as well.",Player Default: I already have the dampening coil from Saugus.,Conspiratorial,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,Player Default: What's in it for me?,You force me to make... ultimate decision. Sad decision. Maybe yi han.,,Sad,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,,"My sword. Sharp, wondrous jian. Sword of Chinese officer. It is yours. If you help me!",Player Default: I already have the dampening coil from Saugus.,Sad,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,Player Default: What's in it for me?,"I thought we might deal fairly, you and I.",,Angry,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,,I see now you are just a mercenary. Gu yong bing!,,Angry,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,,Help me. Or don't. You get nothing from Zao!,,Disgust,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,Player Default: You'll have to wait awhile.,Waiting and I are old friends. I can do that.,,Confident,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,Player Default: I already have the dampening coil from Saugus.,"Ha! Fortune favors us both, it seems.",,Amused,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,,"Now, all we need... one thing. Nuclear fuel.",Player Default: I already have the warhead.,Confident,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,Player Default: I already have the dampening coil from Saugus.,I am not your captain. Zao will do.,,"emphasis on ""your"" - clearly he doesn't get the joke. / Irritated",MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,,You go. Get the dampening coil. I will work on repairing the bridge control systems. Much gong zuo.,,Stern,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,Player Default: But no fear. No murder. No wei xian. Not from Captain Zao.,Why are you here? War is over. Long over. And my Yangtze holds no bao wu. No... treasure. Nothing for you to plunder.,Player Default: Just trying to figure out who you are. No plundering. I swear.,suspicious / Suspicious,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,,Just like all the others. Unable to see past what I look like.,,Disgust,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,Player Default: I'm not a threat to you. Just curious.,"Ha! ""Curious cat gets murdered.""",,rhetorical question / Question,MS02CaptainFirstMtg
Scene,SceneDialogue,Custom,,,But no fear. No murder. No wei xian. Not from Captain Zao.,Captain: Why are you here? War is over. Long over. And my Yangtze holds no bao wu. No... treasure. Nothing for you to plunder.,Friendly,MS02CaptainFirstMtg
