CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Hello,,,"Yeah, yeah. Hi and whatever.",,Nervous,
Miscellaneous,Miscellaneous,Hello,,,"What was that? Oh, nothing.",,"Thought he heard a noise, scared",
Miscellaneous,Miscellaneous,Hello,,,I don't know how much more I got of this.,,"Tired, raw nerves",
Miscellaneous,Miscellaneous,Hello,,,"You weren't there. At the Switchboard. One day the Institute's gonna kill us all, I tell ya.",,Grim as death,
Miscellaneous,Miscellaneous,Hello,,,"Listen, I think it's much safer if we pretend we don't know each other.",,"Muttered, nervous",
Scene,SceneDialogue,Custom,,NPCMCaretaker: Whatever you did worked. The tourist has signed on. K8's already on the move.,"Take this. I might have more jobs later. Thanks, bub.",,"Grateful, but getting a little distracted / Grateful",RRR02a_0300_CompleteQuest
Scene,SceneDialogue,Custom,,"Player Default: Yeah, I have one.",Then make sure it's got plenty of juice. Lots of hot spots nearby. I warned you.,"QuestGiver: Kind of wish you would of set up a cot or something, but at least it's safe, right? It is safe, right?","Skittish, trying to make this sound believable",RRR02a_0100_GetQuest
Scene,SceneDialogue,Custom,,"Player Default: No, I don't.","Then, boy, you're in the wrong place. I'm popping Rad-X like aspirin over here just to stay alive. Get out of here. Save yourself.","QuestGiver: Kind of wish you would of set up a cot or something, but at least it's safe, right? It is safe, right?","Skittish, trying to make this sound believable",RRR02a_0100_GetQuest
Scene,SceneDialogue,Custom,,Player Default: Mine is in the shop.,"You're HQ's new guy, right? Thanks for setting up this place.","QuestGiver: Kind of wish you would of set up a cot or something, but at least it's safe, right? It is safe, right?",Relief / Grateful,RRR02a_0100_GetQuest
Scene,SceneDialogue,Custom,,Player Default: Mine is in the shop.,"You're HQ's new gal, right? Thanks for setting up this place.","QuestGiver: Kind of wish you would of set up a cot or something, but at least it's safe, right? It is safe, right?",Relief / Grateful,RRR02a_0100_GetQuest
Scene,SceneDialogue,Custom,,Player Default: Why do you ask?,"Plenty of hot spots nearby. If you don't got a geiger counter, boy, you can soak up a lot of rads. Don't say I didn't warn you.","QuestGiver: Kind of wish you would of set up a cot or something, but at least it's safe, right? It is safe, right?","Skittish, trying to make this sound believable",RRR02a_0100_GetQuest
Scene,SceneDialogue,Custom,,Player Default: Then make sure it's got plenty of juice. Lots of hot spots nearby. I warned you.,"Kind of wish you would of set up a cot or something, but at least it's safe, right? It is safe, right?",Player Default: You shouldn't have any problems out here.,Bitching - then gets scared,RRR02a_0100_GetQuest
