CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,TeddyWright: You going to listen to Allen's hate-mongerin'? You even remember who did the Captain's Dance?,Mainlander cleared my farm. Avenged my family! More than the rest of you ever did for me.,SmallBertha: What's Allen really ever done? Cause trouble. Remember who cleared the Lumber Mill.,,DLC03MQ05_0500c_SpareAvery
Scene,SceneDialogue,Custom,,TeddyWright: You going to listen to Allen's hate-mongerin'? You even remember who did the Captain's Dance?,"I'm with you, Allen.",SmallBertha: What's Allen really ever done? Cause trouble. Remember who cleared the Lumber Mill.,,DLC03MQ05_0500c_SpareAvery
Miscellaneous,Miscellaneous,Hello,,,The island gets us all in the end... but it ain't got me yet!,,"Muttered to self... bitter, hard-edged, but defiant",
Miscellaneous,Miscellaneous,Hello,,,"The Dalton family was great once, but that was a long time ago.",,"Pride, giving way to regret",
Miscellaneous,Miscellaneous,Hello,,,"If you're heading out beyond the Hull, you look out for those rad-head fanatics.",,"Disdain for the Children of Atom, you think they're all insane",
Miscellaneous,Miscellaneous,Hello,,,"Just so you know, mainlanders don't last long here.",,"Aloof, a little condescending. You don't think the player is going to last a day here.",
Miscellaneous,Miscellaneous,Hello,,,"You can feel it... the island, watching you, waiting for your guard to drop.",,"Spooked, paranoid",
Scene,SceneDialogue,Custom,,Player Default: You certainly have.,"Now every good story's got to have a happy ending, right? The hero finds the treasure, saves the sweetheart an' rides off into the sunset.",,Friendly / Friendly,DLC03FarHarborFF01CassieScene4Conclude
Scene,SceneDialogue,Custom,,,"Well, I'm a little old to leap up on a horse, but I have got something close to a treasure.",,"Warm, jovial / Friendly",DLC03FarHarborFF01CassieScene4Conclude
Scene,SceneDialogue,Custom,,,"This is an heirloom that's been in my family for... let me think... oh, for a least a generation or two.",,"Proud, describing a family heirloom / Friendly",DLC03FarHarborFF01CassieScene4Conclude
Scene,SceneDialogue,Custom,,,"There's no Daltons left to inherit the thing, so it might as well pass on to you.",,Friendly / Friendly,DLC03FarHarborFF01CassieScene4Conclude
Scene,SceneDialogue,Custom,,,"The island knows this weapon. Oh yes. You carry this, and it'll take you seriously.","Cassie: And that's it. That's the end. I can sleep easy now, knowing there won't be any unfinished business when they put me in the ground.",Reverent / Neutral,DLC03FarHarborFF01CassieScene4Conclude
Scene,SceneDialogue,Custom,,"Player Default: Everybody was, but that didn't matter to the island, oh no. He was cursed the moment he was born a Dalton.","He had a farm, little ways north of here. Lived a peaceful life, workin' the land and not causin' anyone trouble.",,Thinking back with sadness / Neutral,DLC03FarHarborFF01CassieScene2Mirelurks
Scene,SceneDialogue,Custom,,,"The island sent somethin' after him... a huge monster, mean as spit an' with claws to snap steel beams. A Fog Crawler!",,"Dramatic, building up this monster / Somber",DLC03FarHarborFF01CassieScene2Mirelurks
Scene,SceneDialogue,Custom,,,"Grandpa bravely stood his ground, a shotgun in his hands, holding off that terror while the farm hands fled back here.",,Proud of the memory / Impressed,DLC03FarHarborFF01CassieScene2Mirelurks
Scene,SceneDialogue,Custom,,,"If you can take out that shell-backed devil, it'll send a message loud and clear that says the Daltons never forget when they've been wronged!",Player Default: The Fog Crawler at the farm? It's already dead.,"Determined, enthusiastic / Confident",DLC03FarHarborFF01CassieScene2Mirelurks
Scene,SceneDialogue,Custom,,Player Default: I'm sorry. You must have been very fond of him.,"Everybody was, but that didn't matter to the island, oh no. He was cursed the moment he was born a Dalton.","Cassie: He had a farm, little ways north of here. Lived a peaceful life, workin' the land and not causin' anyone trouble.",Sad / Sad,DLC03FarHarborFF01CassieScene2Mirelurks
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: We've all lost someone. You deal with it and you move on. That's life.,"Well we haven't all lost someone like Grandpa George, I can promise you that. A kinder and braver man has never walked these streets.",,Defiant / Irritated,DLC03FarHarborFF01CassieScene2Mirelurks
Miscellaneous,Miscellaneous,SharedInfo,,,I still remember the day I heard the news about what happened to him.,"Cassie: He had a farm, little ways north of here. Lived a peaceful life, workin' the land and not causin' anyone trouble.",Sad / Sad,DLC03FarHarborFF01CassieScene2Mirelurks
Scene,SceneDialogue,Custom,,"Player Default: You're a good person, I can see that.","I've been thinking about what's next, and then it came to me. We all love our grandparents, don't we? Kind, gentle, doting. Love to spoil you.",,Fond reminiscense / Thinking,DLC03FarHarborFF01CassieScene2Mirelurks
Scene,SceneDialogue,Custom,,,You'd never want something awful to happen to them. Nobody would. That's why it broke my heart when I lost Grandpa George.,Player Default: I'm sorry. You must have been very fond of him.,"A leading question, you're about to ask for help again / Sad",DLC03FarHarborFF01CassieScene2Mirelurks
Scene,SceneDialogue,Custom,,Player Default: I wasn't looking to get paid. I'm just happy to help you out.,"You're a good person, I can see that.","Cassie: I've been thinking about what's next, and then it came to me. We all love our grandparents, don't we? Kind, gentle, doting. Love to spoil you.","Warm, friendly / Friendly",DLC03FarHarborFF01CassieScene2Mirelurks
Miscellaneous,Miscellaneous,SharedInfo,,"Player Default: Come on, that's barely pocket change.","Well, the real treasure's waiting for you at the end of the story, but we haven't got to that yet.","Cassie: I've been thinking about what's next, and then it came to me. We all love our grandparents, don't we? Kind, gentle, doting. Love to spoil you.","Sly, baiting the player / SinisterSmile",DLC03FarHarborFF01CassieScene2Mirelurks
Scene,SceneDialogue,Custom,,Player Default: I think I deserve more than that.,I suppose I could part with a little more. Here's another 100 caps.,"Cassie: I've been thinking about what's next, and then it came to me. We all love our grandparents, don't we? Kind, gentle, doting. Love to spoil you.",Friendly / Friendly,DLC03FarHarborFF01CassieScene2Mirelurks
