CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Faraday: I'm finishing up some tweaks to the program right now. I'll leave a copy of it for you on my desk when I'm done.,Get the program. Use it to break into the memory banks. Got it.,DiMA: Hopefully you won't have to. We'll keep monitoring the situation. I only want you going in if we have no other choice.,summarizing your orders / Confident,DLC03MQ03_03_EavesdropScene
Scene,SceneDialogue,Custom,,"DiMA: There's a conflict that's been brewing on this island, shortly after we built Acadia. Between Far Harbor and the Children of Atom.","Simply put: They want to kill each other, and each side wants us to help them.","Faraday: We've tried to stay neutral, but Far Harbor was going to be wiped out by the Fog, so that's when we built the Condensers for them.","talking to the player, who has persuaded DiMA to tell you about what's going on",DLC03MQ03_04_DiMAPersuade
Scene,SceneDialogue,Custom,,"DiMA: And I was friends with the previous leader of the Children of Atom, Confessor Martin. I even gave them their headquarters, the submarine base they named the Nucleus.","Which was a mistake, because Martin is gone and the new Confessor, Tektus, is completely insane.","DiMA: He's been threatening us, to force us to choose a side. I left behind something very important in that submarine base I gave them.",,DLC03MQ03_04_DiMAPersuade
Scene,SceneDialogue,Custom,,Faraday: DiMA's earliest memories are stored in the military computer banks in that base. The prewar security systems and Confessor Martin's good will were supposed to keep them safe.,"But now Tektus is in charge, and he's after DiMA's memories. We don't even know what's in them.","DiMA: But we do know that I spent nearly a century on this island, alone. Whatever's in there is too dangerous to allow Tektus to get his hands on them.",,DLC03MQ03_04_DiMAPersuade
Scene,SceneDialogue,Custom,,"Player Default: If you're willing to retrieve what I've lost and bring my memories back to me, then we'd all be one step closer to solving this conflict without bloodshed.","You'll have to get through the Children of Atom's base. You're new on the island, so you might be able to pose as a recruit.","Faraday: Then once you get to the memory banks, you'll have to use a special program DiMA and I have been working on to break through the security systems.",,DLC03MQ03_04_DiMAPersuade
Scene,SceneDialogue,Custom,,DiMA: We need to accomplish this without bloodshed. Far Harbor and the Children of Atom have a right to exist on this island. The same as us.,"They're going to kill each other, DiMA. There's no stopping it. We need to pick a side now.",Faraday: Haven't we already picked a side? Building the Fog Condensers around Far Harbor wasn't exactly a neutral act.,Stern,DLC03MQ03_03_EavesdropScene
Scene,SceneDialogue,Custom,,DiMA: We couldn't stand by and let the people of this island die to the Fog.,Just like you couldn't just leave the Cult of Atom without a home? Giving them the submarine base was a mistake.,,Stern,DLC03MQ03_03_EavesdropScene
Scene,SceneDialogue,Custom,,,"""The Nucleus"", as they're calling it, is basically one big fortified position.","DiMA: Far Harbor had cast them out. They have strange beliefs, but they have always accepted us for what we are. And Confessor Martin was a friend.",Stern,DLC03MQ03_03_EavesdropScene
Scene,SceneDialogue,Custom,,"DiMA: Far Harbor had cast them out. They have strange beliefs, but they have always accepted us for what we are. And Confessor Martin was a friend.","Well the new Confessor isn't. ""High Confessor"" Tektus is an unstable megalomaniac and he's going to keep threatening us as long as we're helping Far Harbor.",Faraday: Guys. Can we talk about the elephant in the room? We keep dancing around it.,Stern,DLC03MQ03_03_EavesdropScene
Scene,SceneDialogue,Custom,,DiMA: My old memory banks in the submarine base.,I can't believe you never told me about those. I have to wait until they become a security risk.,"DiMA: I know how it looks in hindsight, but at the time, it was an act of trust. I was honestly more worried they'd accidentally trip the prewar security and get hurt.",Stern,DLC03MQ03_03_EavesdropScene
Scene,SceneDialogue,Custom,,DiMA: Giving the Children my old home. Allowing them to safeguard my old memories. I thought our people would be working together.,*sigh* Just how secure are the banks? How long do we have? And what's in them?,"DiMA: I've gone over this before, Chase. I don't know what's in them. That's how it works. It's as close to ""forgetting"" something as I have.","sad that DiMA is always so idealistic, but trying to move back to solving the problem / Concerned",DLC03MQ03_03_EavesdropScene
Scene,SceneDialogue,Custom,,"DiMA: But I've run some projections of... worst-case scenarios. If we do nothing, and the wrong knowledge falls in the wrong hands...",So send me over there. I'll be in and out in a day.,"DiMA: We can't risk it. They know you're from Acadia. If you're caught or even seen, then it's war.",Stern,DLC03MQ03_03_EavesdropScene
Scene,SceneDialogue,Custom,,Faraday: We should at least prepare her to go in. We're running out of options. I say we tell her how to crack into the memory banks.,You've been working on this without me?,"DiMA: It came up in a private moment, Chase. But yes, we've been writing a program that will let you access and download my memories.",DiMA and Faraday are close and you hate that they leave you out of critical discussions / Irritated,DLC03MQ03_03_EavesdropScene
Scene,SceneDialogue,Custom,,Player Default: I'd like to help you all. Is there anything I can do?,"No, I'm afraid not.",,,DLC03AcadiaDialogueChaseBaseScene
Scene,SceneDialogue,Custom,,Player Default: I'd like to help you all. Is there anything I can do?,You've already done enough. Thank you.,,,DLC03AcadiaDialogueChaseBaseScene
Scene,SceneDialogue,Custom,,Player Default: I'd like to help you all. Is there anything I can do?,You're already taking care of it... aren't you?,,,DLC03AcadiaDialogueChaseBaseScene
Scene,SceneDialogue,Custom,,Player Default: I'd like to help you all. Is there anything I can do?,Actually...,,,DLC03AcadiaDialogueChaseBaseScene
