CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,You stop machine? Now monsters die good!,,,DLC04CitoMachineOff
Scene,SceneDialogue,Custom,,,Doctor man have key! We open clo-ning fa-cil-ity.,,Struggle with pronunciation a bit. Excited your info helped.,DLC04CitoHeinKeyPickup
Scene,SceneDialogue,Custom,,,This it! This big metal snake!,,Excited you helped,DLC04CitoBigMetalSnakeArrive
Scene,SceneDialogue,Custom,,,This big triangle house. It have door Cito never open.,,,DLC04CitoTriangleHouseArrive
Scene,SceneDialogue,Custom,,,This door Cito not know how to open.,,,DLC04CitoCloningDoorLocked
Scene,SceneDialogue,Custom,,Player Default: Cito happy have strong friend.,You kill Monster alone. Monster strong but you stronger.,,Confident,DLC04CitoIntroScene
Scene,SceneDialogue,Custom,,,Cito happy you kill Monster. Monster hurt Cito and Cito family.,"Player Default: Well, it can't hurt you anymore, Cito.",Angry,DLC04CitoIntroScene
Scene,SceneDialogue,Custom,,Player Default: Of course I'll help.,Cito happy you help!,CitoAlias: New friend follow Cito.,Happy,DLC04CitoIntroScene
Scene,SceneDialogue,Custom,,Player Default: *Sigh* I knew this would be a pain in the ass.,Cito not doctor. Maybe find medicine for ass while help Cito?,CitoAlias: New friend follow Cito.,"Cito doesn't get the idiom ""Pain in the ass"" and took it literally / Thinking",DLC04CitoIntroScene
Scene,SceneDialogue,Custom,,Player Default: That depends. What are you offering in return?,New friend make Monster stop. Cito promise shiny thing give new friend.,,Confident,DLC04CitoIntroScene
Scene,SceneDialogue,Custom,,,Help Cito?,Player Default: Of course I'll help.,Question,DLC04CitoIntroScene
Scene,SceneDialogue,Custom,,Player Default: Maybe. Do you have any idea where they're coming from?,Cito not know.,CitoAlias: New friend follow Cito.,Irritated,DLC04CitoIntroScene
Scene,SceneDialogue,Custom,,"Player Default: It's okay Cito, we'll take care of your family.",Cito like new friend.,CitoAlias: Cito have story. Story help stop Monsters.,Friendly,DLC04CitoPrimateHouseScene
Scene,SceneDialogue,Custom,,Player Default: Just get to the part where you tell me how to kill them.,New friend not talk. New friend listen.,CitoAlias: Cito have story. Story help stop Monsters.,Irritated,DLC04CitoPrimateHouseScene
Scene,SceneDialogue,Custom,,Player Default: I hope you know somewhere to start.,Cito maybe know.,CitoAlias: Cito have story. Story help stop Monsters.,,DLC04CitoPrimateHouseScene
Scene,SceneDialogue,Custom,,Player Default: Why bring me here then?,Listen to Cito.,CitoAlias: Cito have story. Story help stop Monsters.,Confident,DLC04CitoPrimateHouseScene
Scene,SceneDialogue,Custom,,Player Default: Yes! Cito know!,"It big... what word? ""Ride.""",,Thinking,DLC04CitoAngryAnacondaScene
Scene,SceneDialogue,Custom,,,Ride like big snake. Cito see from everywhere. Very big. Very snakey.,,Confident,DLC04CitoAngryAnacondaScene
