CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,I don't know that this is the time...,"Shaun: Doctor Holdren, it is time. Please.",,Inst303DirectorateFatherScene
Scene,SceneDialogue,Custom,,"Shaun: To that end, I am naming my father as my successor.","Oh, boy.",Justin: You can't be serious!,uncomfortable,Inst303DirectorateFatherScene
Scene,SceneDialogue,Custom,,"Shaun: May I say, Doctor Holdren, I'm quite impressed with the latest harvest from your division.","Oh, thank you sir. Isaac and Dean did a great deal of work over the last few months. I'll let them know you're pleased with the result.","Allie: Doctor Ayo, did you still need modifications to the entryway for the SRB?",proud,Inst303DirectoratePreSceneLoop
Miscellaneous,Miscellaneous,Greeting,,,Now's not really a good time.,,Apologetic,
Scene,SceneDialogue,Custom,,Player Default: Great! I was hoping you'd say that.,"In any case, I imagine you'll want to continue looking around. Or, if you prefer, I'd be happy to answer any questions you might have.",Player Default: You mentioned medical care. I might need that from time to time.,"Friendly, courteous / Friendly",DialogueInstituteClaytonFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: You mentioned medical care. I might need that from time to time.,"In that case, you'll want to introduce yourself to Doctor Dean Volkert.",,,DialogueInstituteClaytonSubsequentScene
Scene,SceneDialogue,Custom,,,"He's our top biologist, and also serves as the Institute's resident physician.",,,DialogueInstituteClaytonSubsequentScene
Scene,SceneDialogue,Custom,,,Doctor Volkert works in the infirmary. Just pay him a visit whenever you need to.,,,DialogueInstituteClaytonSubsequentScene
Scene,SceneDialogue,Custom,,,"You won't find better medical care anywhere else in the Commonwealth, I'll promise you that.",,Confident,DialogueInstituteClaytonSubsequentScene
Scene,SceneDialogue,Custom,Ask,"Player Default: I'm good for now, thanks.","Take care, then.",,Polite,DialogueInstituteClaytonSubsequentScene
Scene,SceneDialogue,Custom,,Player Default: Tell me more about those synth gorillas.,"On the whole, I'd say they were a success. Their behavior does generally match what our historical data says it should be.",,Friendly,DialogueInstituteClaytonSubsequentScene
Scene,SceneDialogue,Custom,,,"Unfortunately, we had a few early setbacks. The creatures can become suddenly aggressive, and they're quite strong.",,Friendly,DialogueInstituteClaytonSubsequentScene
