CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Greeting,,,,Player Default: Do what I say and no one gets hurt.,Afraid,HoldupDialogue
Scene,SceneDialogue,Custom,,,Great. Have a seat and I'll see what I can do for you.,,Friendly,DLC06WorkshopBarberScene
Scene,SceneDialogue,Custom,,,"Sit down, and tell me what you're looking for.",,Friendly,DLC06WorkshopBarberScene
Scene,SceneDialogue,Custom,,,"Just sit in the chair, and I'll make you look great.",,Friendly,DLC06WorkshopBarberScene
Scene,SceneDialogue,Custom,,,"Time for a new look, huh? Sit down and I'll get started.",,Friendly,DLC06WorkshopBarberScene
Scene,SceneDialogue,Custom,,,"Some other time, then.",,Friendly,DLC06WorkshopBarberScene
Scene,SceneDialogue,Custom,,,Okay. I'll be here.,,Friendly,DLC06WorkshopBarberScene
Scene,SceneDialogue,Custom,,,Come back when you're ready for a new look.,,Friendly,DLC06WorkshopBarberScene
Scene,SceneDialogue,Custom,,,It's a big decision. I understand.,,Friendly,DLC06WorkshopBarberScene
Scene,SceneDialogue,Custom,,,Take your time. I'll be here.,,Friendly,DLC06WorkshopBarberScene
Scene,SceneDialogue,Custom,,,Stop by again when you're ready.,,Friendly,DLC06WorkshopBarberScene
Scene,SceneDialogue,Custom,,,"Oh, really? OK... um, sit in the chair and I'll do my best.",,you're a bit concerned that you don't know what you're doing / Nervous,DLC06WorkshopSurgeryScene
Scene,SceneDialogue,Custom,,,Ok. I can do this. Yeah. Go ahead and sit down in the chair and don't worry about a thing.,,you're a bit concerned that you don't know what you're doing / Nervous,DLC06WorkshopSurgeryScene
Scene,SceneDialogue,Custom,,,"Ah, okay, I'm sure it'll be fine. I can do this. Just sit down in the chair.",,you're a bit concerned that you don't know what you're doing / Nervous,DLC06WorkshopSurgeryScene
Scene,SceneDialogue,Custom,,,"Smart. I have this book, but... well, lets just say I'm not the most experienced surgeon around.",,Relieved,DLC06WorkshopSurgeryScene
Scene,SceneDialogue,Custom,,,"Yeah, I wouldn't let me work on my face either.",,Relieved,DLC06WorkshopSurgeryScene
Scene,SceneDialogue,Custom,,,"Oh, good. Just between you and me, I'm not one hundred percent sure I know what I'm doing.",,Relieved,DLC06WorkshopSurgeryScene
Scene,SceneDialogue,Custom,,,"Probably a smart move, to be honest.",,Relieved,DLC06WorkshopSurgeryScene
Scene,SceneDialogue,Custom,,,Good idea. Definitely think it over.,,Relieved,DLC06WorkshopSurgeryScene
Scene,SceneDialogue,Custom,,,"Okay, good.",,Relieved,DLC06WorkshopSurgeryScene
