CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: It was America's pasttime. A sport that united families on warm summer days. And it wasn't violent. Mostly.,Certainly no one was beaten to death as part of the game mechanics.,Moe: ... I like my version better.,Adding to the player's explanation of baseball. / Neutral,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: The teams would also beat the spectators to death. That's how the term ""spectator sport"" got started.","Really, mum. Don't encourage him.",Moe: ... I like my version better.,player is backing up a lie. / Neutral,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: The teams would also beat the spectators to death. That's how the term ""spectator sport"" got started.","Really, sir. Don't encourage him.",Moe: ... I like my version better.,Player is adding on to an already false idea of what baseball was. / Neutral,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: There were balls, strikes, three bases, and home runs. You kept score by how many runners made it to home plate.","Yes, none of this beating people to death nonsense.",Moe: ... I like my version better.,Backing up the player. / Neutral,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Oh goody!,,about to show your wares / Happy,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Here you are.,,about to show your wares / Happy,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Anything and everything.,,about to show your wares / Happy,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Excellent!,,about to show your wares / Happy,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,The highest quality available.,,about to show your wares / Happy,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Oh... Very well...,,disappointed,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Come again!,,,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Do come and see us again!,,,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Another time then?,,,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"No problem, sir!",,,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"No problem, mum!",,,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Take your time, sir.",,,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Take your time, mum.",,,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Of course.,,,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,We're always open if you need us.,,,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Oh... Very well.,,,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Remember. We're open 24 hours a day.,,,PercyGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,*sigh* Very well.,,"snobbish, about to show the menu",WellinghamGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,I'm afraid I must oblige.,,"snobbish, about to show the menu",WellinghamGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,"Our menu, if you can understand it.",,"snobbish, about to show the menu",WellinghamGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Tastes for a sophisticated palette.,,"snobbish, about to show the menu",WellinghamGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,If you insist.,,"snobbish, about to show the menu",WellinghamGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Thank god...,,"snobby, glad the player isn't drinking here",WellinghamGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,A prudent decision.,,"snobby, glad the player isn't drinking here",WellinghamGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Glad to see you know your place.,,"snobby, glad the player isn't drinking here",WellinghamGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Goodbye. Don't come back.,,"snobby, glad the player isn't drinking here",WellinghamGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Go away then. Shoo.,,"snobby, glad the player isn't drinking here",WellinghamGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Please don't come back.,,,WellinghamGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Perhaps you'll realize you don't belong here.,,,WellinghamGreetScene
