CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Cog: Anyway, lately I've taken to amusing myself with trading. Don't have much to work with, but I'm always happy to make a good deal.","Let me know if you need something. I probably won't have it, but let me know anyway.",Player Default: Let's see what you've got.,,DLC03AcadiaDialogueCogInitialScene
Scene,SceneDialogue,Custom,,"Player Default: Hey, Kasumi said she needed the key to the storage room downstairs. Can I borrow it?","Well, yeah, I guess. I mean, you could, but I lost it. Should never have agreed to help Faraday move all that equipment in the observatory.",,player says Kasumi needs the key to the storage room. you're convinced he's being honest / Tired,DLC03AcadiaDialogueCogBaseScene
Scene,SceneDialogue,Custom,,,Like there could be anything I'm carrying that's going to damage DiMA's computers. *sigh*,,Irritated,DLC03AcadiaDialogueCogBaseScene
Scene,SceneDialogue,Custom,,,"I was shoving things around in that upper floor that circles the wall of the telescope room, if that helps.",,,DLC03AcadiaDialogueCogBaseScene
Scene,SceneDialogue,Custom,,"Player Default: Hey, Kasumi said she needed the key to the storage room downstairs. Can I borrow it?","What? No. She doesn't have any business there, and neither do you.",,"firm ""no."" player says Kasumi needs the key to the storage room. you're not convinced he's being honest / Irritated",DLC03AcadiaDialogueCogBaseScene
Scene,SceneDialogue,Custom,,"Player Default: Hey, Kasumi said she needed the key to the storage room downstairs. Can I borrow it?","God, no. Have you looked around this place? Death by boredom is a legitimate concern.",,,DLC03AcadiaDialogueCogBaseScene
Scene,SceneDialogue,Custom,,,So come on - you want to do a little trading?,Player Default: Let's see what you've got.,,DLC03AcadiaDialogueCogBaseScene
Scene,SceneDialogue,Custom,,"Player Default: Hey, Kasumi said she needed the key to the storage room downstairs. Can I borrow it?","Me? Ha. No story here. Not one that matters, anyway. Like I said, it's not worth holding on to.",,,DLC03AcadiaDialogueCogBaseScene
Scene,SceneDialogue,Custom,,,"Nice of you to ask, though.",,,DLC03AcadiaDialogueCogBaseScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,You know where to find me...,,,DLC03AcadiaDialogueCogBaseScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Ah, some other time, then.",,,DLC03AcadiaDialogueCogBaseScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,You never know... I  might actually have somethin' useful.,,,DLC03AcadiaDialogueCogBaseScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Now we're talkin'.,,,DLC03AcadiaDialogueCogBaseScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Let's do some business.,,,DLC03AcadiaDialogueCogBaseScene
