CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,"And there he is. The most resilient man in the Commonwealth. Funny, I thought I had that honor.","Player Default: You murdering, kidnapping psychopath. Give me my son. Give me Shaun! Now!",Amused,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,,And there she is. The most resilient woman in the Commonwealth.,"Player Default: You murdering, kidnapping psychopath. Give me my son. Give me Shaun! Now!",Amused,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,"Player Default: You murdering, kidnapping psychopath. Give me my son. Give me Shaun! Now!","Right to it then, huh? Okay. Fine.",,Surprised,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,,"Your son, Shaun. Great kid. A little older than you may have expected, but I'm guessing you figured that out by now.",,SinisterSmile,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,,"But if you're hoping for a happy reunion? Ain't gonna happen, pal. Your boy's not here.","Player Default: Tell me where he is, damn it!",Stern,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,"Player Default: You murdering, kidnapping psychopath. Give me my son. Give me Shaun! Now!","Right to it then, huh? Okay. Fine.",,Surprised,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,,"Your son, Shaun. Great kid. A little older than you may have expected, but I'm guessing you figured that out by now.",,SinisterSmile,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,,But if you're hoping for a happy reunion? Ain't gonna happen. Your boy's not here.,"Player Default: Tell me where he is, damn it!",Stern,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,Player Default: You murdered my wife... took my son. You're a dead man!,Your wife. That was... a regrettable accident. Still...,,Depressed,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,,"This world, this life? You've seen it. Pain, suffering. Death is its only escape. But don't worry. Shaun's fine. Maybe a little older than you expected, hmm?",,Depressed,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,,"But I can't give him to you, because he ain't here.","Player Default: Tell me where he is, damn it!",Stern,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,Player Default: You murdered my wife... took my son. You're a dead man!,Your husband. That was... a regrettable accident. Still...,,Depressed,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,,"This world, this life? You've seen it. Pain, suffering. Death is its only escape. But don't worry. Shaun's fine. Maybe a little older than you expected, hmm?",,Depressed,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,,"But I can't give him to you, because he ain't here.","Player Default: Tell me where he is, damn it!",Stern,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,"Player Default: End end of the line, Kellogg. You die, and I get my son back.",You can turn around right now. Go back the way you came.,,Amused,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,,Shaun? Besides being a bit older than you were expecting... I'm afraid he's not even here.,,Amused,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,,So you see? It is the end of the line. But not the way you imagined.,"Player Default: Tell me where he is, damn it!",,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,Player Default: Where is my son? Where's Shaun?,"Hmph. Pal, I'm just a puppet like you. My stage is a little bigger, that's all.",,Irritated,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,,"Shaun's a good kid. A bit older than you expected, am I right? But he's doing great. Only... he's not here. He's with the people pulling the strings.","Player Default: Tell me where he is, damn it!",Stern,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,Player Default: Where is my son? Where's Shaun?,"Hmph. Lady, I'm just a puppet like you. My stage is a little bigger, that's all.",,Irritated,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,,"Shaun's a good kid. So maybe he's not quite a ""baby"" anymore. But he's doing great. Only... he's not here. He's with the people pulling the strings.","Player Default: Tell me where he is, damn it!",Stern,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,"Player Default: Tell me where he is, damn it!",Fine. I guess you've earned that much.,,Confident,MQ106_KelloggLastSceneNew
Scene,SceneDialogue,Custom,,,"Shaun's in a good place. Where he's safe, and comfortable, and loved. A place he calls home. The Institute.","Player Default: The Institute? Well I'll find him, no matter where he is. Nothing will stop me.",Confident,MQ106_KelloggLastSceneNew
