CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: It was America's pasttime. A sport that united families on warm summer days. And it wasn't violent. Mostly.,"And so many statistics were involved. RBIs, batting averages.",Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: The teams would also beat the spectators to death. That's how the term ""spectator sport"" got started.",Which game exactly did you go to?,Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: There were balls, strikes, three bases, and home runs. You kept score by how many runners made it to home plate.","As far as sports go, it is fairly straight forward.",Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,Player Default: Always believed in freedom of the press.,"Without free and unbiased information, an electorate's decisions would be all wrong.","Mayor: Oh, I didn't mean to bring you into this argument, good sir. No no no... You look like Diamond City material.",,08MayorIntroScene2a
Scene,SceneDialogue,Custom,,Player Default: Newspapers just like to stir up trouble.,But isn't the free flow of information worth any bumps along the way?,"Mayor: Oh, I didn't mean to bring you into this argument, good sir. No no no... You look like Diamond City material.",objecting to what the player just said,08MayorIntroScene2a
Scene,SceneDialogue,Custom,,"Player Default: You made a mistake, but you can still do the right thing, doctor. Just think this through.",Is it not the duty of the doctor or scientist to learn from their failures. You cannot deny the data.,DocCrocker: You're...you're right. There's one thing I can do. Only one thing's going to make this all better.,,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,"Player Default: Oh, screw this. Say ""hi"" to Earl for me.",And again with the killing... *sigh*,,,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,"Player Default: You've killed a man, doctor. You're going to pay for it. Put the gun down, and come with me.",You would be wise to listen. This is a mercy being offered to you.,"DocCrocker: I... I did it, didn't I? I killed a man. Oh god. There's so much blood. So much blood all over me!",,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,,"Is the world full of such... tragedy? I thought this was only in books. But you tried to make it better, at least.",Companion: Crocker got exactly what was comin' to him.,,004b_MS07aCompanionInterjects
Scene,SceneDialogue,Custom,,,This doctor went so very wrong. But surely there were other options...?,,,004b_MS07aCompanionInterjects
Scene,SceneDialogue,Custom,,,So many breeds of canis familiaris. But I think this may be one of the best. Good dog. He led us straight to Kellogg.,,Friendly / Friendly,MQ106_CompanionDogmeatScene
Scene,SceneDialogue,Custom,,Player Default: Then let's go find your home.,"Don't worry, everything will be fine.",Billy: Thanks. I live in Quincy. Or at least I used to. But I don't know how to get there.,,MS01BillyOutOfFridge
Scene,SceneDialogue,Custom,,Player Default: You'll have to figure out your own life.,"Are we not supposed to protect the young? Well, he's old... But he's still young.",Billy: I guess I'll just sit here until some monster comes and eats me.,,MS01BillyOutOfFridge
Scene,SceneDialogue,Custom,,"Player Default: I hate to tell you this, but your parents are probably dead.",Such a cruel thing to say.,Billy: Dead? You really think so?,,MS01BillyOutOfFridge
Miscellaneous,Miscellaneous,SharedInfo,,Jack: You fool! Why didn't you do as I asked?,Curie interjects,,,MS09ParsonsBossRoomLorenzoEscapes
Scene,SceneDialogue,Custom,,Player Default: That's really interesting.,I put my trust in the scientific method. Not this pseudo-spirituality.,Jack: I'm glad to hear you say that. It's become my life's work.,,MS09CabotHouseIntroJack
Scene,SceneDialogue,Custom,,"Player Default: You can believe whatever wacko theories you want, as long as I get paid.",I heartily agree.,"Jack: Well if that's how you feel, I'll leave you to Edward. He'll be your immediate supervisor.",,MS09CabotHouseIntroJack
