CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"MacCready: Now how could I stay away from someone as cute as you, Daisy?","You're a lousy liar, but I'll just play stupid and pretend I don't know that.",,playful / Friendly,COMMacCreadyQuestBScene07
Scene,SceneDialogue,Custom,,,"So, what did you need?","MacCready: I got it, Daisy. I found the cure to Duncan's disease.",Question,COMMacCreadyQuestBScene07
Scene,SceneDialogue,Custom,,"MacCready: I got it, Daisy. I found the cure to Duncan's disease.",Oh my god! That's wonderful news.,,Surprised,COMMacCreadyQuestBScene07
Scene,SceneDialogue,Custom,,,"How did you do it? Last time you tried, the ferals almost chewed you to bits.",MacCready: I didn't do it alone. My friend here got me through Med-Tek.,Surprised,COMMacCreadyQuestBScene07
Scene,SceneDialogue,Custom,,MacCready: Now all I need to do is get the cure into Duncan's hands. Can you help me?,"Of course, MacCready. You've saved my behind more than once, it's the least I can do.","COMMacBDaisy: It's okay, you can trust me. I swear I'll get the cure to Duncan.",Friendly,COMMacCreadyQuestBScene07
Scene,SceneDialogue,Custom,,"COMMacBDaisy: Of course, MacCready. You've saved my behind more than once, it's the least I can do.","It's okay, you can trust me. I swear I'll get the cure to Duncan.","Player Default: If MacCready trusts you, that's good enough for me.",Friendly,COMMacCreadyQuestBScene07
Scene,SceneDialogue,Custom,,"Player Default: If MacCready trusts you, that's good enough for me.","I appreciate that. He's actually not so bad, once you get to know him.",COMMacBDaisy: I'll get the sample on the first caravan leaving the Commonwealth. The driver owes me a few favors and he's reliable.,Friendly,COMMacCreadyQuestBScene07
Scene,SceneDialogue,Custom,,"Player Default: If this gets lost, you'll have to live with the guilt.","Don't worry, it's not going to get lost.",COMMacBDaisy: I'll get the sample on the first caravan leaving the Commonwealth. The driver owes me a few favors and he's reliable.,Confident,COMMacCreadyQuestBScene07
Scene,SceneDialogue,Custom,,Player Default: I don't have a problem with that.,Then it's settled.,COMMacBDaisy: I'll get the sample on the first caravan leaving the Commonwealth. The driver owes me a few favors and he's reliable.,Friendly,COMMacCreadyQuestBScene07
Scene,SceneDialogue,Custom,,Player Default: What did MacCready do to help you out?,Running a business in a town like Goodneighbor is a challenge.,,Concerned,COMMacCreadyQuestBScene07
Scene,SceneDialogue,Custom,,,Let's just say I've had my share of unfriendly customers and MacCready's been there to help me handle the situation.,"Player Default: If MacCready trusts you, that's good enough for me.",Friendly,COMMacCreadyQuestBScene07
Scene,SceneDialogue,Custom,,"Player Default: I appreciate that. He's actually not so bad, once you get to know him.",I'll get the sample on the first caravan leaving the Commonwealth. The driver owes me a few favors and he's reliable.,,Confident,COMMacCreadyQuestBScene07
Scene,SceneDialogue,Custom,,,"It will arrive at your homestead in no time, MacCready.","MacCready: Thanks, you're a doll.",Friendly,COMMacCreadyQuestBScene07
