CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Topic,PlayerDialogue,Rumors,,,We've got to do something about these damn raiders.,,,
Scene,SceneDialogue,Custom,,Player Default: I was glad to help out.,I can't argue with your timing. Who knows what would have happened to us if you hadn't been here?,,Grateful,WorkshopRaiderAttackGratitudeScene
Scene,SceneDialogue,Custom,,Player Default: I hate raiders. I kill them every chance I get.,I'm glad you're on our side.,,Impressed,WorkshopRaiderAttackGratitudeScene
Scene,SceneDialogue,Custom,,Player Default: I hate raiders. I kill them every chance I get.,That makes you one of the good guys in my book.,,Grateful,WorkshopRaiderAttackGratitudeScene
Scene,SceneDialogue,Custom,,Player Default: I didn't want you to have all the fun.,"If that's what you call fun, I'm glad you're on our side.",,Impressed,WorkshopRaiderAttackGratitudeScene
Scene,SceneDialogue,Custom,,Player Default: I didn't want you to have all the fun.,"Well, I don't know what would have happened if you hadn't been here.",,Grateful,WorkshopRaiderAttackGratitudeScene
Scene,SceneDialogue,Custom,,Player Default: What did they want?,"They were raiders. What do you think they wanted? Everything we've got, at a minimum. Maybe also kill us all or worse.",,Disgust,WorkshopRaiderAttackGratitudeScene
Scene,SceneDialogue,Custom,,Player Default: What did they want?,I don't think ferals want anything except to kill whatever they run across.,,Worried,WorkshopRaiderAttackGratitudeScene
Scene,SceneDialogue,Custom,,Player Default: What did they want?,"Damn Gunners, they're just raiders with fancier weapons. They'll attack anyone they think is too weak to defend themselves.",,Disgust,WorkshopRaiderAttackGratitudeScene
Scene,SceneDialogue,Custom,,Player Default: What did they want?,"Ever seen a Super Mutant camp? God, I wish I hadn't. Food is what they're after - meaning us.",,Disgust,WorkshopRaiderAttackGratitudeScene
Scene,SceneDialogue,Custom,,Player Default: What did they want?,Who knows? I've never understood why the damn Institute couldn't just leave us alone.,,Disgust,WorkshopRaiderAttackGratitudeScene
Scene,SceneDialogue,Custom,,Player Default: What did they want?,I'm sure killing us was pretty high on their list.,,Disgust,WorkshopRaiderAttackGratitudeScene
Scene,SceneDialogue,Custom,,"Player Default: Not right now, thanks.","Alright, just let me know.",,,WorkshopNewSettlerShort
Scene,SceneDialogue,Custom,,"Player Default: Not right now, thanks.",Alright then.,,Friendly,WorkshopNewSettlerShort
Miscellaneous,Miscellaneous,SharedInfo,,,Sure thing.,,Friendly,WorkshopNewSettlerShort
Miscellaneous,Miscellaneous,SharedInfo,,,Of course.,,Friendly,WorkshopNewSettlerShort
Scene,SceneDialogue,Custom,,Player Default: Did you need anything?,"If there's anything you can do to stop these raider attacks, I'd sure sleep easier.",,Worried,WorkshopNewSettlerShort
Scene,SceneDialogue,Custom,,Player Default: Did you need anything?,I wish there was something we could do about these damn raiders. They just won't leave us alone.,,Worried,WorkshopNewSettlerShort
Scene,SceneDialogue,Custom,,Player Default: Did you need anything?,These raider attacks are the biggest problem right now.,,Worried,WorkshopNewSettlerShort
Scene,SceneDialogue,Custom,,Player Default: Did you need anything?,"We're doing what we can, but if you could see about repairing some of the damage, we could get back to normal quicker.",,Concerned,WorkshopNewSettlerShort
Scene,SceneDialogue,Custom,,Player Default: Did you need anything?,"We're fixing things up as fast as we can, but maybe you can help repair some of the damage.",,Concerned,WorkshopNewSettlerShort
Scene,SceneDialogue,Custom,,Player Default: Did you need anything?,We could sure use some help fixing some of the damage.,,Concerned,WorkshopNewSettlerShort
Scene,SceneDialogue,Custom,,Player Default: Did you need anything?,"Well... to be honest, we're a bit short of food. Anything you can do would be appreciated.",,Worried,WorkshopNewSettlerShort
Scene,SceneDialogue,Custom,,Player Default: Did you need anything?,Food's been a bit short lately. It's making it tough on everyone.,,Worried,WorkshopNewSettlerShort
Scene,SceneDialogue,Custom,,Player Default: Did you need anything?,We could use more food. Everyone's hungry all the time.,,Worried,WorkshopNewSettlerShort
Scene,SceneDialogue,Custom,,Player Default: Did you need anything?,The water situation's not good. We're short on clean water and people are getting sick.,,Worried,WorkshopNewSettlerShort
Scene,SceneDialogue,Custom,,Player Default: Did you need anything?,There's not enough clean water to go around. It's been causing problems.,,Worried,WorkshopNewSettlerShort
Scene,SceneDialogue,Custom,,Player Default: Did you need anything?,Things would be easier if we had enough clean water to go around.,,Worried,WorkshopNewSettlerShort
