CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Hello,,,Now here is where you want to be. Anyone who's anyone drinks here.,,"flirtatious, outgoing",
Miscellaneous,Miscellaneous,Hello,,,Don't be shy. Sit down and have a drink.,,"flirtatious, outgoing",
Miscellaneous,Miscellaneous,Hello,,,Isn't it fabulous? Sitting up here in the Stands? You'll get addicted to it.,,"flirtatious, outgoing",
Miscellaneous,Miscellaneous,Hello,,,You're in the only spot worth going to around here.,,"flirtatious, outgoing",
Miscellaneous,Miscellaneous,Hello,,,I wanted so much more from my life than this. *sigh*,,,
Miscellaneous,Miscellaneous,Hello,,,Don't let my husband drag you into any of his nonsense.,,,
Miscellaneous,Miscellaneous,Hello,,,"Paul and I have a child. I regret a lot of things, but not my little Pete.",,,
Miscellaneous,Miscellaneous,Hello,,,I'm busy. Excuse me.,,,
Scene,SceneDialogue,Custom,,PaulPembroke: You son of a bitch!,"Don't hurt him, Henry!",,"concerned about Paul getting really hurt, but also kind of excited that Paul and Henry are fighting over you / Concerned",MS13IntroFightScene
Scene,SceneDialogue,Custom,,DarcyPembroke: Shut up. I don't come here to talk about Paul.,You there. I haven't seen you in here before.,DarcyPembroke: Why don't you make yourself useful and buy me a drink or something?,appraisingly / Friendly,MS13CookeIntro
Scene,SceneDialogue,Custom,,PlayerVoiceFemale01: What were you arguing about?,"It's really none of your business, is it?","HenryCooke: Darcy, don't be rude to my customers.",Irritated,MS13DarcyIntro
Scene,SceneDialogue,Custom,,"HenryCooke: He's not a bad guy, really. Just a little uptight. Too bad he can't learn to relax, eh, Darcy?",Shut up. I don't come here to talk about Paul.,DarcyPembroke: You there. I haven't seen you in here before.,petulantly / Irritated,MS13CookeIntro
Scene,SceneDialogue,Custom,,DarcyPembroke: You there. I haven't seen you in here before.,Why don't you make yourself useful and buy me a drink or something?,Player Default: Sure. Get the lady another of whatever she's having.,Flirting,MS13CookeIntro
Scene,SceneDialogue,Custom,,Player Default: Sure. Get the lady another of whatever she's having.,That's more like it. I hope you stick around. I think we might become good friends.,HenryCooke: Free booze. The fastest way to your heart.,Flirting,MS13CookeIntro
Scene,SceneDialogue,Custom,,Player Default: Sure. Get the lady another of whatever she's having.,Well thank you very much. I think you and I are going to get along just fine.,HenryCooke: Free booze. The fastest way to your heart.,Happy,MS13CookeIntro
Scene,SceneDialogue,Custom,,Player Default: You don't look like you need another drink.,"Aren't you all high and mighty, then? Why don't you get lost so I can drink in peace.","HenryCooke: Lighten up, Darcy. This isn't your own private bar, no matter what you might think.",Disgust,MS13CookeIntro
Scene,SceneDialogue,Custom,,"Player Default: If you insist. Set the lady up with another drink, Cooke.","You heard the man, Henry. Give me more of what I like.",HenryCooke: Let's see if I can remember...,salaciously / Flirting,MS13CookeIntro
Scene,SceneDialogue,Custom,,"Player Default: If you insist. Set the lady up with another drink, Cooke.","You heard the lady, Henry. Give me more of what I like.",HenryCooke: Let's see if I can remember...,salaciously / Flirting,MS13CookeIntro
Scene,SceneDialogue,Custom,,Player Default: You come here often?,As often as I can. Henry is so good at listening to my troubles.,HenryCooke: Troubles? What would you know about that?,Flirting,MS13CookeIntro
Scene,SceneDialogue,Custom,,PaulPembroke: Why don't you mind your own damn business for once?,"God, Paul, why do you always have to make a scene?","DarcyPembroke: Pour me another drink, Henry.",Disgust,MS13IntroScene
Scene,SceneDialogue,Custom,,"DarcyPembroke: God, Paul, why do you always have to make a scene?","Pour me another drink, Henry.","PaulPembroke: Dammit, Darcy, I just want you to come home.","smiling at Henry, pointedly ignoring your husband / Flirting",MS13IntroScene
