CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: It was America's pasttime. A sport that united families on warm summer days. And it wasn't violent. Mostly.,And here I thought it was an excuse to get drunk on a week day.,Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: The teams would also beat the spectators to death. That's how the term ""spectator sport"" got started.",And don't even ask about the umpire. That thing gives me nightmares.,Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,"Player Default: There were balls, strikes, three bases, and home runs. You kept score by how many runners made it to home plate.","Of all the things you could say, you went with that.",Moe: ... I like my version better.,,MoeGreetSceneBaseball02
Scene,SceneDialogue,Custom,,Player Default: Always believed in freedom of the press.,How constitutional of you.,"Mayor: Oh, I didn't mean to bring you into this argument, good sir. No no no... You look like Diamond City material.",,08MayorIntroScene2a
Scene,SceneDialogue,Custom,,Player Default: Newspapers just like to stir up trouble.,"I hear that. Keep me out of the front pages, thank you.","Mayor: Oh, I didn't mean to bring you into this argument, good sir. No no no... You look like Diamond City material.",agreeing with the player / Happy,08MayorIntroScene2a
Scene,SceneDialogue,Custom,,"Player Default: You made a mistake, but you can still do the right thing, doctor. Just think this through.","Hey, all of us have made mistakes. Big ones, small ones. Don't make it worse here.",DocCrocker: You're...you're right. There's one thing I can do. Only one thing's going to make this all better.,,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,"Player Default: Oh, screw this. Say ""hi"" to Earl for me.",*sigh* On it.,,,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,"Player Default: You've killed a man, doctor. You're going to pay for it. Put the gun down, and come with me.","You won't get a better deal anywhere, pal.","DocCrocker: I... I did it, didn't I? I killed a man. Oh god. There's so much blood. So much blood all over me!",,004_MS07aCrockerScene02
Scene,SceneDialogue,Custom,,,"You can lead a horse to water, but sometimes they'll still shoot themselves in the head.",Companion: Crocker got exactly what was comin' to him.,,004b_MS07aCompanionInterjects
Scene,SceneDialogue,Custom,,,Justice always leaves a sour taste in my mouth.,,,004b_MS07aCompanionInterjects
Scene,SceneDialogue,Custom,,,That little mutt's going to put Nick out of business with that nose of his. Now for Kellogg.,,"Approving, amused - then turns business / Amused",MQ106_CompanionDogmeatScene
