CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,Any additional pain or tenderness?,"Shaun: Not that I've noticed, no. I feel quite well.",,MVIFatherStage10PreSceneLoop
Scene,SceneDialogue,Custom,,,How's your energy level? Feeling any fatigue?,"Shaun: Not that I've noticed, no. I feel quite well.",,MVIFatherStage10PreSceneLoop
Scene,SceneDialogue,Custom,,,You're sticking to the regimen we agreed upon?,"Shaun: Not that I've noticed, no. I feel quite well.",,MVIFatherStage10PreSceneLoop
Scene,SceneDialogue,Custom,,,And you've been getting extra rest?,"Shaun: Not that I've noticed, no. I feel quite well.",,MVIFatherStage10PreSceneLoop
Scene,SceneDialogue,Custom,,"Shaun: Not that I've noticed, no. I feel quite well.",Interesting.,,,MVIFatherStage10PreSceneLoop
Scene,SceneDialogue,Custom,,"Shaun: Not that I've noticed, no. I feel quite well.",I see...,,,MVIFatherStage10PreSceneLoop
Scene,SceneDialogue,Custom,,"Shaun: Not that I've noticed, no. I feel quite well.",Okay...,,,MVIFatherStage10PreSceneLoop
Scene,SceneDialogue,Custom,,"Shaun: Not that I've noticed, no. I feel quite well.",Mmm hmm...,,,MVIFatherStage10PreSceneLoop
Scene,SceneDialogue,Custom,,"Shaun: Yes, thank you doctor, I think that will be all for now.",But I haven't quite finished...,Shaun: I believe we're done now. Thank you.,,MVIFatherStage10Scene
Scene,SceneDialogue,Custom,,Shaun: I believe we're done now. Thank you.,Yes sir. Thank you.,"Shaun: I understand Mass Fusion was a success, despite interference from the Brotherhood of Steel.",slightly defeated,MVIFatherStage10Scene
Scene,SceneDialogue,Custom,,"Player Default: After what I've been through, a checkup is probably a good idea.",I should think so. Who knows what you might have been exposed to up there.,"DeanVolkert: How about you take some time to get comfortable, learn the lay of the land and such.",,DialogueInstituteDeanFirstGreetingScene
Scene,SceneDialogue,Custom,,"Player Default: No offense, pal, but I'm not letting a complete stranger poke and prod me.",I don't expect you to trust me right away.,,,DialogueInstituteDeanFirstGreetingScene
Scene,SceneDialogue,Custom,,,What I can tell you is this - the medical treatments of your time are nothing compared to what we can do here.,"DeanVolkert: How about you take some time to get comfortable, learn the lay of the land and such.",,DialogueInstituteDeanFirstGreetingScene
Scene,SceneDialogue,Custom,,"Player Default: One step at a time, doc. I'm only just getting my bearings here.",I meant it when I said there was no rush.,"DeanVolkert: How about you take some time to get comfortable, learn the lay of the land and such.",,DialogueInstituteDeanFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: You're the doctor here?,Everyone's a doctor here.,,,DialogueInstituteDeanFirstGreetingScene
Scene,SceneDialogue,Custom,,,"But if you mean physician, then yes, I'm about as close as we've got to one.","DeanVolkert: How about you take some time to get comfortable, learn the lay of the land and such.",,DialogueInstituteDeanFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: I should think so. Who knows what you might have been exposed to up there.,"How about you take some time to get comfortable, learn the lay of the land and such.",,,DialogueInstituteDeanFirstGreetingScene
Scene,SceneDialogue,Custom,,,"In the meantime, you come see me if you need to get patched up.",,,DialogueInstituteDeanFirstGreetingScene
Scene,SceneDialogue,Custom,,,We'll do that checkup when you're good and ready.,,,DialogueInstituteDeanFirstGreetingScene
Scene,SceneDialogue,Custom,,,"Take care of yourself, so I don't have to.",,,DialogueInstituteDeanFirstGreetingScene
Scene,SceneDialogue,Custom,,"PlayerVoiceFemale01: Got a minute to patch me up, Doctor Volkert?","Alright, hold still and I'll take a look.",DeanVolkert: Hm... this isn't too bad.,"A doctor examining a patient, bedside manner is a bit gruff",DialogueInstituteDoctorScene
Scene,SceneDialogue,Custom,,"PlayerVoiceFemale01: Got a minute to patch me up, Doctor Volkert?",Let's have a look.,DeanVolkert: Hm... this isn't too bad.,"A doctor examining a patient, bedside manner is a bit gruff",DialogueInstituteDoctorScene
Scene,SceneDialogue,Custom,,"PlayerVoiceFemale01: Got a minute to patch me up, Doctor Volkert?","Hm, let's see what's wrong with you.",DeanVolkert: Hm... this isn't too bad.,"A doctor examining a patient, bedside manner is a bit gruff",DialogueInstituteDoctorScene
Scene,SceneDialogue,Custom,,"DeanVolkert: Alright, hold still and I'll take a look.",Hm... this isn't too bad.,"DeanVolkert: Here, this should take care of it.","A doctor examining a patient, beside manner is a bit gruff",DialogueInstituteDoctorScene
Scene,SceneDialogue,Custom,,"DeanVolkert: Alright, hold still and I'll take a look.","Well, I've certainly seen worse.","DeanVolkert: Here, this should take care of it.","A doctor examining a patient, beside manner is a bit gruff",DialogueInstituteDoctorScene
Scene,SceneDialogue,Custom,,"DeanVolkert: Alright, hold still and I'll take a look.",Hm... your injuries aren't serious.,"DeanVolkert: Here, this should take care of it.","A doctor examining a patient, beside manner is a bit gruff",DialogueInstituteDoctorScene
Scene,SceneDialogue,Custom,,"DeanVolkert: Alright, hold still and I'll take a look.",Hm... you've definitely seen some action.,"DeanVolkert: Here, this should take care of it.","A doctor examining a patient, beside manner is a bit gruff",DialogueInstituteDoctorScene
Scene,SceneDialogue,Custom,,"DeanVolkert: Alright, hold still and I'll take a look.","Yep, you're in pretty rough shape.","DeanVolkert: Here, this should take care of it.","A doctor examining a patient, beside manner is a bit gruff",DialogueInstituteDoctorScene
Scene,SceneDialogue,Custom,,"DeanVolkert: Alright, hold still and I'll take a look.",Looks like you took a real beating.,"DeanVolkert: Here, this should take care of it.","A doctor examining a patient, beside manner is a bit gruff",DialogueInstituteDoctorScene
Scene,SceneDialogue,Custom,,DeanVolkert: Hm... this isn't too bad.,"Here, this should take care of it.",,"A doctor examining a patient, beside manner is a bit gruff",DialogueInstituteDoctorScene
Scene,SceneDialogue,Custom,,DeanVolkert: Hm... this isn't too bad.,I've got just the thing.,,"A doctor examining a patient, beside manner is a bit gruff",DialogueInstituteDoctorScene
Scene,SceneDialogue,Custom,,DeanVolkert: Hm... this isn't too bad.,"Now, hold still please.",,"A doctor examining a patient, beside manner is a bit gruff",DialogueInstituteDoctorScene
Scene,SceneDialogue,Custom,,,"Alright, that should do it.",DeanVolkert: Head to requisitions if you need medical supplies.,A doctor who  has just finished treating a patient... gruff and direct,DialogueInstituteDoctorDoneScene
Scene,SceneDialogue,Custom,,,There we are. Good as new.,DeanVolkert: Head to requisitions if you need medical supplies.,A doctor who  has just finished treating a patient... gruff and direct,DialogueInstituteDoctorDoneScene
Scene,SceneDialogue,Custom,,,All done.,DeanVolkert: Head to requisitions if you need medical supplies.,A doctor who  has just finished treating a patient... gruff and direct,DialogueInstituteDoctorDoneScene
Scene,SceneDialogue,Custom,,,There. Good thing you didn't turn to one of those Commonwealth butchers for medical care.,DeanVolkert: Head to requisitions if you need medical supplies.,"A doctor who  has just finished treating a patient... gruff and direct, a note of disdain on ""Commonwealth butchers""",DialogueInstituteDoctorDoneScene
Scene,SceneDialogue,Custom,,"DeanVolkert: Alright, that should do it.",Head to requisitions if you need medical supplies.,,"Gruff, direct",DialogueInstituteDoctorDoneScene
Scene,SceneDialogue,Custom,,"DeanVolkert: Alright, that should do it.","There's a stock of medical supplies over in requisitions, if you need more.",,"Gruff, direct",DialogueInstituteDoctorDoneScene
Scene,SceneDialogue,Custom,,"DeanVolkert: Alright, that should do it.",We've got some medical supplies over at requisitions. I suggest you stock up.,,"Gruff, direct",DialogueInstituteDoctorDoneScene
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"So, um...",,Wondering why the player has stopped talking.,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,You look pensive.,,Wondering why the player has stopped talking.,
Miscellaneous,Miscellaneous,Greeting,,,"Once you've settled in, I'll want do a physical and get a file going on you. No hurry, though.","Player Default: After what I've been through, a checkup is probably a good idea.","Even-toned, all business",DialogueInstituteDeanFirstGreetingScene
Miscellaneous,Miscellaneous,Hello,,,"All this advanced technology, and we still can't cure the common cold.",,"Told-you-so, skeptical of technology",
Miscellaneous,Miscellaneous,Hello,,,"Take good care of yourself, and you won't have to see too much of me.",,"Firm, almost a command, hint of amusement at the end",
Miscellaneous,Miscellaneous,Hello,,,"I have to admit, the third-generation synths are really something.",,A grudging admission of being impressed,
