CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Let's see what you have.,Certainly.,,,DLC03DialogueFarHarbor_DebbyVendor
Scene,SceneDialogue,Custom,,Player Default: Let's see what you have.,We got what you need.,,,DLC03DialogueFarHarbor_DebbyVendor
Scene,SceneDialogue,Custom,,Player Default: Let's see what you have.,You got my attention.,,,DLC03DialogueFarHarbor_DebbyVendor
Scene,SceneDialogue,Custom,,Player Default: Let's see what you have.,"If you got caps, we got the goods.",,,DLC03DialogueFarHarbor_DebbyVendor
Scene,SceneDialogue,Custom,,"Player Default: No, thanks.","Well, if you change your mind.",,,DLC03DialogueFarHarbor_DebbyVendor
Scene,SceneDialogue,Custom,,"Player Default: No, thanks.",I get you.,,,DLC03DialogueFarHarbor_DebbyVendor
Scene,SceneDialogue,Custom,,"Player Default: No, thanks.","Well, don't loiter too long, then.",,,DLC03DialogueFarHarbor_DebbyVendor
Scene,SceneDialogue,Custom,,"Player Default: No, thanks.","Well, maybe later, then.",,,DLC03DialogueFarHarbor_DebbyVendor
Scene,SceneDialogue,Custom,,Player Default: I'm thinking about it.,Just flag me over if you need me.,,,DLC03DialogueFarHarbor_DebbyVendor
Scene,SceneDialogue,Custom,,Player Default: I'm thinking about it.,Well take a load off until you decide.,,,DLC03DialogueFarHarbor_DebbyVendor
Scene,SceneDialogue,Custom,,Player Default: I'm thinking about it.,Grab me if you need me later.,,,DLC03DialogueFarHarbor_DebbyVendor
Scene,SceneDialogue,Custom,,Player Default: I'm thinking about it.,Take your time.,,,DLC03DialogueFarHarbor_DebbyVendor
Scene,SceneDialogue,Custom,,Player Default: What do you have to drink?,"All sorts of Old World booze. We carry Vim!, too.",,,DLC03DialogueFarHarbor_DebbyVendor
Scene,SceneDialogue,Custom,,,"And before you ask, Vim! is an islander favorite. But it may pack more punch than the stuff you're used to.",Player Default: Let's see what you have.,,DLC03DialogueFarHarbor_DebbyVendor
