CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,"It's not much, but it's the best I can do.",,,DLC03AcadiaDialogueDejenBaseScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,"Don't touch everything, okay?",,,DLC03AcadiaDialogueDejenBaseScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,"All right, yeah. Take a look.",,,DLC03AcadiaDialogueDejenBaseScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"One less thing for me to worry about, then.",,,DLC03AcadiaDialogueDejenBaseScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Fine.,,,DLC03AcadiaDialogueDejenBaseScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Sure, fine. Whatever.",,,DLC03AcadiaDialogueDejenBaseScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Your call.,,,DLC03AcadiaDialogueDejenBaseScene
Scene,SceneDialogue,Custom,,Player Default: What can you tell me about Acadia?,"It's smaller than I'd like it to be, but then... we don't exactly have the numbers to fill someplace larger.",,,DLC03AcadiaDialogueDejenBaseScene
Scene,SceneDialogue,Custom,,,"Makes it easier to defend, anyway. Forget it. Did you want something, or not?",Player Default: Let's see what you've got.,,DLC03AcadiaDialogueDejenBaseScene
Scene,SceneDialogue,Custom,,Player Default: What can you tell me about Acadia?,"I guess there's no harm in talking about it. I escaped the Institute, found the Railroad. They agreed to help get me out of the Commonwealth.",,,DLC03AcadiaDialogueDejenBaseScene
Scene,SceneDialogue,Custom,,,"Institute tracked them down, and slaughtered them all. Far as I know, I'm the only one who got away.",,,DLC03AcadiaDialogueDejenBaseScene
Scene,SceneDialogue,Custom,,,"So, I'm here to make sure it wasn't all for nothing.",,,DLC03AcadiaDialogueDejenBaseScene
