CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Hello,,,Good luck at Cambridge.,,Stoic,
Scene,SceneDialogue,Custom,,Player Default: You're still alive. I got here in time.,Jesus.,"Desdemona: Quick, take this. Tom made it for you. Sounds like we're going to need it.",Horror / Afraid,RR303_0200_DezIntro
Scene,SceneDialogue,Custom,,,Jesus.,"Desdemona: Quick, take this. Tom made it for you. Sounds like we're going to need it.",Horror / Afraid,RR303_0200_DezIntro
Scene,SceneDialogue,Custom,,Player Default: Notice anything suspicious?,Two of our spotters haven't checked in. That's unusual. Jesus.,"Desdemona: Quick, take this. Tom made it for you. Sounds like we're going to need it.",Dawning horror / Afraid,RR303_0200_DezIntro
Scene,SceneDialogue,Custom,,Player Default: Only as a last resort. And we still have one final option - a very dangerous one.,"The Brotherhood underestimated us badly. Their next attack will be far, far worse.",,Firmly disagree it / Somber,RR303_0600_ChurchCleared
Scene,SceneDialogue,Custom,,,So we do the unexpected.,Desdemona: We eliminate the Brotherhood as a threat. Now. And the key to that is destroying their flying fortress: the Prydwen.,About to share an audacious plan / Somber,RR303_0600_ChurchCleared
Scene,SceneDialogue,Custom,,,"Assume defensive positions. Reinforce Glory in the tunnels. Move, move.",TinkerTom: Damn! The booby trap in the escape tunnel is blown.,"Barking more orders, urgent",RR303_0210_ReactToAttack
Scene,SceneDialogue,Custom,,Desdemona: The Brotherhood's occupied the Cambridge Police Station. Spotters report they almost always have a vertibird parked on its roof. Take it.,"And Tom, you're going with him.",TinkerTom: Me? In the field?,Issues an order / Stern,RR303_0600_ChurchCleared
Scene,SceneDialogue,Custom,,Desdemona: The Brotherhood's occupied the Cambridge Police Station. Spotters report they almost always have a vertibird parked on its roof. Take it.,"And Tom, you're going with her.",TinkerTom: Me? In the field?,Stern,RR303_0600_ChurchCleared
Scene,SceneDialogue,Custom,,NPCFDesdemona: You've killed the last of them. And you're still standing.,"I wish the same could be said for Glory. No time for that, though.",Desdemona: We eliminate the Brotherhood as a threat. Now. And the key to that is destroying their flying fortress: the Prydwen.,Deeply shaken about Glory's death. Audibly pulls herself together. / Sad,RR303_0600_ChurchCleared
Scene,SceneDialogue,Custom,,Desdemona: We eliminate the Brotherhood as a threat. Now. And the key to that is destroying their flying fortress: the Prydwen.,"Fortunately, we've got a contingency plan for it. We call it Red Glare.",,grim purpose / Somber,RR303_0600_ChurchCleared
Scene,SceneDialogue,Custom,,,The only problem is that Red Glare requires a Brotherhood vertibird.,,Grim / Somber,RR303_0600_ChurchCleared
Scene,SceneDialogue,Custom,,,So it's your job to get us one.,Player Default: Count on me.,This is an insanely tall order - volunteers the player cavalierly / Stern,RR303_0600_ChurchCleared
Scene,SceneDialogue,Custom,,NPCFDesdemona: I thought... I thought by calling Red Glare I'd lose more good people... comrades...,"Thank you for keeping them, and yourself, safe.",Player Default: We still lost too many people.,Grateful,RR303_1500_DezDebrief
Scene,SceneDialogue,Custom,,Player Default: We still lost too many people.,"Without you, though, it would've been far worse.",Desdemona: So the Railroad lives another day and a grave threat to synths everywhere has been eliminated.,"Still emotional, shaky",RR303_1500_DezDebrief
Scene,SceneDialogue,Custom,,Player Default: Red Glare was insane. You almost got us killed.,What option did I have? Run and hide?,,"Not defensive, explaining herself / Defiant",RR303_1500_DezDebrief
Scene,SceneDialogue,Custom,,,"If we did that, we'd have to shelve your plans with Z1-14. And we'd never get another chance at that.",,Sharing the extreme burdens of command / Defiant,RR303_1500_DezDebrief
Scene,SceneDialogue,Custom,,,"You have every right to be angry, though. But we have to move on.",Desdemona: So the Railroad lives another day and a grave threat to synths everywhere has been eliminated.,"Takes a step back, and acknowledges the player's anger",RR303_1500_DezDebrief
Scene,SceneDialogue,Custom,,Player Default: Is the Church safe now?,"With the Prydwen destroyed, the Brotherhood's survivors will leave the Commonwealth. On foot.",Desdemona: So the Railroad lives another day and a grave threat to synths everywhere has been eliminated.,"Solemn, just a touch of gallows humor at the end",RR303_1500_DezDebrief
Scene,SceneDialogue,Custom,,"Player Default: Without you, though, it would've been far worse.",So the Railroad lives another day and a grave threat to synths everywhere has been eliminated.,Desdemona: Now all we have to do is free them.,"If she didn't lose so much for this victory, she'd be pleased",RR303_1500_DezDebrief
Scene,SceneDialogue,Custom,,Desdemona: So the Railroad lives another day and a grave threat to synths everywhere has been eliminated.,Now all we have to do is free them.,,"Wry, the next challenge is even worse",RR303_1500_DezDebrief
Miscellaneous,Miscellaneous,SharedInfo,,Desdemona: Jesus.,"Quick, take this. Tom made it for you. Sounds like we're going to need it.",,Worried,RR303_0200_DezIntro
