CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: Well, I guess that just means I've picked the right person for the job.","One more thing before you leave. Whatever you do, don't assault the Children of Atom directly.",,Concerned,DLC03MQ03_04_DiMAPersuade
Scene,SceneDialogue,Custom,,,"Our ultimate goal must be to bring peace. If you attack them, they'll consider themselves at war with the outside world.","Companion: I've got no love for those mindless fanatics at the Nucleus. I won't complain if it comes to violence. Hell, I'm hopin' it does.",Concerned,DLC03MQ03_04_DiMAPersuade
Scene,SceneDialogue,Custom,,,You've been... busy. I was hoping you were taking your time learning more about us. Huh. I suppose you have...,,player tells you he's been spying and learned about your secret memory banks in the submarine base / Thinking,DLC03MQ03_05_DiMA_PlayerAdmitsSpying
Scene,SceneDialogue,Custom,,,Maybe this is an opportunity for both of us. I can't send any of my people without risking the Children of Atom linking them back to Acadia.,,,DLC03MQ03_05_DiMA_PlayerAdmitsSpying
Scene,SceneDialogue,Custom,,,But you. You're new to the island.,Player Default: All right. I'm listening.,,DLC03MQ03_05_DiMA_PlayerAdmitsSpying
Scene,SceneDialogue,Custom,,,You've changed your mind? Are you ready to help me get them back?,Player Default: All right. I'm listening.,player left and has come back to discuss your memories,DLC03MQ03_05_DiMA_PlayerAdmitsSpying
Scene,SceneDialogue,Custom,,Player Default: No way am I helping you.,Then stay out of this.,"DiMA: Before I begin, how much do you know? Did you have any questions for me? About Far Harbor, the Children of Atom, or my memories?",Stern,DLC03MQ03_05_DiMA_PlayerAdmitsSpying
Scene,SceneDialogue,Custom,,Player Default: I'm picturing your memories as just one massive holotape that the Children of Atom are using as a coffee table.,"I... suppose that's your version of ""Yes. I'll help.""?","DiMA: Before I begin, how much do you know? Did you have any questions for me? About Far Harbor, the Children of Atom, or my memories?",Puzzled,DLC03MQ03_05_DiMA_PlayerAdmitsSpying
Scene,SceneDialogue,Custom,,Player Default: Then stay out of this.,"Before I begin, how much do you know? Did you have any questions for me? About Far Harbor, the Children of Atom, or my memories?",Player Default: So what can I do to help?,,DLC03MQ03_05_DiMA_PlayerAdmitsSpying
Scene,SceneDialogue,Custom,,,"That's unfortunate. She should be focusing on herself, her new life. She shouldn't have to bear the burden of the outside world.",,player tells you that Kasumi is suspicious of you because she saw the potential death projections for Far Harbor / Concerned,DLC03MQ03_04_DiMAPersuade
Scene,SceneDialogue,Custom,,,"Please, this is a matter best left to me and my advisors. We aren't planning to destroy the island.",,Apologetic,DLC03MQ03_04_DiMAPersuade
Scene,SceneDialogue,Custom,,,Those projections were merely to help us realize the cost of inaction.,Companion: Sounds like a lot of fancy talk aimed at throwin' us off the trail. Must mean we're on to somethin'.,Apologetic,DLC03MQ03_04_DiMAPersuade
