CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: We're packing up to leave and we're outta here! I wanted to leave this message for you...,It's awfully sweet of ya'll to welcome a stranger into your home.,"Player Default: Oh, you've no idea how happy we are that we ran into you.",Friendly,DLC04Holotapes_DixieSouvenir01
Scene,SceneDialogue,Custom,,"Player Default: Oh, you've no idea how happy we are that we ran into you.",Not as happy as I am.,"Player Default: What are you doing? Wait, I thought you were here to...Argh!",Pulling out your knife to kill someone with enjoyment. / SinisterSmile,DLC04Holotapes_DixieSouvenir01
Scene,SceneDialogue,Custom,,Player Default: Sam! No! What have you done?,"Don't worry, honey. I'd never keep two love birds apart.",Player Default: No! Argh!,"Just killed a husband, now you're going to kill a wife, with enjoyment! / SinisterSmile",DLC04Holotapes_DixieSouvenir01
Scene,SceneDialogue,Custom,,Player Default: No! Argh!,Ah. That went well.,,Satisfied Ah. Very happy with yourself.  / Confident,DLC04Holotapes_DixieSouvenir01
Scene,SceneDialogue,Custom,,,What's this? I think I'll keep you as my little souvenir.,,Excited to find the holotape still recording. / Amused,DLC04Holotapes_DixieSouvenir01
Scene,SceneDialogue,Custom,,"Player Default: This whole plan was a bust. As it is, we barely got enough to pay for our losses.","Hey, are all ya'll traders? If so, I know a pretty good post nearby. Guarantee you'll turn a profit if you want to check it out.","Player Default: Yeah? Well, I'm not sure we'd want to trust anything some stranger in a mask told us. Sure you're not some sort of Raider?",Friendly,DLC04Holotapes_DixieSouvenir02
Scene,SceneDialogue,Custom,,"Player Default: Yeah? Well, I'm not sure we'd want to trust anything some stranger in a mask told us. Sure you're not some sort of Raider?",I ain't no Raider. And I only wear this mask on account of some yao guai wantin' a piece of me a while back.,,Friendly,DLC04Holotapes_DixieSouvenir02
Scene,SceneDialogue,Custom,,,"It's up to you folks. If ya'll are interested, Nuka-World's just a short trip north. Can't miss it!",,Friendly,DLC04Holotapes_DixieSouvenir02
Scene,SceneDialogue,Custom,,,"Just tell 'em Dixie sent ya, and they'll treat you and yours like ya'll are family.","Player Default: Hmm, we'll talk about it. Thanks for stopping by.",Friendly,DLC04Holotapes_DixieSouvenir02
Scene,SceneDialogue,Custom,,Player Default: I can't wait to see... What the hell? How'd you get in here?,A girl's got her ways. I'm just here 'cause Anna's big into helping Nisha keep the peace between all us gangs.,,Amused,DLC04Holotapes_DixieSouvenir03
