CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,"Excellent! Just sit down in the chair, there.",,about to perform surgery,CrockerGreetScene
Scene,SceneDialogue,Custom,,,Thank you for taking this journey with me. Just sit down in the chair.,,about to perform surgery,CrockerGreetScene
Scene,SceneDialogue,Custom,,,You won't regret it. Just sit down in the chair.,,about to perform surgery,CrockerGreetScene
Scene,SceneDialogue,Custom,,,Every face I sculpt is a masterpiece. We'll begin as soon as you sit down.,,about to perform surgery,CrockerGreetScene
Scene,SceneDialogue,Custom,,,A new you. Just sit down in the chair.,,about to perform surgery,CrockerGreetScene
Scene,SceneDialogue,Custom,,,"Well, I'm glad you stopped by anyway. Come back whenever you're ready.",,player doesn't have enough money,CrockerGreetScene
Scene,SceneDialogue,Custom,,,That's unfortunate. I'll be here if your circumstances ever change.,,player doesn't have enough money,CrockerGreetScene
Scene,SceneDialogue,Custom,,,"Money is so boring, isn't it? But a surgeon must recover his costs...",,player doesn't have enough money,CrockerGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,*sigh* I see.,,disappointed / Depressed,CrockerGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"Oh. All right, then.",,disappointed / Depressed,CrockerGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Too bad. So much potential.,,disappointed / Depressed,CrockerGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,No? All right.,,disappointed / Depressed,CrockerGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Ah. What a shame.,,disappointed / Depressed,CrockerGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Of course, of course.",,,CrockerGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,I'll keep the scalpels warm.,,,CrockerGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Just remember. I can make you beautiful.,,,CrockerGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"I'll wait for you, then.",,,CrockerGreetScene
Scene,SceneDialogue,Custom,,Player Default: You take this charge card?,"What? Oh, uh.. No. No we don't.",,"player is trying to pay with a ""charge card"" - it looks like a worthless piece of plastic / Puzzled",CrockerGreetScene
Scene,SceneDialogue,Custom,,Player Default: Wait. What are you going to do to me?,I'm proposing surgery. Not just any surgery. Facial Reconstruction surgery. Safe and instantaneous.,,"intense, charismatic",CrockerGreetScene
Scene,SceneDialogue,Custom,,,"New jaw-line, new eye color, remove scars, add scars. A new you. A more perfect you.",,"intense, charismatic",CrockerGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Getting back to business, however. Let's talk about a new face for a new you.",,"generic ""coming from another conversation and getting back to business"" line",CrockerGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Where were we? Oh, yes! Your new face is waiting for you on the surgery table.",,"generic ""coming from another conversation and getting back to business"" line",CrockerGreetScene
Miscellaneous,Miscellaneous,Greeting,,,Now I really must insist that we talk about that face of yours. So many fantastic modifications available...,,"generic ""coming from another conversation and getting back to business"" line",CrockerGreetScene
Miscellaneous,Miscellaneous,Greeting,,,Ready for surgery? Just sit down in the chair.,,player just purchased surgery,
Miscellaneous,Miscellaneous,Greeting,,,We'll begin as soon as you sit down.,,player just purchased surgery,
Miscellaneous,Miscellaneous,Greeting,,,Just sit down. We'll get to work immediately.,,player just purchased surgery,
Miscellaneous,Miscellaneous,Greeting,,,"A new face? Strong, but... not perfect. For a nominal fee, Doc Crocker can give you the looks you've only dreamed about before.",,"intense, charismatic / Surprised",CrockerGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"A new face? Beautiful, but... not perfect. For a nominal fee, Doc Crocker can give you the looks you've only dreamed about before.",,"intense, charismatic / Surprised",CrockerGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Danny Sullivan's friend, yes? He's fine. Full recovery, thanks to me. Now, how can I help you?",,you helped patch up Danny Sullivan when he was wounded,CrockerGreetScene
Miscellaneous,Miscellaneous,Greeting,,,I could re-sculpt that face of yours into... perfection.,,"intense, charismatic, offering cosmetic surgery services",CrockerGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Change your nose? Your ears? The shape of your eyes, perhaps? Anything is possible.",,"intense, charismatic",CrockerGreetScene
