CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,SharedInfo,,,"Hey, Jack, got a minute?","Jack: Um. Yes, I suppose so. What is it?",,CabotHouseConv01Scene
Miscellaneous,Miscellaneous,SharedInfo,,,"Excuse me, Jack. Can I talk to you about something?","Jack: Um. Yes, I suppose so. What is it?",,CabotHouseConv01Scene
Miscellaneous,Miscellaneous,SharedInfo,,,"Sorry to interrupt, Jack, but I need a quick word.","Jack: Um. Yes, I suppose so. What is it?",,CabotHouseConv01Scene
Scene,SceneDialogue,Custom,,"Jack: Um. Yes, I suppose so. What is it?",Apparently Emogene's run off again. Mrs. Cabot has been asking me about her.,Jack: I know. Mother's been starting to pester me as well.,,CabotHouseConv01Scene
Scene,SceneDialogue,Custom,,Jack: But I really don't think we need to worry about her yet. She'll come home when she gets tired of whatever new boyfriend she's found herself.,Your call. I just wanted to keep you in the loop.,"Jack: Yes, of course.",Neutral,CabotHouseConv01Scene
Scene,SceneDialogue,Custom,,Jack: Edward? Are you there?,,"CabotHouseRadio: ... can't hear you, Jack. There's ...",radio static with faint garbled speech (Edward Deegan),MS09Mission3IntroLooping
Scene,SceneDialogue,Custom,,Jack: Edward! Who is it?,"Don't worry about it, Jack. I've got it under control.","Jack: Edward, don't be so hasty. I like the look of this lady.",Irritated,MS09CabotHouseIntroUninvited
Scene,SceneDialogue,Custom,,"Jack: Edward, don't be so hasty. I like the look of this lady.",,"Player Default: Pleased to meet you, Jack.",heavy sigh of resignation - Jack is being Jack and you can't do anything about it / Disgust,MS09CabotHouseIntroUninvited
Scene,SceneDialogue,Custom,,Player Default: There was only this one vial left.,"Oh, good. I was afraid we wouldn't get any of it back.",Edward: Here's your pay for the job. I'm throwing in a little bonus for bringing back the serum. That was good work.,Relieved,MS09CabotHouseMission2Intro
Scene,SceneDialogue,Custom,,Player Default: There was only this one vial left.,"You're honest at least... that was a really bad idea, by the way, but it's too late to do anything about it now.",Edward: Here's your pay for the job. I'm throwing in a little bonus for bringing back the serum. That was good work.,befuddled by player's honesty combined with stupidity / Stern,MS09CabotHouseMission2Intro
