CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Wilhelmina: My god, what does this mean, Jack?","I'm happy he's dead. He was going to kill us, wasn't he? And to be fair, we had it coming.","Jack: Ignore her, mother. She's just trying to provoke you.",Defiant,MS09Mission3EndingLorenzoDead
Scene,SceneDialogue,Custom,,,"You really know how to flatter a lady, don't you?",Player Default: I was just kidding. You look absolutely fabulous.,you like the player despite the rude comment / Amused,MS09Mission2EmogeneAge
Scene,SceneDialogue,Custom,,,How rude. Don't you know to never mention a lady's age?,Player Default: I was just kidding. You look absolutely fabulous.,Irritated,MS09Mission2EmogeneAge
Miscellaneous,Miscellaneous,SharedInfo,,"Emogene: You really know how to flatter a lady, don't you?",Just to be clear - I'm Jack's younger sister. The baby of the family.,,"archly - emphasis on ""younger"" (since you look much older than Jack right now) / Defiant",MS09Mission2EmogeneAge
Miscellaneous,Miscellaneous,SharedInfo,,,"Once I get home and get some of Jack's serum, I'll be back to my usual stunning self.",Player Default: I was just kidding. You look absolutely fabulous.,Flirting,MS09Mission2EmogeneAge
Scene,SceneDialogue,Custom,,"Emogene: How did you get that? Never mind, I'd rather not know. Thank you so very much.","I'm so disappointed in Thomas. He seemed so interesting at first. But after we came here, he turned out to be just another brute.",,Disgust,MS09Mission2EmogeneAgeKnow
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I was just kidding. You look absolutely fabulous.,Well... thank you. Even though I know you're just being polite. You're different than the thugs Jack usually sends.,Emogene: I just need some serum and then you'll see why I was voted Miss Boston three years running.,Grateful,MS09Mission2EmogeneAge
Scene,SceneDialogue,Custom,,Player Default: Just one more crazy Cabot.,That's right. I'm the crazy one in the family. Ask anyone.,Emogene: And I know it was Jack who sent you. He's always trying to control me.,sarcastic/bitter / Sarcastic,MS09Mission2EmogeneAge
Scene,SceneDialogue,Custom,,Player Default: You can't really be younger than Jack.,"Of course not. You can't believe anything I say. I'm the crazy one, haven't you heard?",Emogene: And I know it was Jack who sent you. He's always trying to control me.,Sarcastic,MS09Mission2EmogeneAge
Scene,SceneDialogue,Custom,,Player Default: Jack has a serum that reverses aging?,"It's more like it halts aging. I started taking it when I was 32, so normally that's what I look like.",,Thinking,MS09Mission2EmogeneAge
Scene,SceneDialogue,Custom,,,You'll see once I get my treatment. I was well-known as one of the belles of Boston society - back when there was any.,"Player Default: I have a vial of that serum with me. Here, looks like you need it.",Defiant,MS09Mission2EmogeneAge
Scene,SceneDialogue,Custom,,Player Default: Jack has a serum that reverses aging?,It really isn't any of your business.,"Emogene: But you don't care about any of that, do you? I'm sure Jack sent you to fetch me home. He's always trying to control me.",Irritated,MS09Mission2EmogeneAge
Scene,SceneDialogue,Custom,,"Player Default: I want to know why no one in your family seems to age, and I want to know now.",So either Jack blabbed or you're smarter than the thugs he usually has working for him.,Emogene: He must have told you about the strange artifact my father found? Jack's been studying it for years.,Surprised,MS09Mission2EmogeneAgeKnow
Scene,SceneDialogue,Custom,,"Player Default: I want to know why no one in your family seems to age, and I want to know now.",I don't take orders from the hired help.,Player Default: I'm just here to make sure you're okay.,Irritated,MS09Mission2EmogeneAgeKnow
