CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,"Okay, look. We're out of time here.","Enrico: Institute, this is Dr. Thompson. I'm sorry; I'm going to need a synth relayed to my coordinates offset by 5.3 to subdue our subject.",,MinVsInstStage60WallaceFailScene
Scene,SceneDialogue,Custom,,"Enrico: Okay, look. We're out of time here.","Institute, this is Dr. Thompson. I'm sorry; I'm going to need a synth relayed to my coordinates offset by 5.3 to subdue our subject.","DoorTalkingActivator: Ahh, what are you doing?!",,MinVsInstStage60WallaceFailScene
Scene,SceneDialogue,Custom,,"DoorTalkingActivator: Ahh, what are you doing?!","I appreciate your help with the situation outside, but we have to get this man back to the Institute. I expect Father will want a report from you.",,,MinVsInstStage60WallaceFailScene
Scene,SceneDialogue,Custom,,Player Default: My help? With... with what?,The Institute has an engineering problem that your scientific expertise could help solve.,"Enrico: In exchange for helping us out, you'd be granted access to the most advanced research facility imaginable.",,MinVsInstStage60WallaceCalmScene
Scene,SceneDialogue,Custom,,Enrico: The Institute has an engineering problem that your scientific expertise could help solve.,"In exchange for helping us out, you'd be granted access to the most advanced research facility imaginable.",Enrico: Whatever research you wanted to perform... anything... it's possible there. I promise.,,MinVsInstStage60WallaceCalmScene
Scene,SceneDialogue,Custom,,"Enrico: In exchange for helping us out, you'd be granted access to the most advanced research facility imaginable.",Whatever research you wanted to perform... anything... it's possible there. I promise.,Enrico: You'd be safe and secure in a way that's completely impossible anywhere else.,,MinVsInstStage60WallaceCalmScene
Scene,SceneDialogue,Custom,,Enrico: Whatever research you wanted to perform... anything... it's possible there. I promise.,You'd be safe and secure in a way that's completely impossible anywhere else.,Player Default: You'd be helping us create a better world.,,MinVsInstStage60WallaceCalmScene
Scene,SceneDialogue,Custom,,,"Okay, I think we've got this under control now.","Enrico: Thanks... I mean, thanks for the assist.",,MinVsInstStage60EnricoFinalScene
Scene,SceneDialogue,Custom,,"Enrico: Okay, I think we've got this under control now.","Thanks... I mean, thanks for the assist.","Player Default: Hey, I'm here to help. You're welcome.",,MinVsInstStage60EnricoFinalScene
Scene,SceneDialogue,Custom,,"Player Default: Hey, I'm here to help. You're welcome.","I really mean it, I owe you one.",Enrico: I'll see you back in the Institute.,,MinVsInstStage60EnricoFinalScene
Scene,SceneDialogue,Custom,,Player Default: Oh screw you. There are plenty of things I'd rather have done than come fix your mess.,"Wow... Okay, message received.",Enrico: I'll see you back in the Institute.,,MinVsInstStage60EnricoFinalScene
Scene,SceneDialogue,Custom,,"Player Default: I'm here for the Institute, not for you.","Right, right. Okay. I gotcha.",Enrico: I'll see you back in the Institute.,,MinVsInstStage60EnricoFinalScene
Scene,SceneDialogue,Custom,,"Player Default: You're going to bring him in immediately, right?","Oh, yeah. Don't want him to start second-guessing the decision.",Enrico: I'll see you back in the Institute.,,MinVsInstStage60EnricoFinalScene
Scene,SceneDialogue,Custom,,"Player Default: I really mean it, I owe you one.",I'll see you back in the Institute.,,,MinVsInstStage60EnricoFinalScene
Scene,SceneDialogue,Custom,,"Player Default: If he's really important to the Institute, then it's worth it.","You're right, I suppose.",Companion: Just get to the damn information. Who am I shootin'?,,MinVsInstStage50EnricoScene
Scene,SceneDialogue,Custom,,"Player Default: Far as I can tell, you were only in ""harm's way"" because you screwed this up.","Look, I had the same intelligence reports as everyone else. No one saw this coming.",Companion: Enough yappin'. Just give us the information already.,,MinVsInstStage50EnricoScene
Scene,SceneDialogue,Custom,,Player Default: This does seems like lots of effort for just one man.,"If things were different, we might not be here. Not now, at least. But with the situation in the Commonwealth being what it is...",Companion: Cait interjects,,MinVsInstStage50EnricoScene
Scene,SceneDialogue,Custom,,"Player Default: Why did the Institute send you, specifically?","They thought I'd be able to relate to him, with my scientific background.",Companion: Cait interjects,,MinVsInstStage50EnricoScene
