CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: Easy there big fella, I was just looking around.","I'm plenty calm, considering you invaded my home.","Erikson: Look, I don't really want any trouble. I broke off from the group I came here with a long time ago.",,DLC03_ADV017InitConversation
Scene,SceneDialogue,Custom,,Player Default: Die mutant scum!,Like hell!,"Erikson: Look, I don't really want any trouble. I broke off from the group I came here with a long time ago.",,DLC03_ADV017InitConversation
Scene,SceneDialogue,Custom,,Player Default: Nice hat.,Uh... thanks. I skinned it myself.,"Erikson: Look, I don't really want any trouble. I broke off from the group I came here with a long time ago.",,DLC03_ADV017InitConversation
Scene,SceneDialogue,Custom,,Player Default: You're a super mutant? I'm surprised you didn't attack me.,"Yeah well, maybe you shouldn't be so quick to jump to conclusions.","Erikson: Look, I don't really want any trouble. I broke off from the group I came here with a long time ago.",,DLC03_ADV017InitConversation
Scene,SceneDialogue,Custom,,"Player Default: I'm plenty calm, considering you invaded my home.","Look, I don't really want any trouble. I broke off from the group I came here with a long time ago.",,,DLC03_ADV017InitConversation
Scene,SceneDialogue,Custom,,,I just... started seeing things differently when we came to the island and I couldn't stand how the other super mutants act to humans.,,,DLC03_ADV017InitConversation
Scene,SceneDialogue,Custom,,,I keep to my self up here and train my dogs. Do a bit of trade with people too. At least those that don't open fire on me.,,,DLC03_ADV017InitConversation
Scene,SceneDialogue,Custom,,,Don't see any reason we can't do the same. Come on up if you'd like.,,,DLC03_ADV017InitConversation
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I was interested in the dog.,That's a shame.,,,DLC03_ADV017_EriksonBuyDog
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I was interested in the dog.,I'm all out at the moment. Give me a week or two and I'll train up another.,,,DLC03_ADV017_EriksonBuyDog
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I've changed my mind.,Whatever.,,,DLC03_ADV017_EriksonBuyDog
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I've changed my mind.,Good luck out there.,,,DLC03_ADV017_EriksonBuyDog
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I've changed my mind.,Fine.,,,DLC03_ADV017_EriksonBuyDog
Miscellaneous,Miscellaneous,SharedInfo,,,Where did you want it to guard?,,,DLC03_ADV017_BuyDog
Miscellaneous,Miscellaneous,SharedInfo,,Erikson: Where did you want it to guard?,Alright. Make sure you give it a good home.,,,DLC03_ADV017_BuyDog
Miscellaneous,Miscellaneous,SharedInfo,,Erikson: Where did you want it to guard?,"Treat 'em right, and they'll do the same for you.",,,DLC03_ADV017_BuyDog
Miscellaneous,Miscellaneous,SharedInfo,,Erikson: Where did you want it to guard?,Sounds good. You take care.,,,DLC03_ADV017_BuyDog
Miscellaneous,Miscellaneous,SharedInfo,,Erikson: Where did you want it to guard?,"Well, I'm not giving you one of my dogs if you don't have somewhere for it to live.",Player Default: You interested in a trade?,,DLC03_ADV017_BuyDog
Scene,SceneDialogue,Custom,,,"Come on out stranger, this doesn't have to get messy.",,,DLC03_ADV017_IntroYellingScene
Scene,SceneDialogue,Custom,,,"Who ever's in there, you'd better come out quiet.",,,DLC03_ADV017_IntroYellingScene
Scene,SceneDialogue,Custom,,,"If you've hurt my dogs, this is gonna go bad for you.",,,DLC03_ADV017_IntroYellingScene
Scene,SceneDialogue,Custom,,,"If you're one of those trappers, I've warned you to stay the hell away from me!",,,DLC03_ADV017_IntroYellingScene
Scene,SceneDialogue,Custom,,,"Alright, that's a start. Now you just put your weapon away and I'll do the same. Then we can talk.",Erikson: Good. Just come on down here and we'll talk.,,DLC03_ADV017_IntroPlayerApproach
Scene,SceneDialogue,Custom,,,Put your weapon away and we can talk.,Erikson: Good. Just come on down here and we'll talk.,,DLC03_ADV017_IntroPlayerApproach
Scene,SceneDialogue,Custom,,,"Look, if we both just put our weapons away this can stay peaceful.",Erikson: Good. Just come on down here and we'll talk.,,DLC03_ADV017_IntroPlayerApproach
Scene,SceneDialogue,Custom,,,I'm not lookin' for trouble here. Put that weapon away and I'll do the same.,Erikson: Good. Just come on down here and we'll talk.,,DLC03_ADV017_IntroPlayerApproach
Scene,SceneDialogue,Custom,,"Erikson: Alright, that's a start. Now you just put your weapon away and I'll do the same. Then we can talk.",Good. Just come on down here and we'll talk.,,,DLC03_ADV017_IntroPlayerApproach
Scene,SceneDialogue,Custom,,"Player Default: Sorry, I thought this was just another trapper camp and that they would attack me if given the chance.","Well, at least you're honest. Damn shame, I had almost gotten them trained up right.",,"Heavy sigh. Sad, but predictable.",DLC03_ADV017_IntroPlayerKilledDogs
Scene,SceneDialogue,Custom,,"Player Default: Sorry, I thought this was just another trapper camp and that they would attack me if given the chance.",Typical human. Can't leave anyone in peace.,,,DLC03_ADV017_IntroPlayerKilledDogs
Scene,SceneDialogue,Custom,,"Player Default: No, I just found them like this.",Damn. Must have been trappers again.,,,DLC03_ADV017_IntroPlayerKilledDogs
Scene,SceneDialogue,Custom,,"Player Default: No, I just found them like this.",Damn. Must have been trappers again.,,,DLC03_ADV017_IntroPlayerKilledDogs
Scene,SceneDialogue,Custom,,"Player Default: No, I just found them like this.",You're lying.,,,DLC03_ADV017_IntroPlayerKilledDogs
Scene,SceneDialogue,Custom,,"Player Default: It wasn't my fault, they attacked me.","Damn, and I thought I was making progress with them.",,"Heavy sigh, you had almost rehabilitated the dogs",DLC03_ADV017_IntroPlayerKilledDogs
Scene,SceneDialogue,Custom,,"Player Default: It wasn't my fault, they attacked me.","If you're going to lie, at least be convincing.",,"Heavy sigh, you had almost rehabilitated the dogs",DLC03_ADV017_IntroPlayerKilledDogs
Scene,SceneDialogue,Custom,,Player Default: These were your dogs?,"Yes, I've been training them. Did you attack my dogs?","Player Default: Sorry, I thought this was just another trapper camp and that they would attack me if given the chance.",,DLC03_ADV017_IntroPlayerKilledDogs
Scene,SceneDialogue,Custom,,Player Default: These were your dogs?,"Then we've got a problem. So, did you kill them?","Player Default: Sorry, I thought this was just another trapper camp and that they would attack me if given the chance.",,DLC03_ADV017_IntroPlayerKilledDogs
Scene,SceneDialogue,Custom,,Player Default: These were your dogs?,Quit dodging the question. Did you attack them?,"Player Default: Sorry, I thought this was just another trapper camp and that they would attack me if given the chance.",,DLC03_ADV017_IntroPlayerKilledDogs
Scene,SceneDialogue,Custom,,,Did you do this? Did you kill my dogs?,"Player Default: Sorry, I thought this was just another trapper camp and that they would attack me if given the chance.",,DLC03_ADV017_IntroPlayerKilledDogs
Scene,SceneDialogue,Custom,,,You guys alright?,,Talking to his dogs after getting home.,DLC03_ADV017_IntroEndNormal
Scene,SceneDialogue,Custom,,,"Yeah, you're good.","Erikson: Sorry about pointing a gun at you earlier, I just get a bit jumpy when a stranger might be killing my dogs.","subdued happiness. your dogs are the only thing that make you happy, but you are being guarded around strangers.",DLC03_ADV017_IntroEndNormal
