CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Madison: Doctor Filmore, did you get the requests I sent over?","Doctor Filmore, did you get the requests I sent over?","Allie: I did. I'm in the middle of reviewing them now, but I'm already unsure how we're going to shuffle things to get you the necessary power.",,Inst303DirectoratePreSceneLoop
Scene,SceneDialogue,Custom,,"Madison: Given... well, considering all parties present?","Excuse me, but sir... Are you sure this is, well, the proper time to be discussing that?","Evan: Considering... I mean, given all parties present?",hesitant,Inst303DirectorateOpeningScene
Scene,SceneDialogue,Custom,,"Evan: Excuse me, but sir... Are you sure this is, well, the proper time to be discussing that?","Considering... I mean, given all parties present?","Shaun: Given that some of us have apparently lost interest in this meeting, I think we'll adjourn for now.",hesitant,Inst303DirectorateOpeningScene
Scene,SceneDialogue,Custom,,Madison: What?!,No!,Justin: You can't be serious!,Just received terrible news; shocked / Worried,Inst303DirectorateFatherScene
Miscellaneous,Miscellaneous,Greeting,,,Little busy right now.,,Apologetic,
Scene,SceneDialogue,Custom,,"NPCMEvanWatson: Since you're new here, you should take time to learn our safety procedures, and the sooner the better.","Rules create order, and order promotes efficiency.",Player Default: Words any former soldier can appreciate.,,DialogueInstituteEvanFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: Words any former soldier can appreciate.,A man who understands the need for discipline will be a valuable addition here.,"EvanWatson: I had some handbooks made up, but that was years ago. I'll see about getting one to you.",,DialogueInstituteEvanFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: Words any former soldier can appreciate.,A woman who understands the need for discipline will be a valuable addition here.,"EvanWatson: I had some handbooks made up, but that was years ago. I'll see about getting one to you.",,DialogueInstituteEvanFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: Too many rules get in the way of efficiency. It slows things down.,I've heard that before. I've also seen scientists get too cavalier with protocols and end up dead.,,,DialogueInstituteEvanFirstGreetingScene
Scene,SceneDialogue,Custom,,,"It only takes one mistake, one lapse. Remember that.","EvanWatson: I had some handbooks made up, but that was years ago. I'll see about getting one to you.",,DialogueInstituteEvanFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: You sound like my fifth-grade math teacher. I hated that woman.,I doubt her rules were a matter of life and death.,,,DialogueInstituteEvanFirstGreetingScene
Scene,SceneDialogue,Custom,,,"Fail to follow protocols in one of our labs, and you could end up with a serious injury... or worse.","EvanWatson: I had some handbooks made up, but that was years ago. I'll see about getting one to you.",,DialogueInstituteEvanFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: How many rules are we talking about here?,"Not nearly enough, if you ask me.","EvanWatson: I had some handbooks made up, but that was years ago. I'll see about getting one to you.",,DialogueInstituteEvanFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: A man who understands the need for discipline will be a valuable addition here.,"I had some handbooks made up, but that was years ago. I'll see about getting one to you.",Player Default: Sounds good.,,DialogueInstituteEvanFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default: Sounds good.,,"EvanWatson: Take care, then.",,DialogueInstituteEvanFirstGreetingScene
Scene,SceneDialogue,Custom,,"Player Default: Yeah, look, don't worry about it. I'll figure out the rules as I go.","Look, it's not just for your sake. If you're careless, other people could get hurt.","EvanWatson: Take care, then.",,DialogueInstituteEvanFirstGreetingScene
Scene,SceneDialogue,Custom,,"Player Default: Sure, whatever.",,"EvanWatson: Take care, then.",,DialogueInstituteEvanFirstGreetingScene
Scene,SceneDialogue,Custom,Info,"Player Default: Uh, how big is this handbook?","Just a few thousand pages, but I like to think it's a brisk read. I certainly find it so.","EvanWatson: Take care, then.",,DialogueInstituteEvanFirstGreetingScene
Scene,SceneDialogue,Custom,,Player Default:,"Take care, then.",,,DialogueInstituteEvanFirstGreetingScene
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,Something wrong?,,Wondering why the player has stopped talking.,
Miscellaneous,Miscellaneous,Greeting,,,"Since you're new here, you should take time to learn our safety procedures, and the sooner the better.","EvanWatson: Rules create order, and order promotes efficiency.",A bit patronizing,DialogueInstituteEvanFirstGreetingScene
Miscellaneous,Miscellaneous,Hello,,,"In case anyone didn't mention it, quiet time runs from 10 p.m. to 6 a.m.",,"Firm, all business",
Miscellaneous,Miscellaneous,Hello,,,Safety first. Remember that.,,"Firm, all business",
Miscellaneous,Miscellaneous,Hello,,,Rushed work is sloppy at best and deadly at worst.,,"Firm, all business",
Scene,SceneDialogue,Custom,,ClaytonHoldren: The Directorate has... agreed that steps must be taken to ensure our safety in the long run...,"Let's just spit it out, shall we? The Directorate has decided that the Brotherhood of Steel need to be eliminated.","AllieFilmore: As the incoming Director, we felt it important to inform you of the decision and get your thoughts on it.",,Inst305Stage90DirectorateScene
Scene,SceneDialogue,Custom,,Player Default: Shouldn't we wait and see? Give the announcement some time to sink in before acting?,"The Railroad won't suddenly decide to stop bothering us, and we all know why the Brotherhood is even in the Commonwealth to begin with.",AllieFilmore: We've all agreed that action must be taken.,,Inst305Stage90DirectorateDecisionScene
Scene,SceneDialogue,Custom,,,"Right, sure.",Evan: Liberty Prime was a pre-war experiment by the military. The Brotherhood found it when they moved to the Capital Wasteland.,,Inst307LPHistoryWatsonScene
Scene,SceneDialogue,Custom,,"Evan: Right, sure.",Liberty Prime was a pre-war experiment by the military. The Brotherhood found it when they moved to the Capital Wasteland.,Evan: They never could get it up and running... until they got help from Doctor Li.,,Inst307LPHistoryWatsonScene
Scene,SceneDialogue,Custom,,Evan: Liberty Prime was a pre-war experiment by the military. The Brotherhood found it when they moved to the Capital Wasteland.,They never could get it up and running... until they got help from Doctor Li.,Player Default: I didn't realize she'd had such an impact.,,Inst307LPHistoryWatsonScene
