CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Chase: Simply put: They want to kill each other, and each side wants us to help them.","We've tried to stay neutral, but Far Harbor was going to be wiped out by the Fog, so that's when we built the Condensers for them.","DiMA: And I was friends with the previous leader of the Children of Atom, Confessor Martin. I even gave them their headquarters, the submarine base they named the Nucleus.","talking to the player, who has persuaded DiMA to tell you about what's going on",DLC03MQ03_04_DiMAPersuade
Scene,SceneDialogue,Custom,,"DiMA: He's been threatening us, to force us to choose a side. I left behind something very important in that submarine base I gave them.",DiMA's earliest memories are stored in the military computer banks in that base. The prewar security systems and Confessor Martin's good will were supposed to keep them safe.,"Chase: But now Tektus is in charge, and he's after DiMA's memories. We don't even know what's in them.",,DLC03MQ03_04_DiMAPersuade
Scene,SceneDialogue,Custom,,"Chase: You'll have to get through the Children of Atom's base. You're new on the island, so you might be able to pose as a recruit.","Then once you get to the memory banks, you'll have to use a special program DiMA and I have been working on to break through the security systems.",DiMA: It's not going to be like a normal hack. You'll be breaking through a version of my own mental network. It'll consider you to be an intruder.,,DLC03MQ03_04_DiMAPersuade
Scene,SceneDialogue,Custom,,"Chase: They're going to kill each other, DiMA. There's no stopping it. We need to pick a side now.",Haven't we already picked a side? Building the Fog Condensers around Far Harbor wasn't exactly a neutral act.,DiMA: We couldn't stand by and let the people of this island die to the Fog.,Puzzled,DLC03MQ03_03_EavesdropScene
Scene,SceneDialogue,Custom,,"Chase: Well the new Confessor isn't. ""High Confessor"" Tektus is an unstable megalomaniac and he's going to keep threatening us as long as we're helping Far Harbor.",Guys. Can we talk about the elephant in the room? We keep dancing around it.,DiMA: My old memory banks in the submarine base.,Concerned,DLC03MQ03_03_EavesdropScene
Scene,SceneDialogue,Custom,,"DiMA: We can't risk it. They know you're from Acadia. If you're caught or even seen, then it's war.",We should at least prepare her to go in. We're running out of options. I say we tell her how to crack into the memory banks.,Chase: You've been working on this without me?,Thinking,DLC03MQ03_03_EavesdropScene
Scene,SceneDialogue,Custom,,DiMA: I've loaded the program with some instructions I've recorded that will help guide you through it. I'm afraid it's difficult to explain without seeing it for yourself.,I'm finishing up some tweaks to the program right now. I'll leave a copy of it for you on my desk when I'm done.,Chase: Get the program. Use it to break into the memory banks. Got it.,"to Chase, explaining where she can get the program",DLC03MQ03_03_EavesdropScene
Scene,SceneDialogue,Custom,,,"I'm not even going to complain that you've been snooping around in terminals, all right? I know how this looks.","Faraday: You have to understand, we did the best we could.",,DLC03AcadiaDialogueFaradayJuleScene
Scene,SceneDialogue,Custom,,"Faraday: I'm not even going to complain that you've been snooping around in terminals, all right? I know how this looks.","You have to understand, we did the best we could.",Player Default: You saved her life. Nothing matters as much as that does.,,DLC03AcadiaDialogueFaradayJuleScene
Scene,SceneDialogue,Custom,,Player Default: You saved her life. Nothing matters as much as that does.,"Tecchnically, yes. But... the side-effects... I swear to you, I wanted better for her. I really did.","Faraday: You... You already told her, didn't you? That's why she won't come back in, why she won't look me in the eye.",,DLC03AcadiaDialogueFaradayJuleScene
Scene,SceneDialogue,Custom,,Player Default: There's no excuse for leaving her in the state she's in.,"We had the chance to save her life, and we took it. Did whatever we had to. And I constantly second-guess that decision.","Faraday: You... You already told her, didn't you? That's why she won't come back in, why she won't look me in the eye.",,DLC03AcadiaDialogueFaradayJuleScene
Scene,SceneDialogue,Custom,,Player Default: Let me guess: you had no other choice.,"Oh no, there's always a choice. But the other option was to let her die. And it's always so easy to look back and judge.","Faraday: You... You already told her, didn't you? That's why she won't come back in, why she won't look me in the eye.",,DLC03AcadiaDialogueFaradayJuleScene
Scene,SceneDialogue,Custom,,Player Default: Can you just tell me what happened?,"The boat crashed, she was beyond injured. We did what we could, but the only way to get her past the trauma was to try a wipe.",,,DLC03AcadiaDialogueFaradayJuleScene
Scene,SceneDialogue,Custom,,,"I don't have Institute-level technology here. There were complications. And now... Well, now she's Jule. She's broken, but she's alive.","Faraday: You... You already told her, didn't you? That's why she won't come back in, why she won't look me in the eye.",,DLC03AcadiaDialogueFaradayJuleScene
Scene,SceneDialogue,Custom,,"Player Default: Tecchnically, yes. But... the side-effects... I swear to you, I wanted better for her. I really did.","You... You already told her, didn't you? That's why she won't come back in, why she won't look me in the eye.",,,DLC03AcadiaDialogueFaradayJuleScene
Scene,SceneDialogue,Custom,,,"Well, I'm in no position to judge, I suppose. But I really do wonder whether that was the right thing.",,,DLC03AcadiaDialogueFaradayJuleScene
Scene,SceneDialogue,Custom,,"Player Default: Tecchnically, yes. But... the side-effects... I swear to you, I wanted better for her. I really did.",Do me a favor: don't say anything to her. I can live with the guilt; she shouldn't have to.,,,DLC03AcadiaDialogueFaradayJuleScene
Scene,SceneDialogue,Custom,,"Player Default: Well, if you're determined to help, there is something you could do... It's likely somewhat dangerous, though, so I understand if you'd rather not.","Oh, that's great! Thank you... Uhh... Just the two? Really? I somehow thought there were three...",Player Default: I did notice a locked chest that I couldn't open. Maybe the last one was in there - do you have the key?,,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,Player Default: I did notice a locked chest that I couldn't open. Maybe the last one was in there - do you have the key?,"Key? Chest? I'm afraid I don't know... I, uhh... You know what, this is fine. Just these two is fine.","Faraday: Well, you did your part, so I'll do mine. Thank you for recovering these.",,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,Player Default: I did notice a locked chest that I couldn't open. Maybe the last one was in there - do you have the key?,"Right. Okay, well... I'm sure this is fine. Thank you.","Faraday: Well, you did your part, so I'll do mine. Thank you for recovering these.",,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,"Player Default: Don't try and back out on me here, Faraday. Pay up.","No, no! That's not it at all. I just... there really should have been three of them...","Faraday: Well, you did your part, so I'll do mine. Thank you for recovering these.",,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,"Player Default: You never talked numbers; I got what I could, okay?","Right, okay. You're right, I never did say... I just... I could've sworn there were three...","Faraday: Well, you did your part, so I'll do mine. Thank you for recovering these.",,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,Player Default: You didn't say anything about a certain number of them... Is there a problem?,Hmm? No... No problem. Not really. I just... I really was rather sure there had been three.,"Faraday: Well, you did your part, so I'll do mine. Thank you for recovering these.",,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,"Player Default: Key? Chest? I'm afraid I don't know... I, uhh... You know what, this is fine. Just these two is fine.","Well, you did your part, so I'll do mine. Thank you for recovering these.",,,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,Player Default: I've got those storage drives you asked for.,"Well, if you're determined to help, there is something you could do... It's likely somewhat dangerous, though, so I understand if you'd rather not.","Faraday: Oh, that's great! Thank you... Uhh... Just the two? Really? I somehow thought there were three...",,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,Player Default: I've got those storage drives you asked for.,"Me? I don't know why you'd care... I escaped the Institute, just like others here. Never had my mind wiped, thankfully.",,,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,,"I like to think I came along right when DiMA needed me. I found him before all this, before Acadia. He needed my help, though he refused to admit it.",,,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,,"He's always been stubborn like that. Anyway, I've been by his side ever since, making sure he has everything he needs.",Player Default: I've got those storage drives you asked for.,,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,"Player Default: Sorry, never mind.",Okay...,"Faraday: Oh, that's great! Thank you... Uhh... Just the two? Really? I somehow thought there were three...","cheery, dismissive",DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,"Player Default: I know what you did to Jule, Faraday.","What? Oh... Oh no. Okay, look...","Faraday: I'm not even going to complain that you've been snooping around in terminals, all right? I know how this looks.",,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,"Player Default: I know what you did to Jule, Faraday.","Well, that's certainly an understatement. Between the two of us, we've made so many modifications...",,,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,,"He was just a prototype, never built for all this. It took a lot to overcome the limitations of the original design and expand his memory.",,,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,,"It really is remarkable, isn't it? He's overcome so much... he's become so much more than he once was. And all he thinks of is others.",Player Default: I've got those storage drives you asked for.,,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,Player Default: Can you tell me about the Fog Condensers?,"Oh, those? DiMA and I designed them when it became clear the fog was only getting worse. They're effective, but have such a limited range.",,,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,,"DiMA insisted we provide them to the people of Far Harbor, and I'm so glad we did. Without the condensers, I'm not sure they'd have anywhere left.",Player Default: I've got those storage drives you asked for.,,DLC03AcadiaDialogueFaradayBaseScene
Scene,SceneDialogue,Custom,,,You were in there a long time... are you feeling all right?,DiMA: I'm fine. You worry too much.,,DLC03AcadiaDialogueDiMAFaradayScene
Scene,SceneDialogue,Custom,,DiMA: I'm fine. You worry too much.,Sometimes I feel like you don't worry enough. You know we blew three more relays this week.,Faraday: I'm coming in. You stay right there.,Concerned,DLC03AcadiaDialogueDiMAFaradayScene
Scene,SceneDialogue,Custom,,Faraday: I'm coming in. You stay right there.,I was having a hard enough time keeping up with repairs before all this nonsense with the Atom lunatics.,DiMA: They're nothing you need to be concerned about.,Concerned,DLC03AcadiaDialogueDiMAFaradayScene
Scene,SceneDialogue,Custom,,DiMA: They're nothing you need to be concerned about.,"It's not them... I'm concerned about you, DiMA. You can't solve all the world's problems, certainly not all at once.",DiMA: Dearest Faraday... Relax. All will be fine.,Concerned,DLC03AcadiaDialogueDiMAFaradayScene
Scene,SceneDialogue,Custom,,Faraday: Sometimes I feel like you don't worry enough. You know we blew three more relays this week.,I'm coming in. You stay right there.,Faraday: I was having a hard enough time keeping up with repairs before all this nonsense with the Atom lunatics.,,DLC03AcadiaDialogueDiMAFaradayScene
Scene,SceneDialogue,Custom,,"DLC03MaleFaraday: So, you've talked to DiMA. You know why we're here.",I certainly hope that you'll consider helping us. DiMA's vision is worth fighting for.,"Player Default: You're right, it is a good cause. Synths definitely deserve to be safe, just like everyone else.",,DLC03AcadiaDialogueFaradayInitialScene
Scene,SceneDialogue,Custom,,"Player Default: You're right, it is a good cause. Synths definitely deserve to be safe, just like everyone else.",It's so good to hear that. Very encouraging. Please make sure DiMA knows that as well.,"Faraday: He's put so much of himself into this... All his time and energy, devoted to helping others. He never stops to think of himself.",,DLC03AcadiaDialogueFaradayInitialScene
Scene,SceneDialogue,Custom,,Player Default: This whole thing - all of it - it's ridiculous.,"Well, I wouldn't expect you to fully understand what we're trying to do. What DiMA wants for all of us.","Faraday: He's put so much of himself into this... All his time and energy, devoted to helping others. He never stops to think of himself.",,DLC03AcadiaDialogueFaradayInitialScene
Scene,SceneDialogue,Custom,,Player Default: It's not really any of my concern.,"No, I suppose it's not. Still, though. We could use the help. DiMA especially.","Faraday: He's put so much of himself into this... All his time and energy, devoted to helping others. He never stops to think of himself.",,DLC03AcadiaDialogueFaradayInitialScene
Scene,SceneDialogue,Custom,,"Player Default: So, you're a synth?",I am... I hope that's not a problem for you.,,slightly offended,DLC03AcadiaDialogueFaradayInitialScene
Scene,SceneDialogue,Custom,,,DiMA has worked hard to create a place for us where we can be safe from those who don't accept us.,"Faraday: He's put so much of himself into this... All his time and energy, devoted to helping others. He never stops to think of himself.",,DLC03AcadiaDialogueFaradayInitialScene
Scene,SceneDialogue,Custom,,Player Default: It's so good to hear that. Very encouraging. Please make sure DiMA knows that as well.,"He's put so much of himself into this... All his time and energy, devoted to helping others. He never stops to think of himself.","Faraday: Sometimes I worry about... Well, if I wasn't here to make sure his equipment is all functional...",,DLC03AcadiaDialogueFaradayInitialScene
Scene,SceneDialogue,Custom,,"Faraday: He's put so much of himself into this... All his time and energy, devoted to helping others. He never stops to think of himself.","Sometimes I worry about... Well, if I wasn't here to make sure his equipment is all functional...",Faraday: And that's not even mentioning maintaining the fog condensers... So many things to keep track of.,,DLC03AcadiaDialogueFaradayInitialScene
Scene,SceneDialogue,Custom,,"Faraday: Sometimes I worry about... Well, if I wasn't here to make sure his equipment is all functional...",And that's not even mentioning maintaining the fog condensers... So many things to keep track of.,Player Default: Seems like he's lucky to have you helping.,,DLC03AcadiaDialogueFaradayInitialScene
Scene,SceneDialogue,Custom,,Player Default: Seems like he's lucky to have you helping.,"Thank you, that's very kind.",Player Default: I've got those storage drives you asked for.,,DLC03AcadiaDialogueFaradayInitialScene
Scene,SceneDialogue,Custom,,Player Default: If you say so. Seems like you're just wasting your time to me.,"Well, it's my time to waste, isn't it?",,,DLC03AcadiaDialogueFaradayInitialScene
Scene,SceneDialogue,Custom,,"Player Default: Right, right. Wouldn't want him ""blowing a fuse,"" huh?","Err, no. Not really.",Player Default: I've got those storage drives you asked for.,confused by bad attempt at humor,DLC03AcadiaDialogueFaradayInitialScene
Scene,SceneDialogue,Custom,,Player Default: You do all this work yourself?,"Mostly, yes. I get help from the others when I can, but no one else really understands DiMA the way I do.",Player Default: I've got those storage drives you asked for.,,DLC03AcadiaDialogueFaradayInitialScene
Combat,Combat,Death,,,Urgh.,,,
Combat,Combat,Hit,,,No...,,,
Combat,Combat,Hit,,,Ungh.,,,
Combat,Combat,Hit,,,Argh.,,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"Oh dear, did I confuse you?",,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"I'm sorry, I thought you were going to say something.",,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"Are we done talking, then? I'm confused.",,,
Miscellaneous,Miscellaneous,Greeting,,,"So, you've talked to DiMA. You know why we're here.",Faraday: I certainly hope that you'll consider helping us. DiMA's vision is worth fighting for.,,DLC03AcadiaDialogueFaradayInitialScene
Miscellaneous,Miscellaneous,Greeting,,,Yes?,Player Default: I've got those storage drives you asked for.,,DLC03AcadiaDialogueFaradayBaseScene
Miscellaneous,Miscellaneous,Greeting,,,"With DiMA gone, I'm not even sure what the point of all this is anymore.",,Depressed,
Miscellaneous,Miscellaneous,Greeting,,,Acadia's just never going to be the same without DiMA running things.,,Depressed,
Miscellaneous,Miscellaneous,Greeting,,,My job was always taking care of DiMA... What is there left for me now?,,Depressed,
Miscellaneous,Miscellaneous,Hello,,,"I know DiMA is convinced there was no other choice, but... an entire town gone? Because of us? It's hard to stomach.",,Depressed,
Miscellaneous,Miscellaneous,Hello,,,If only something could've been done to prevent tragedy in Far Harbor.,,Depressed,
Miscellaneous,Miscellaneous,Hello,,,"So much death... Acadia is safer, but at what cost? Was it really all worth it?",,"tired, sad",
Miscellaneous,Miscellaneous,Hello,,,I hate that it came to having to make decisions over who lives and dies. The Children of Atom deserved better. We all do.,,,
Miscellaneous,Miscellaneous,Hello,,,I wish there had been some way to reconcile with the Children of Atom.,,,
Miscellaneous,Miscellaneous,Hello,,,"I know you played a big role in ratcheting down the tension on the island, and I'm grateful.",,,
Miscellaneous,Miscellaneous,Hello,,,DiMA gave his life to broker peace with Far Harbor. Now they're gone... and what the hell does any of it mean?,,"tired, resigned",
Miscellaneous,Miscellaneous,Hello,,,"I still can't believe DiMA's gone. He'd already done so much, and then to give up his own life for ours...",,"tired, resigned",
Miscellaneous,Miscellaneous,Hello,,,DiMA needs near-constant monitoring. I'm the only one qualified.,,,
Miscellaneous,Miscellaneous,Hello,,,I'm really very busy right now.,,,
Scene,SceneDialogue,Custom,,,"Wait, what?","Faraday: You - you can't! DiMA, if you go down there, you're not coming back up!","shock, fear",DLC03MQ05AcadiaStaging_DiMAFaradayScene
Scene,SceneDialogue,Custom,,"Faraday: Wait, what?","You - you can't! DiMA, if you go down there, you're not coming back up!",DiMA: My dear Faraday... You know there is no other option.,,DLC03MQ05AcadiaStaging_DiMAFaradayScene
Scene,SceneDialogue,Custom,,DiMA: My dear Faraday... You know there is no other option.,"DiMA, there are always options. Don't do this. Don't... don't leave.","DiMA: If atoning for my actions can keep you safe, well... I care for you all too much to do anything else.",,DLC03MQ05AcadiaStaging_DiMAFaradayScene
Scene,SceneDialogue,Custom,,"DiMA: If atoning for my actions can keep you safe, well... I care for you all too much to do anything else.","DiMA, please...","DiMA: Be strong, Faraday. It will be all right.",,DLC03MQ05AcadiaStaging_DiMAFaradayScene
Scene,SceneDialogue,Custom,,,There's a boat along the coast of the island. It was transporting some hardware we needed. Storage drives.,"Faraday: The boat never finished the trip, you see. So the drives are still out there. I could really use them here, for extra parts if nothing else.","slightly reluctant, hesitant / Concerned",DLC03AcadiaM03FaradayStartScene
Scene,SceneDialogue,Custom,,Faraday: There's a boat along the coast of the island. It was transporting some hardware we needed. Storage drives.,"The boat never finished the trip, you see. So the drives are still out there. I could really use them here, for extra parts if nothing else.","Faraday: My understanding is that the boat wrecked southwest of here. So, does this sound like something you could handle?",,DLC03AcadiaM03FaradayStartScene
Scene,SceneDialogue,Custom,,"Faraday: The boat never finished the trip, you see. So the drives are still out there. I could really use them here, for extra parts if nothing else.","My understanding is that the boat wrecked southwest of here. So, does this sound like something you could handle?","Player Default: Sure thing, Faraday. I'll get the drives for you.",,DLC03AcadiaM03FaradayStartScene
Scene,SceneDialogue,Custom,,"Player Default: Sure thing, Faraday. I'll get the drives for you.",Thank you. I really do appreciate it.,,,DLC03AcadiaM03FaradayStartScene
Scene,SceneDialogue,Custom,,"Player Default: Nope, not a chance.","Ah. Right, well then. Perhaps some other time.",,,DLC03AcadiaM03FaradayStartScene
Scene,SceneDialogue,Custom,,"Player Default: I don't do much for free, Faraday.","Ah, right. Of course. I should've thought of that. How does 100 caps sound?","Player Default: Sure thing, Faraday. I'll get the drives for you.",,DLC03AcadiaM03FaradayStartScene
Scene,SceneDialogue,Custom,,"Player Default: I don't do much for free, Faraday.","Well yes, there is that possibility. Uhh, would 200 caps be more agreeable?","Player Default: Sure thing, Faraday. I'll get the drives for you.",,DLC03AcadiaM03FaradayStartScene
Scene,SceneDialogue,Custom,,"Player Default: I don't do much for free, Faraday.","Oh, oh dear. I am so sorry, insulting you was not my intention. Is 300 caps less insulting? That's really about all I can spare...","Player Default: Sure thing, Faraday. I'll get the drives for you.",,DLC03AcadiaM03FaradayStartScene
Scene,SceneDialogue,Custom,,"Player Default: I don't do much for free, Faraday.","Fine. 400 caps is as much as I can spare. Now please, let me know when you've found the drives.",,,DLC03AcadiaM03FaradayStartScene
