CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"Oh don't give me that ""strong, silent"" bullshit...",,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,What? Can't talk?,,mocking,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,You disrespecting me over here?,,,
Miscellaneous,Miscellaneous,Hello,,,"I ain't got time to hassle ya. With Hancock gone, it's time to lay-low.",,Hancock is dead / Irritated,
Miscellaneous,Miscellaneous,Hello,,,Mayor's dead. Good riddance. He was getting soft.,,Hancock is dead,
Miscellaneous,Miscellaneous,Hello,,,Back off. I ain't looking to make nice.,,,
Miscellaneous,Miscellaneous,Hello,,,Got things to deal with. Step off.,,,
Miscellaneous,Miscellaneous,Hello,,,"Best mind yourself. I catch you in something you shouldn't be, it'll be more than words.",,,
Miscellaneous,Miscellaneous,Hello,,,Get lost.,,,
Scene,SceneDialogue,Custom,,,Hey! Don't you ignore me!,,"shouting, player is walking right past you / Angry",GoodneighborIntroScene01C
Scene,SceneDialogue,Custom,,"Player Default: We're working together, yeah.",Really? Well you're in luck. I got a special offer on some insurance for partners of the great gumshoe here.,Player Default: Insurance. I'm listening.,"veiled threat, emphasize ""insurance"" / SinisterSmile",GoodneighborIntroScene01A
Scene,SceneDialogue,Custom,,Player Default: Not your concern.,"Oh it's not, huh? Well, with that attitude, you're gonna be in the market for a little insurance.",Player Default: Insurance. I'm listening.,"veiled threat, emphasize ""insurance"" / SinisterSmile",GoodneighborIntroScene01A
Scene,SceneDialogue,Custom,,"Player Default: We're hiring, but I don't think you'd... measure up.",Don't be like that. You just got the look of someone who's in the market for a little insurance.,Player Default: Insurance. I'm listening.,"veiled threat, emphasize ""insurance"" / SinisterSmile",GoodneighborIntroScene01A
Scene,SceneDialogue,Custom,,Player Default: What's it to you?,Gotta know who's backing who in Goodneighbor. I ain't never seen you before. Maybe you're in the market for a little insurance?,Player Default: Insurance. I'm listening.,"veiled threat, emphasize ""insurance"" / SinisterSmile",GoodneighborIntroScene01A
Scene,SceneDialogue,Custom,,,Hold up there. First time in Goodneighbor? Can't go walking around without insurance.,Player Default: Insurance. I'm listening.,"player walks into town for the first time, you sell ""insurance"" which really just means ""extortion"" / SinisterSmile",GoodneighborIntroScene01B
Scene,SceneDialogue,Custom,,,"And who are you, huh? Valentine's new dick-in-training?","Player Default: We're working together, yeah.","talking to the player, who is with Nick Valentine / Irritated",GoodneighborIntroScene01A
Scene,SceneDialogue,Custom,,,"Well, well, it's the detective. Tracking down another wayward husband to his mistress?","Nick: Why, someone stand you up?","threatening, mocking, Nick Valentine is a detective who's just walked into town with the player / Sarcastic",GoodneighborIntroNickScene01
Scene,SceneDialogue,Custom,,"Nick: Why, someone stand you up?","Tryin' that, what d'ya call it? Evasive language, on me?",,"you don't understand Nick's joke, so you respond by being intimidating / Irritated",GoodneighborIntroNickScene01
Scene,SceneDialogue,Custom,,"Finn: That's right. Insurance. Personal protection, like.","You hand over everything you got in them pockets, or ""accidents"" start happenin' to ya. Big, bloody, ""accidents.""",,threatening / Angry,GoodneighborIntroScene01B
Scene,SceneDialogue,Custom,,,"You're soft, Hancock. You keep letting outsiders walk all over us, one day there'll be a new mayor.","Hancock: Come on, man. This is me we're talking about. Let me tell you something.",you've had it with Mayor Hancock protecting newcomers / Angry,GoodneighborIntroScene02B
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Insurance. I'm listening.,"That's right. Insurance. Personal protection, like.","Finn: You hand over everything you got in them pockets, or ""accidents"" start happenin' to ya. Big, bloody, ""accidents.""","player isn't sure what kind of ""insurance"" you sell / SinisterSmile",GoodneighborIntroScene01B
Scene,SceneDialogue,Custom,,"Player Default: You better back off, or you're the one who's going to need insurance.","Whoa, hey, all right. We'll just, uh, say your insurance is paid up for now, okay?","Finn: You hand over everything you got in them pockets, or ""accidents"" start happenin' to ya. Big, bloody, ""accidents.""",player is tougher than you realized / Afraid,GoodneighborIntroScene01B
Scene,SceneDialogue,Custom,,"Player Default: You better back off, or you're the one who's going to need insurance.","What was that? I couldn't hear over the sound of all that ""pathetic.""","Finn: You hand over everything you got in them pockets, or ""accidents"" start happenin' to ya. Big, bloody, ""accidents.""",player just failed to intimidate you / SinisterSmile,GoodneighborIntroScene01B
Scene,SceneDialogue,Custom,,"Player Default: Unless it's ""keep-dumb-assholes-away-from-me"" insurance, I'm not interested.",Now don't be like that. I think you're going to like what I have on offer.,"Finn: You hand over everything you got in them pockets, or ""accidents"" start happenin' to ya. Big, bloody, ""accidents.""",SinisterSmile,GoodneighborIntroScene01B
