CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: Actually, I already have something from there...","Oh man, that's like... crazy? Are you a mind-reader?",,player already has the thing you asked him for / Surprised,FredQuestScene
Scene,SceneDialogue,Custom,,,Here's your payment.,,Happy,FredQuestScene
Scene,SceneDialogue,Custom,,"Player Default: Actually, I already have something from there...",You're the best. The absolute best.,,player agrees to do the job / Happy,FredQuestScene
Scene,SceneDialogue,Custom,,Player Default: No thanks.,"Hey, if it was easy, I wouldn't be paying you for it, but okay...",,Depressed,FredQuestScene
Scene,SceneDialogue,Custom,,"Player Default: Your offer's a little low, Fred.",All right. Let's make it 250.,"Player Default: Actually, I already have something from there...",Happy,FredQuestScene
Scene,SceneDialogue,Custom,,"Player Default: Your offer's a little low, Fred.","I did say that, didn't I? How about 300?","Player Default: Actually, I already have something from there...","negotiating price, you said before the job would be dangerous / Happy",FredQuestScene
Scene,SceneDialogue,Custom,,"Player Default: Your offer's a little low, Fred.","Okay, okay! You caught me. 400 caps. That's all I can put out.","Player Default: Actually, I already have something from there...","laughing at the beginning, player figured out that you have more money / Happy",FredQuestScene
Scene,SceneDialogue,Custom,,"Player Default: Your offer's a little low, Fred.","Oh, I see where this is going. Job's going to be 200 caps. No haggling.","Player Default: Actually, I already have something from there...",you're sick of negotiating / Irritated,FredQuestScene
Scene,SceneDialogue,Custom,,Player Default: You said Gunners are out there?,"The blackest-hearted mercs around, friend. Well-armed. Organized.",,,FredQuestScene
Scene,SceneDialogue,Custom,,,"So, you know, make sure they don't catch you.","Player Default: Actually, I already have something from there...",Nervous,FredQuestScene
Scene,SceneDialogue,Custom,,Player Default: You said Gunners are out there?,"Like I said, that name's killer. They probably made all kinds of chemicals worth grabbing.",,Happy,FredQuestScene
Scene,SceneDialogue,Custom,,,"The Gunners were willing to send a team in there, and those guys don't go after lame marks.","Player Default: Actually, I already have something from there...",,FredQuestScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,"You're gonna love this, trust me...",,Happy,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,This is gonna be great...,,Happy,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Everything's been tested personally...,,Happy,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,I got this one chem here that... oh man...,,Happy,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"Ah, that's cool. Maybe next time?",,Depressed,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"Hey, no worries. Next time, huh?",,Depressed,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"Of course, of course.",,Depressed,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,All right.,,Depressed,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,I'm always here if you need me...,,Depressed,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: You have any work?,"Yeah, actually, you might be perfect...",,thinking it over / Happy,FredGreetScene
Scene,SceneDialogue,Custom,,,"You know the Gunners, right? The high-end mercenaries? Well, a few of them were talking about scavenging around that old HalluciGen building.",,conspiratorial / Puzzled,FredGreetScene
Scene,SceneDialogue,Custom,,,"I mean, just think about that name! There's gotta be some shit there that's out of this world! You get me something, I pay you. 200 caps.","Player Default: Actually, I already have something from there...",Happy,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: You have any work?,You ever reconsider going to HalluciGen? Bring me back something with a good kick to it?,"Player Default: Actually, I already have something from there...",Happy,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: You have any work?,"Hey, take your time.",,Happy,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: You have any work?,Was I rushing you? Take your time.,,Concerned,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: You have any work?,That's cool.,,Concerned,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: You have any work?,Whenever you're ready.,,Concerned,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: Could I put this on my charge card?,"A what? Whoa, that some kind of pre-War plastic ID thing? You're joking with me right?",,"player asks if you accept something called a ""charge card"", which is worthless / Puzzled",FredGreetScene
Scene,SceneDialogue,Custom,,,"Look, caps are the language of love around here. I mean, the language of money, which is a lot like love now that I think about it...",,Nervous,FredGreetScene
Scene,SceneDialogue,Custom,,,"So, you interested in seeing what I have on offer? If you're paying with caps, I mean.","Fred: A what? Whoa, that some kind of pre-War plastic ID thing? You're joking with me right?",Happy,FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: What's Jet?,You don't know? It's the best! It just... hypercharges everything. Like you got the speed of ten men in one inhaler.,"Fred: A what? Whoa, that some kind of pre-War plastic ID thing? You're joking with me right?","player asks ""What's Jet?"" / Happy",FredGreetScene
Scene,SceneDialogue,Custom,,Player Default: What other kinds of chems do you have?,"Well, you got your ""medicinal"" shit. Rad-X and Radaway for radiation sickness. Hey, do you think that's why they call it Rad-X? That's far out...",,"player asks ""What other chems do you sell?"" / Thinking",FredGreetScene
Scene,SceneDialogue,Custom,,,"Mentats are for the science-y types, you know, eggheads looking for a boost to solve big problems. Buffout's for the muscle men.",,Thinking,FredGreetScene
Scene,SceneDialogue,Custom,,,"Fuck, just try it all, is what I say.","Fred: A what? Whoa, that some kind of pre-War plastic ID thing? You're joking with me right?",Amused,FredGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Anyway, did you want to pick anything up? Homebrewed chems right here.",Player Default: Let's see what you've got.,"generic ""getting back to business"" line / Puzzled",FredGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Hey, before you head out, need a pick-me-up? Buffout? Mentats?",Player Default: Let's see what you've got.,"generic ""getting back to business"" line / Puzzled",FredGreetScene
