CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Ha. Let's see what you can afford.,,jokingly / Amused,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,"I have all sorts of ways to help you waste your time, boss.",,jokingly / Amused,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Tokens are on special today... buy two and get none free.,,jokingly / Amused,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,"Sure, sure. Take your time...",,Confident,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,"Whatever you need, boss.",,Confident,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,Player Default: Not today.,No problem.,,Confident,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,Player Default: Not today.,"No rush. I'll be here if you need me, boss.",,Confident,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,Player Default: Not today.,"Sure thing, boss.",,Confident,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,Player Default: Not today.,Another time then.,,like goodbye / Confident,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,Player Default: Not today.,The games are waiting. Have fun.,,Confident,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,Player Default: What kind of prizes can I win here?,"Well, some of the things in the redemption system are left over from the pre-war era.",,Confident,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,,"However, I've added a few more... let's just say ""more appropriate"" items for the gangs to enjoy.",,SinisterSmile,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,,You can win plenty of ammunition or even some special weapons and armor that I created myself.,,Friendly,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,,"If you're curious, go take a look at a redemption terminal. I'm betting you'll find something worth blowing your tokens on.",,Amused,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,,Otherwise I could always show you what I have for sale.,Player Default: Let's see what you've got.,Confident,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,"Player Default: So what's your story, anyway?",Me? Didn't know you were interested.,,Surprised,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,,"Well, I've been running this place for years now.",,Thinking,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,,"And to be honest, until Colter rolled in with his... uh, I mean, your gangs, it was getting boring.",,"punch ""gangs"" - he's making a sudden course correction since Player is the new boss / Nervous",DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,,"They were going to kick me out of the Nuka-Cade, but then I showed them that I possessed... skills that would be useful to them.",,Amused,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,,Fixing these machines really isn't that different than tinkering with a gun or some armor. Just make the right connections and it all works.,,Confident,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,,"After a while, Colter starting considering me almost a part of the gangs. That's probably why he never slapped a collar around my neck.",,Confident,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,,"Hopefully, I'll have the same luck with you, boss.",,Concerned,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,,"Anyway, enough about me. How about I fix you up with some tokens so you can get playing?",Player Default: Let's see what you've got.,Apologetic,DLC04NukaCade_Stage50_VendingScene
Scene,SceneDialogue,Custom,,"Player Default: Well, honestly, I had a little help.",I'll say.,"DLC04Fritsch: Gage was the one that clued you in. Yeah, I know all about it.",Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: Are you kidding? That was a piece of cake.,"Well, you have to admit, you had a bit of help.","DLC04Fritsch: Gage was the one that clued you in. Yeah, I know all about it.",Irritated,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,"Player Default: Yeah, who knew water and electricity wouldn't mix?","Well, judging from the Thirst Zapper you picked up, apparently you're not the only one.","DLC04Fritsch: Gage was the one that clued you in. Yeah, I know all about it.",Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: And you are...?,Impressed. I've never seen anyone survive in Cola-Cars for more than a minute.,,Amused,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,,"Of course, you did have a little help.","DLC04Fritsch: Gage was the one that clued you in. Yeah, I know all about it.","punch ""did"" / Confident",DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: I'll say.,"Gage was the one that clued you in. Yeah, I know all about it.",,Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,,"Don't worry, your secret is safe with me... I think Colter got exactly what he deserved.",Player Default: It's not like I had a choice.,Reassuring / Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: It's not like I had a choice.,"I don't care why it happened, I'm just glad that it did.","DLC04Fritsch: With Colter running the show, business was starting to dry up.",Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: Good. Then you and I won't have a problem.,"As long as you run these gangs the way they were meant to be run, we'll never have a problem.","DLC04Fritsch: With Colter running the show, business was starting to dry up.",Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: I'm getting the impression that nobody liked that guy.,Heh... that's like calling a Deathclaw a pussycat.,"DLC04Fritsch: With Colter running the show, business was starting to dry up.","sarcastic ""heh"" / Sarcastic",DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: So you weren't loyal to Colter?,Hell no. Colter was a goddamn idiot.,"DLC04Fritsch: With Colter running the show, business was starting to dry up.",Irritated,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,"Player Default: I don't care why it happened, I'm just glad that it did.","With Colter running the show, business was starting to dry up.",,Irritated,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,,"Now that you're here, I'm betting everyone stands to make a lot more money.",,SinisterSmile,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,,"Speaking of which, I'm hoping you're here to spend a little bit of your own at the Nuka-Cade.","Player Default: Sure, why not? This place looks like fun.",SinisterSmile,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,"Player Default: Sure, why not? This place looks like fun.","Yeah, it's pretty amazing, isn't it?",DLC04Fritsch: All of the amusements and games around you are working thanks to yours truly.,Grateful,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: Maybe I'll just kill you and take whatever the hell I want.,"True, but that would be the stupidest decision you could ever make.",DLC04Fritsch: All of the amusements and games around you are working thanks to yours truly.,challenging the threat / Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: I'm amazed that all this junk actually works.,Thanks. It's taken me almost a year to get it this far.,DLC04Fritsch: All of the amusements and games around you are working thanks to yours truly.,Friendly,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: What exactly is this place?,It's my pride and joy. The one good thing that came out of getting stuck working for Colter.,DLC04Fritsch: All of the amusements and games around you are working thanks to yours truly.,Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,"Player Default: Yeah, it's pretty amazing, isn't it?",All of the amusements and games around you are working thanks to yours truly.,,Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,,"I'm the only one that can take them apart and put them back together again. If I go, then it's only a matter of time before they fall apart.",,Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,,"And all the cute little prizes you can win... yeah, you can thank me for those too.",Player Default: Prizes? I like the sound of that.,Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: Prizes? I like the sound of that.,"Well then, step right up and I'll explain how you can win some.",DLC04Fritsch: Every game in the Nuka-Cade still takes the original pre-war tokens. Just slot one into the machine and you're off.,Amused,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: I'll thank you when you start explaining this madhouse.,"All right, all right. No need to get hostile.",DLC04Fritsch: Every game in the Nuka-Cade still takes the original pre-war tokens. Just slot one into the machine and you're off.,Concerned,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: Careful. You keep patting yourself on the back like that and your arm's going to break.,"Give me a break, it's all I've got.",,Disgust,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,,"Look, let me just explain how all this works. After that, if you're interested in playing, great. If not, then no harm done.",DLC04Fritsch: Every game in the Nuka-Cade still takes the original pre-war tokens. Just slot one into the machine and you're off.,Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: How do I get started?,"Eager to play, eh? That's what I like to hear.",DLC04Fritsch: Every game in the Nuka-Cade still takes the original pre-war tokens. Just slot one into the machine and you're off.,Amused,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,"Player Default: Well then, step right up and I'll explain how you can win some.",Every game in the Nuka-Cade still takes the original pre-war tokens. Just slot one into the machine and you're off.,,Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,,"If your score is high enough, the machine will kick out a bunch of tickets which you can redeem at a prize terminal for all sorts of goodies.",Player Default: Please tell me that you sell the tokens.,Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: Please tell me that you sell the tokens.,"Of course I do, but that isn't the only way you can get them.","DLC04Fritsch: You can also get tokens from the pre-war token machines in the Nuka-Cade, but they only take pre-war money.",Friendly,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,"Player Default: Let me guess, you just so happen to sell the tokens.","Well... yes, but that's not the only way.","DLC04Fritsch: You can also get tokens from the pre-war token machines in the Nuka-Cade, but they only take pre-war money.",Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: Damn it... I already spent all my tokens on some magic beans.,Very funny.,,clearly unimpressed / Irritated,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,,"Look, normally I tell people the only way to get tokens is buying them from me.",,Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,,"But seeing as you're the new Overboss, I suppose it wouldn't hurt to tell you a few other ways of getting them.","DLC04Fritsch: You can also get tokens from the pre-war token machines in the Nuka-Cade, but they only take pre-war money.",Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: How do I get tokens?,"Well, I usually just tell my customers that I sell them.",,SinisterSmile,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,,"But seeing as you're the new Overboss, I suppose it wouldn't hurt to tell you a few other ways of getting them.","DLC04Fritsch: You can also get tokens from the pre-war token machines in the Nuka-Cade, but they only take pre-war money.",Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,"Player Default: Of course I do, but that isn't the only way you can get them.","You can also get tokens from the pre-war token machines in the Nuka-Cade, but they only take pre-war money.",,Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,,"And, if you look around the parks hard enough, I'm betting you'll find a few here and there.","DLC04Fritsch: I'll tell you what. Just to officially welcome you to Nuka-World, here's a token to get you started.",Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,"DLC04Fritsch: And, if you look around the parks hard enough, I'm betting you'll find a few here and there.","I'll tell you what. Just to officially welcome you to Nuka-World, here's a token to get you started.",Player Default: How about three... as a gift to welcome the new Overboss.,Friendly,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: How about three... as a gift to welcome the new Overboss.,"Sure, why not. May as well start off with you on the right foot.","DLC04Fritsch: Well, I guess that's it.",Friendly,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: How about three... as a gift to welcome the new Overboss.,"Sorry, boss. Can't do it. These things are more valuable than you realize.","DLC04Fritsch: Well, I guess that's it.",Apologetic,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,"Player Default: How about you give me three, or I'll break one of your legs.","All right, don't do anything hasty. No need for violence.","DLC04Fritsch: Well, I guess that's it.",Worried,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,"Player Default: How about you give me three, or I'll break one of your legs.","Sorry, boss. Can't do it. A broken leg isn't as bad as going broke.","DLC04Fritsch: Well, I guess that's it.",Concerned,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,"Player Default: Sounds good, thanks.","No problem. I have to keep you coming back for more, right?","DLC04Fritsch: Well, I guess that's it.",Friendly,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,Player Default: You can do better. How about two?,"Yeah, sure... I suppose it couldn't hurt.",,Confident,DLC04NukaCade_Stage10_IntroScene
Scene,SceneDialogue,Custom,,,May as well start off with you on the right foot.,"DLC04Fritsch: Well, I guess that's it.",Friendly,DLC04NukaCade_Stage10_IntroScene
