CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Let's hear about the permit.,"We have one home available. It's in the center of town, right near the market.",,,GenevaGreetScene
Scene,SceneDialogue,Custom,,,"You can do whatever you like with the interior, and all the tools you need to make your own furnishings are provided at no extra charge.",Player Default: I'll take it.,,GenevaGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's hear about the permit.,One home available. Center of town. Near the market. Interested?,Player Default: I'll take it.,,GenevaGreetScene
Scene,SceneDialogue,Custom,,Player Default: I don't need anything.,"Catch you later, then.",Player Default: I'll take it.,,GenevaGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'm looking for work.,Mercenary-type? We usually have a few open bounties. Just check the wanted posters in the market.,Player Default: Let's hear about the permit.,Question,GenevaGreetScene
Scene,SceneDialogue,Custom,,Player Default: What was that about synths?,"Oh no. I'm not saying anything. I like my job, thank you very much.",Player Default: Let's hear about the permit.,Irritated,GenevaGreetScene
Scene,SceneDialogue,Custom,,Player Default: What was that about synths?,Geneva. The mayor's secretary. I handle all the day-to-day.,Player Default: Let's hear about the permit.,,GenevaGreetScene
Scene,SceneDialogue,Custom,,Player Default: What was that about synths?,"Yes. I know everyone liked to gossip about me and McDonough having a... close personal relationship, but the truth is, we didn't.",,"player asks if you're okay - you previously were taken hostage by Mayor McDonough, and now he's either dead or gone / Somber",GenevaGreetScene
Scene,SceneDialogue,Custom,,,He was as much a mystery to me as anyone. But I sure don't miss his temper...,Player Default: Let's hear about the permit.,Somber,GenevaGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll take it.,"Here's the key. Let me be the first to welcome you as a resident of the great, green jewel!",,Happy,GenevaGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll take it.,"Well, the home isn't going anywhere. Maybe some day?",,,GenevaGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll pass.,Too rich for your blood? Can't blame you.,,,GenevaGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let me think it over.,Take all the time you need.,,,GenevaGreetScene
Scene,SceneDialogue,Custom,,Player Default: Tell me more about this house.,"The previous owner bought an adjacent warehouse and knocked down a few walls, so it's bigger than most.",,talking about the house,GenevaGreetScene
Scene,SceneDialogue,Custom,,,"And he left behind all his old tools, so you'll have everything you need to modify the inside however you see fit.",Player Default: I'll take it.,,GenevaGreetScene
