CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Greeting,,,"What was all that about, Detective?",,,
Miscellaneous,Miscellaneous,Greeting,,,I can't believe it was him the whole time.,,,
Miscellaneous,Miscellaneous,Greeting,,,"You shouldn't be in here, the killer is still loose.",,,
Miscellaneous,Miscellaneous,SharedInfo,,,"Ugh. Fine, I'm going to the beach.",,,DLC03_V118_QuestIntroGildaKeithExitG
Scene,SceneDialogue,Custom,,Player Default: I'll be around. Languishing from your inattention.,"Care to hear some of my stories, detective?",,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,Player Default: I'll be around. Languishing from your inattention.,Surely you must be here for my salacious stories of the silver screen?,,,DLC03_V118_QuestGildaMain
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I'll be around. Languishing from your inattention.,Surely you'd prefer to hear some tales from my storied acting career instead of talking about some dreadful murder...,,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,,"That was great, Detective. But we probably shouldn't make a habit of this. Catch you later, tiger.",,Post coitus,DLC03_V118_Quest_GildaDateScene
Scene,SceneDialogue,Custom,,,Did you need something else?,Player Default: Tell me about yourself.,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,Player Default: Gross.,How rude! I guess I'll just find someone else to tell my acting stories to. Goodbye Detective.,,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,Player Default: You're not so bad yourself.,"You should have seen me before all this. Red hair that was the envy of every girl and legs for days, darling.",,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,,I'm sure you'd rather hear some of my stories from the silver screen rather than talk about that nasty murder business.,,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,Player Default: Can we talk about the murder?,"Oh boo. You're no fun. I suppose we can talk about the case, unless you'd rather hear some stories from my acting career?",,"pouty and petulant, but playfully so",DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,,"I used to do musicals, back when they were in fashion. The Beautiful Cigar Girl, Wagons on the Plain, A Woman of the Royal Navy.",,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,,They were ever so much fun!,Gilda: Did you need something else?,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,,Did you know that I was supposed to star in Love Sets Sail? The only reason that bitch Vera got the part is because her uncle was the producer.,Gilda: Did you need something else?,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,,"Did you know, that while filming Night of the Fish Men's Return, Synthia Marsh had the most terrible allergic reaction to the fish man suit?",,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,,More than half the scenes had to be done with her stunt double! And that stunt double ended up having an affair with her co-star.,Gilda: Did you need something else?,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,,"Keith and I first met when we acted together in Empire on the Nile. It was a period piece, huge production budget.",,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,,"He played Mark Antony, and I, of course, played Cleopatra. Ooh how I hated that black hair though.",,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,,"Sean Holzman, he was the director you see, well he threw the most lavish set parties. They were absolutely bacchanalian.",Gilda: Did you need something else?,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,,"Did you know there were thinking of making a TV show of The Silver Shroud? Between you and me, Keith's agent had an inside track to get him the role.",Gilda: Did you need something else?,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,,"He'll deny ever saying it, but Keith once told me he caught Vince Natali and Sergio Amore together at a nightclub in a compromising situation.",Gilda: Did you need something else?,"pause and raise eyebrow before ""compromising situation"". She is also completely ignoring why Keith would have been in that kind of nightclub",DLC03_V118_QuestGildaMain
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Not right now.,I'll be around. Languishing from your inattention.,,flirtingly dramatic,DLC03_V118_QuestGildaMain
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: Not right now.,Fine. Goodbye Detective.,,Terse. The player has been rude to you,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,"Player Default: I must say, you're quite the actress.",What can I say? It just comes naturally.,,"false modesty, flirting with the player.",DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,"Player Default: I must say, you're quite the actress.","Well darling, play your cards right and maybe I'll whisper some sweet nothings in your ear.",,,DLC03_V118_QuestGildaMain
Scene,SceneDialogue,Custom,,"Player Default: I must say, you're quite the actress.","Keep it up Tiger, and we'll find out if you can handle how much woman I am.",,,DLC03_V118_QuestGildaMain
