CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,SharedInfo,,,None of them got past me. Damn... that stings...,"Glory: Listen, the Railroad's always sitting on its hand... Ahhh... You're the best thing that's ever happened.","In tremendous pain, but holding it together / InPain",RR303_0300b_GloryDeath
Scene,SceneDialogue,Custom,,Glory: Bullshit. *cough*,Isn't there... supposed to be a light?,,"Coughs a little, then dies in fear - she's facing death believing she has no soul and will go to Hell",RR303_0300b_GloryDeath
Scene,SceneDialogue,Custom,,"Player Default: Hold on, you'll make it through.",Bullshit. *cough*,Glory: Isn't there... supposed to be a light?,"Ironic laugh, but coughs up blood / InPain",RR303_0300b_GloryDeath
Scene,SceneDialogue,Custom,,Player Default: I promise.,If anyone... *cough*,Glory: Isn't there... supposed to be a light?,"Thankful, relief - she can die now / InPain",RR303_0300b_GloryDeath
Scene,SceneDialogue,Custom,,Player Default: How bad is it?,No escape... this time. *cough*,Glory: Isn't there... supposed to be a light?,"Knows she's dying, grim / InPain",RR303_0300b_GloryDeath
Scene,SceneDialogue,Custom,,Glory: None of them got past me. Damn... that stings...,"Listen, the Railroad's always sitting on its hand... Ahhh... You're the best thing that's ever happened.",Glory: Promise me you'll free them. All of them.,"Urgent last words, sounds like she's dying (which she is) / InPain",RR303_0300b_GloryDeath
Scene,SceneDialogue,Custom,,"Glory: Listen, the Railroad's always sitting on its hand... Ahhh... You're the best thing that's ever happened.",Promise me you'll free them. All of them.,"Player Default: Hold on, you'll make it through.",Fervent last request / InPain,RR303_0300b_GloryDeath
Miscellaneous,Miscellaneous,Greeting,,,This was supposed to be my damned day off.,,Annoyed,
Miscellaneous,Miscellaneous,Greeting,,,We got two zones to protect. I got this one. You take the other.,,Annoyed,
Miscellaneous,Miscellaneous,Hello,,,Hey. Over here.,,Dying calling a friend over to hear her final words,
Miscellaneous,Miscellaneous,Hello,,,You gotta protect Dez and the other soft targets. Go.,,Insistent (and a little annoyed),
Miscellaneous,Miscellaneous,Hello,,,What are you still doing here? Get back to HQ.,,Annoyed,
Miscellaneous,Miscellaneous,Hello,,,I hate waiting.,,Annoyed,
Miscellaneous,Miscellaneous,Hello,,,Let's kick the assholes out of here.,,Wanting to hurt them,
Scene,SceneDialogue,Custom,,,Don't. Move.,,"Shouted at a distance, quick clip - promising violence",RR101_GloryWarnsBackingUp
Scene,SceneDialogue,Custom,,,Not one foot closer.,,"Shouted to a near distance, stern - promising violence",RR101_GloryWarnsClosingIn
Scene,SceneDialogue,Custom,,,I god-damned warned you. Open up!,,Hostile shout before opening fire,RR101_GloryBarksOnAttack
Miscellaneous,Miscellaneous,Hello,,,Talk to the boss.,,Fierce,
Scene,SceneDialogue,Custom,,NPCFGlory: Hey you.,"You the new heavy? Fixer, right?",Player Default: In the flesh. Nice to meet another agent.,,GloryScene_02
Scene,SceneDialogue,Custom,,NPCFGlory: Hey you.,"You the new heavy? Professor, right?",Player Default: In the flesh. Nice to meet another agent.,,GloryScene_02
Scene,SceneDialogue,Custom,,NPCFGlory: Hey you.,"You the new heavy? Charmer, right?",Player Default: In the flesh. Nice to meet another agent.,,GloryScene_02
Scene,SceneDialogue,Custom,,NPCFGlory: Hey you.,"You the new heavy? Whisperer, right?",Player Default: In the flesh. Nice to meet another agent.,,GloryScene_02
Scene,SceneDialogue,Custom,,NPCFGlory: Hey you.,"You the new heavy? Bullseye, right?",Player Default: In the flesh. Nice to meet another agent.,,GloryScene_02
Scene,SceneDialogue,Custom,,NPCFGlory: Hey you.,"You the new heavy? Wanderer, right?",Player Default: In the flesh. Nice to meet another agent.,,GloryScene_02
Scene,SceneDialogue,Custom,,"Player Default: Yeah, whatever. I hate being poked and prodded.","Listen, I think for myself. I feel. Like, right now, I'm a little pissed off.","Player Default: I just need to know what sort of people I'm saving. You understand, right?",Angry,GloryScene_02b_MachineTest
Scene,SceneDialogue,Custom,,Player Default: I appreciate the compliment.,"Yeah, whatever.","Glory: Listen, you caught us at a shit time. We're still recovering from... something I can't get into.",Irritated,GloryScene_01
Scene,SceneDialogue,Custom,,Player Default: So you think you could've done better on the Trail?,"Maybe yes, maybe no. I don't know how you figured that marker garbage out, though.","Glory: Listen, you caught us at a shit time. We're still recovering from... something I can't get into.",Amused,GloryScene_01
Scene,SceneDialogue,Custom,,Player Default: The Trail was easy. Just another walk in the park.,Ha. You know it.,"Glory: Listen, you caught us at a shit time. We're still recovering from... something I can't get into.",Amused,GloryScene_01
Scene,SceneDialogue,Custom,,"Player Default: ""For a human""? What do you mean?","You're a born-in-the-wild human model 1.0. You ain't bad for that model. Not in the same league as us synths. But hey, not your fault.",Player Default: I appreciate the compliment.,Amused,GloryScene_01
Scene,SceneDialogue,Custom,,"Player Default: ""For a human""? What do you mean?",In the artificial flesh. And before you start with the questions the only thing I'll say about it is this: all those rumors out there are bullshit.,,,GloryScene_01
Scene,SceneDialogue,Custom,,,I'm as real a girl as you'll ever meet. The only difference is I bet your assembly instruction were a hell of a lot more fun.,"Glory: Listen, you caught us at a shit time. We're still recovering from... something I can't get into.",Amused,GloryScene_01
Scene,SceneDialogue,Custom,,"Player Default: Yeah, whatever.","Listen, you caught us at a shit time. We're still recovering from... something I can't get into.",,Conspiratorial,GloryScene_01
Scene,SceneDialogue,Custom,,,"We're a man down, though, and if anything Deacon said about you is true I'd like you on our team.",Player Default: I'm interested.,Friendly,GloryScene_01
Scene,SceneDialogue,Custom,,Player Default: I'm interested.,Awesome. I think you'll be a good fit.,"Glory: I know Dez said we don't got room. But talk to Deacon. I'm sure he's got an angle, he always does.",Friendly,GloryScene_01
Scene,SceneDialogue,Custom,,Player Default: I'll take a pass.,"Suit yourself, human. But it's good to have friends out there. The Commonwealth is a hell of place to fly solo.","Glory: I know Dez said we don't got room. But talk to Deacon. I'm sure he's got an angle, he always does.",,GloryScene_01
Scene,SceneDialogue,Custom,,Player Default: I don't know if I even want to join the Railroad.,"I hear you. I can't believe so many of you guys risk your neck for us. But, hey, if you decide to join...","Glory: I know Dez said we don't got room. But talk to Deacon. I'm sure he's got an angle, he always does.",,GloryScene_01
