CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Austin: Really? Gee, thanks mister.",I was worried to death about you Austin.,,Relieved,MS19HealAustin
Scene,SceneDialogue,Custom,,,"What got into your fool head, going into a place like that?",Austin: Nothing exciting ever happens here.,scolding / Angry,MS19HealAustin
Scene,SceneDialogue,Custom,,DrForsythe: Let's hope this works.,I heard you had returned.,DrForsythe: It shouldn't be long.,thankful / Grateful,MS19HealAustin
Scene,SceneDialogue,Custom,,DrForsythe: I've had it for years and never really had a use for it.,She's not the only one. The whole vault is thankful.,,Grateful,MS19HealAustin
Scene,SceneDialogue,Custom,,,I'd like to give you a room here in the vault. A place you can call your own.,,Grateful,MS19HealAustin
Scene,SceneDialogue,Custom,,,"It's in the main hall, on the left as you get off the elevator.",,explaining / Grateful,MS19HealAustin
Scene,SceneDialogue,Custom,,,"Once again, thank you.",Austin: Can I go see gran? How about something to eat? I'm starving.,Grateful,MS19HealAustin
Scene,SceneDialogue,Custom,,DrForsythe: Our visitor from the Commonwealth saved your life.,Thank god.,"Austin: Really? Gee, thanks mister.",Grateful,MS19HealAustin
Scene,SceneDialogue,Custom,,NPCFGwenMcNamara: I hope you enjoy your accommodations.,I wanted to say thank you again for what you did for Austin.,,"Friendly, matter of fact / Friendly",Vault81Overseer_AustinAlive
Scene,SceneDialogue,Custom,,,"You've opened a lot of eyes around here, including my own.",,"Grateful, friendly / Friendly",Vault81Overseer_AustinAlive
Scene,SceneDialogue,Custom,,,I had no idea of the dangers Vault-Tec had hidden away so close to home.,,Slight regret / Concerned,Vault81Overseer_AustinAlive
Scene,SceneDialogue,Custom,,,I can't believe so many died just behind our walls.,"Overseer: You'll always be welcome here, and I hope you make a habit of visiting.","Slight shock, reflecting on what must have happened. / Neutral",Vault81Overseer_AustinAlive
Scene,SceneDialogue,Custom,,Player Default: No arguments here.,I hate to think of what they had planned for us.,,Worriedly thinking of what could have happened / Concerned,Vault81Overseer_AustinAlive
Scene,SceneDialogue,Custom,,,"But on the good side, you made a real impression on our 'anti-Commonwealth' people.",,"Friendly, positive / Friendly",Vault81Overseer_AustinAlive
