CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,The doctor said I could say goodbye. I've decided... to have the operation. I know I'll lose all my memories. I don't want you to be sad.,"Player Default: I... I have nightmares. And this world, the SRB, being hunted. I just can't handle it. Everyone says I'll be safer if I start a new life. I know I'll be happier.",,RRM02H222Holotape
Scene,SceneDialogue,Custom,,Player Default: The doctor said I could say goodbye. I've decided... to have the operation. I know I'll lose all my memories. I don't want you to be sad.,"I... I have nightmares. And this world, the SRB, being hunted. I just can't handle it. Everyone says I'll be safer if I start a new life. I know I'll be happier.","Player Default: My only regret is I'll forget... Old Man Stockton. High Rise. And you. Looking back, there's only fear. Worse than fear. But I will miss my new... friends.",,RRM02H222Holotape
Scene,SceneDialogue,Custom,,"Player Default: I... I have nightmares. And this world, the SRB, being hunted. I just can't handle it. Everyone says I'll be safer if I start a new life. I know I'll be happier.","My only regret is I'll forget... Old Man Stockton. High Rise. And you. Looking back, there's only fear. Worse than fear. But I will miss my new... friends.","Player Default: It's time, H2.",,RRM02H222Holotape
Scene,SceneDialogue,Custom,,"Player Default: It's time, H2.",I... uh... Thanks.,,,RRM02H222Holotape
Scene,SceneDialogue,Custom,,Player Default: What's life like for a synth in the Institute?,Synths are expected to behave... like machines. You await instructions. You execute instructions. You perform basic self-maintenance.,,"Never had to explain something so obvious, the list is rote in his head.",H222Scene
Scene,SceneDialogue,Custom,,,Anything else is considered defective. And then the SRB comes.,Player Default: What's life like for a synth in the Institute?,Chilling to think about / Afraid,H222Scene
Scene,SceneDialogue,Custom,,Player Default: What's life like for a synth in the Institute?,They're the ones that watch us. To make sure we're not defective. To make sure we don't run.,,Talking about the boogey-man here,H222Scene
Scene,SceneDialogue,Custom,,,Synths that get noticed just disappear. I don't know where they go.,Player Default: What's life like for a synth in the Institute?,"Talking about the boogey-man here, scared / Somber",H222Scene
Scene,SceneDialogue,Custom,,"Player Default: Goodbye, H2.",Thank you. You have no idea how nice it is to talk to someone.,,"Profoundly thankful, choked up",H222Scene
Scene,SceneDialogue,Custom,,Player Default: You worked with scientists?,Yes. At least that's what we called them. My only interaction with them was to receive orders on what to clean.,,Clarifying,H222Scene
Scene,SceneDialogue,Custom,,,I would acknowledge my task and occasionally ask for necessary clarification. But that's really it.,Player Default: What's life like for a synth in the Institute?,"A little bleak, sorry he's not helpful",H222Scene
