CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,Player Default: Let me help. I'll go face them. You don't have to die.,"Are you... you're serious? Just be warned, this ain't no walk in the park.","Harvey: Here. Take this password and find the office with the control terminal. Power up those rails, and you can see for yourself.",Surprised,DLC04MQ00_300_HarveyHeal
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: You tried to lure me into a death trap? You're a dead man.,"Oh come on, I was just doing my job!","Harvey: Here. Take this password and find the office with the control terminal. Power up those rails, and you can see for yourself.",About to start combat with player. / Afraid,DLC04MQ00_300_HarveyHeal
Scene,SceneDialogue,Custom,,Player Default: Sounds like typical Raiders to me.,You don't get it. These Raiders are different. They make Commonwealth Raiders look like a bunch of kids.,"Harvey: Here. Take this password and find the office with the control terminal. Power up those rails, and you can see for yourself.",Concerned,DLC04MQ00_300_HarveyHeal
Scene,SceneDialogue,Custom,,Player Default: Why do you help them?,"Besides not wanting to die, I'm not the only one they got stuck under their thumb. If I don't pull through, their lives are at stake just like mine.",,Worried,DLC04MQ00_300_HarveyHeal
Scene,SceneDialogue,Custom,,,I figure what's some stranger's life compared to those of people I know and care about...,Player Default: Let me help. I'll go face them. You don't have to die.,Somber,DLC04MQ00_300_HarveyHeal
Scene,SceneDialogue,Custom,,"Player Default: Are you... you're serious? Just be warned, this ain't no walk in the park.","Here. Take this password and find the office with the control terminal. Power up those rails, and you can see for yourself.",,Amused,DLC04MQ00_300_HarveyHeal
Scene,SceneDialogue,Custom,,,"Just don't say I didn't warn you. As for me, I'm getting as far away from this place as possible.",,Nervous,DLC04MQ00_300_HarveyHeal
Scene,SceneDialogue,Custom,,"Harvey: Here, take this. It's the password to the monorail control terminal.","The fastest way to get to Nuka-World is to take the Nuka-Express, but I shut it down so those bastards couldn't follow me.",Harvey: Find the control terminal in the office to power it back up... and hurry. God knows how much time they have left.,Explaining. / InPain,DLC04MQ00_300_HarveyIntro
Scene,SceneDialogue,Custom,,"Harvey: Here, take this. It's the password to the monorail control terminal.","The fastest way to get to Nuka-World is to take the Nuka-Express, but I shut it down to help sell my story.",,Nervous,DLC04MQ00_300_HarveyIntro
Scene,SceneDialogue,Custom,,,Makes it more believable if I say I'm trying to keep the Raiders at bay.,Harvey: Find the control terminal in the office to power it back up... and hurry. God knows how much time they have left.,Nervous,DLC04MQ00_300_HarveyIntro
Scene,SceneDialogue,Custom,,"Harvey: The fastest way to get to Nuka-World is to take the Nuka-Express, but I shut it down so those bastards couldn't follow me.",Find the control terminal in the office to power it back up... and hurry. God knows how much time they have left.,,Nervous,DLC04MQ00_300_HarveyIntro
