CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: I try to protect people, if that's what you mean.","Hey, I'm all for the noble road. You know, as long as I'm getting paid, and maybe if there's a beautiful brunette involved.","Hawthorne: Anyway, I'm just kicking back and sharing stories while I'm between things. I've been all over. Seen Vaults, prewar ruins, and plenty of monsters.",Friendly,HawthorneGreetScene
Scene,SceneDialogue,Custom,,Player Default: Wrong on both tries.,"Huh. I can usually spot a hired gun on the first look. Maybe you just give off an ""armed and dangerous"" vibe?","Hawthorne: Anyway, I'm just kicking back and sharing stories while I'm between things. I've been all over. Seen Vaults, prewar ruins, and plenty of monsters.","friendly, chuckling at the end / Puzzled",HawthorneGreetScene
Scene,SceneDialogue,Custom,,Player Default: Blood. Bullets. And Money. All the way.,"Right? Maybe not so much the blood part if you can help it, but I hear ya.","Hawthorne: Anyway, I'm just kicking back and sharing stories while I'm between things. I've been all over. Seen Vaults, prewar ruins, and plenty of monsters.","agreeing, friendly / Happy",HawthorneGreetScene
Scene,SceneDialogue,Custom,,Player Default: You first. What's your name?,"Hawthorne, and you are definitely from out of town. I know every settlement from both sides of the Charles River, and I've never seen you.","Hawthorne: Anyway, I'm just kicking back and sharing stories while I'm between things. I've been all over. Seen Vaults, prewar ruins, and plenty of monsters.",Friendly,HawthorneGreetScene
Scene,SceneDialogue,Custom,,"Player Default: Hey, I'm all for the noble road. You know, as long as I'm getting paid, and maybe if there's a beautiful brunette involved.","Anyway, I'm just kicking back and sharing stories while I'm between things. I've been all over. Seen Vaults, prewar ruins, and plenty of monsters.",Player Default: So you explore old ruins?,,HawthorneGreetScene
Scene,SceneDialogue,Custom,,Player Default: So you explore old ruins?,"Last place I was going to check out was Salem. Real old town far to the North. Never made it, though. Got a bad feeling about that area.",Player Default: So you explore old ruins?,,HawthorneGreetScene
Scene,SceneDialogue,Custom,,"Player Default: See ya around, Hawthorne.",Ya. Take it easy.,,,HawthorneGreetScene
Scene,SceneDialogue,Custom,,"Player Default: See ya around, Hawthorne.",Later.,,,HawthorneGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's hear your best monster story.,I'm from Diamond City. You wanna talk something really scary? It's the Institute and their synths.,,suddenly very serious / Concerned,HawthorneGreetScene
Scene,SceneDialogue,Custom,,,Don't go to University Point. Trust me. You don't wanna know what they're capable of.,Player Default: So you explore old ruins?,suddenly very serious / Concerned,HawthorneGreetScene
Scene,SceneDialogue,Custom,,Player Default: You've been to a Vault?,"Yeah. Ever heard of Vault 81? They're standoffish, but every once and awhile, they'll let new people in.",Player Default: So you explore old ruins?,,HawthorneGreetScene
Miscellaneous,Miscellaneous,Greeting,,,Hey. What's your story? Mercenary? Caravan guard?,"Player Default: I try to protect people, if that's what you mean.","drinking at your favorite bar, someone new walks up to you",HawthorneGreetScene
Miscellaneous,Miscellaneous,Greeting,,,So what's the story? Mercenary work or caravan guarding?,"Player Default: I try to protect people, if that's what you mean.","drinking at your favorite bar, someone new walks up to you",HawthorneGreetScene
Miscellaneous,Miscellaneous,Greeting,,,Come for more of my wisdom? Here's one. The fabled treasure at the top of the old high-rise? Never worth it.,Player Default: So you explore old ruins?,"sarcastic, witty",HawthorneGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"If you want to know what's out there, you can ask, or you can always experience the bone-shattering dread of the Commonwealth for yourself.",Player Default: So you explore old ruins?,"sarcastic, witty",HawthorneGreetScene
Miscellaneous,Miscellaneous,Greeting,,,Happy to share the benefit of my experience. As long as you don't mind me glossing over all the embarrassing parts.,Player Default: So you explore old ruins?,"sarcastic, witty",HawthorneGreetScene
Miscellaneous,Miscellaneous,Greeting,,,Back for more stories? I've been just about everywhere.,Player Default: So you explore old ruins?,,HawthorneGreetScene
Miscellaneous,Miscellaneous,Hello,,,Best part of Diamond City is honestly the lights. Can spot those bad boys for miles.,,general hellos to the player,
Miscellaneous,Miscellaneous,Hello,,,"Ever seen a Mirelurk? Think a crab, crossed with a tank, with a bad hangover.",,general hellos to the player,
Miscellaneous,Miscellaneous,Hello,,,"You run into Feral Ghouls, keep your distance. Mindless eating machines. They'll always come straight for ya.",,general hellos to the player,
Miscellaneous,Miscellaneous,Hello,,,A Deathclaw is where the real danger is. Don't try to outrun it. Just get something solid between you and it. Then... pray.,,general hellos to the player,
Scene,SceneDialogue,Custom,,"Vadim: So then I am crossing river, right? Wearing nothing but a smile, when out comes the most dangerous of all sea monsters. A Mirelurk...","A Mirelurk? Come on. That's like, two out of ten points of danger. Tops. Now if you wanna talk something really deadly...",Yefim: Vadim!,unimpressed / Puzzled,IntroSceneDiamondCityDugoutInnScene
