CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,SharedInfo,,"HenryCooke: That's right. Owner, bartender, sympathetic ear. I try to provide a little oasis from the hardships of life.","Name's Cooke, by the way. Henry Cooke. Let me know if I can get you anything.","HenryCooke: That's right. Owner, bartender, sympathetic ear. I try to provide a little oasis from the hardships of life.",friendly,CookeGreetScene
Scene,SceneDialogue,Custom,,"HenryCooke: That's right. Owner, bartender, sympathetic ear. I try to provide a little oasis from the hardships of life.",Let me know if I can get you a drink.,"HenryCooke: That's right. Owner, bartender, sympathetic ear. I try to provide a little oasis from the hardships of life.",,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Bottoms up...,,selling drinks,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Here's the menu...,,selling drinks,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Cheers...,,selling drinks,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Plenty on tap.,,selling drinks,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: Let's see what you've got.,Here's what we got.,,selling drinks,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Take as much time as you need.,,,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Not a problem.,,,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Later, then.",,,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,All right.,,,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,Okay. Let me know.,,,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: So is this your place?,"That's right. Owner, bartender, sympathetic ear. I try to provide a little oasis from the hardships of life.","HenryCooke: Name's Cooke, by the way. Henry Cooke. Let me know if I can get you anything.",,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"All right, then.",,,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,"Well, we're always open...",,,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Gotcha.,,,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Let me know if that changes.,,,CookeGreetScene
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Some other time.,,,CookeGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Sorry you had to see that. Things are usually a lot quieter around here. Perfect place to drink, if you're buying.",Player Default: Let's see what you've got.,Player just witnessed the Pembroke's arguing in Henry Cooke's bar / Apologetic,CookeGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Now, can I get you something to drink?",Player Default: Let's see what you've got.,"generic ""coming from another conversation and getting back to business"" line",CookeGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Anyway, I got a bar to run. Ordering?",Player Default: Let's see what you've got.,"generic ""coming from another conversation and getting back to business"" line",CookeGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"Now, you need to order anything?",Player Default: Let's see what you've got.,"generic ""coming from another conversation and getting back to business"" line",CookeGreetScene
Miscellaneous,Miscellaneous,Greeting,,,Got plenty of drinks on tap.,Player Default: Let's see what you've got.,smoothly,CookeGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"You here for a beer, or maybe something a little stronger?",Player Default: Let's see what you've got.,MARK FOR RE-RECORD.smoothly,CookeGreetScene
Miscellaneous,Miscellaneous,Greeting,,,You look like a man who could use another drink.,Player Default: Let's see what you've got.,smoothly,CookeGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"You look like you could use another drink, darling.",Player Default: Let's see what you've got.,smoothly,CookeGreetScene
Miscellaneous,Miscellaneous,Greeting,,,"I hope you're drinking, because if you're not, well, I really can't help you.",Player Default: Let's see what you've got.,smoothly,CookeGreetScene
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,You're...not saying anything...,,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,Had one too many?,,,
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,"Hey, don't keep me waiting now...",,,
Miscellaneous,Miscellaneous,SharedInfo,,,Anything else I can do for you?,,friendly,
Miscellaneous,Miscellaneous,SharedInfo,,,"Name's Cooke, by the way. Henry Cooke. You new in town, or just passing through?",,friendly,
Miscellaneous,Miscellaneous,SharedInfo,,,"Bottoms up, friend.",,,
Miscellaneous,Miscellaneous,SharedInfo,,,Enjoy.,,,
Miscellaneous,Miscellaneous,Hello,,,Hi.,,,
Miscellaneous,Miscellaneous,Hello,,,"Oh, hey.",,,
Miscellaneous,Miscellaneous,Hello,,,Good to see you.,,,
Scene,SceneDialogue,Custom,,"HenryCooke: Sorry, Trish.",Don't let her get away!,"HenryCooke: We couldn't let her get away. She would have told Marowski everything, count on it.",Angry,MS13CAmbushCookeKillTrish
Scene,SceneDialogue,Custom,,"HenryCooke: Sorry, Trish.","She'll rat us out to Marowski, no matter what she promised.","HenryCooke: We couldn't let her get away. She would have told Marowski everything, count on it.",Angry,MS13CAmbushCookeKillTrish
Scene,SceneDialogue,Custom,,"HenryCooke: Sorry, Trish.",You've got to stop her!,"HenryCooke: We couldn't let her get away. She would have told Marowski everything, count on it.",Angry,MS13CAmbushCookeKillTrish
Scene,SceneDialogue,Custom,,PaulPembroke: Just like that? You're leaving town and never coming back?,Yeah. You won't be able to blame me for all your problems any more.,,Somber,MS13DivideSpoilsCooke
Scene,SceneDialogue,Custom,,,"Trust me, Paul. This is all going to work out for the best.",PaulPembroke: We'll see. You better not be trying to screw me over again.,Confident,MS13CTravelChatterCookePaul
