CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"HighRise: Fixer, right?","And my man, Deacon. Still with the same old face?",,Banter with a good friend / Friendly,RRM01_0450_Highrise
Scene,SceneDialogue,Custom,,,"What, it's been three whole months. You're getting slow.","HighRise: Word is the rookie cleared out the Switchboard, while you sat on the sidelines. Glad you joined the team, by the way.",Banter with a good friend / Amused,RRM01_0450_Highrise
Scene,SceneDialogue,Custom,,NPCMLowRoadFranklin: Don't shoot.,"Fixer, right?","HighRise: Word is the rookie cleared out the Switchboard, while you sat on the sidelines. Glad you joined the team, by the way.",Confirming identity,RRM01_0450_Highrise
Scene,SceneDialogue,Custom,,NPCMLowRoadFranklin: Don't shoot.,"Professor, right?","HighRise: Word is the rookie cleared out the Switchboard, while you sat on the sidelines. Glad you joined the team, by the way.",Confirming identity,RRM01_0450_Highrise
Scene,SceneDialogue,Custom,,NPCMLowRoadFranklin: Don't shoot.,"Charmer, right?","HighRise: Word is the rookie cleared out the Switchboard, while you sat on the sidelines. Glad you joined the team, by the way.",,RRM01_0450_Highrise
Scene,SceneDialogue,Custom,,NPCMLowRoadFranklin: Don't shoot.,"Whisper, right?","HighRise: Word is the rookie cleared out the Switchboard, while you sat on the sidelines. Glad you joined the team, by the way.",,RRM01_0450_Highrise
Scene,SceneDialogue,Custom,,NPCMLowRoadFranklin: Don't shoot.,"Bullseye, right?","HighRise: Word is the rookie cleared out the Switchboard, while you sat on the sidelines. Glad you joined the team, by the way.",,RRM01_0450_Highrise
Scene,SceneDialogue,Custom,,NPCMLowRoadFranklin: Don't shoot.,"Wanderer, right?","HighRise: Word is the rookie cleared out the Switchboard, while you sat on the sidelines. Glad you joined the team, by the way.",,RRM01_0450_Highrise
Scene,SceneDialogue,Custom,,"HighRise: What, it's been three whole months. You're getting slow.","Word is the rookie cleared out the Switchboard, while you sat on the sidelines. Glad you joined the team, by the way.",Player Default: It's nice to meet you.,Impressed / Amused,RRM01_0450_Highrise
Scene,SceneDialogue,Custom,,"HighRise: What, it's been three whole months. You're getting slow.","I heard about you. Walked the Freedom Trail, cleared out Switchboard. Glad you joined the team.",Player Default: It's nice to meet you.,Impressed / Impressed,RRM01_0450_Highrise
Scene,SceneDialogue,Custom,,Player Default: It's nice to meet you.,Honor's all mine. Let's take a look at our friend.,HighRise: Hey you. You OK?,Honored / Friendly,RRM01_0450_Highrise
Scene,SceneDialogue,Custom,,"Player Default: Moonlight's burning, we have to go.",I need a moment.,HighRise: Hey you. You OK?,Distracted,RRM01_0450_Highrise
Scene,SceneDialogue,Custom,,"Player Default: ""Do you have a geiger counter?""","Right, you are. ""Mine is in the shop."" All good?",,"Professional, ""Mine is in the shop"" is a secret code phrase.",RRM01_0450_Highrise
Scene,SceneDialogue,Custom,,,"Now, let's take a look at our friend.",HighRise: Hey you. You OK?,Distracted,RRM01_0450_Highrise
Scene,SceneDialogue,Custom,,Player Default: You here to pick up a package?,"Yeah, I'm here for the package. Speaking of which.",HighRise: Hey you. You OK?,A little distracted,RRM01_0450_Highrise
Scene,SceneDialogue,Custom,,Player Default: Honor's all mine. Let's take a look at our friend.,Hey you. You OK?,H222: A little rattled. But I've never been better. The other man... He said I shouldn't talk too much.,"Said to H2, who is probably a little panicky - reassuring / Concerned",RRM01_0450_Highrise
