CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,NPCMHonestDan: I'm going to find those survivors. Or die trying.,"Hell of a job, right?","Player Default: It seems like you actually care about this job, though.","It's his job to put his life on the line, darkly amused at this",MS17_DanFollowing
Scene,SceneDialogue,Custom,,"Player Default: It seems like you actually care about this job, though.",My pockets would be a lot heavier if I didn't have any sentimentality.,,Wry,MS17_DanFollowing
Scene,SceneDialogue,Custom,,,"You see enough shit, though, and either you want to muck it out or make it worse.","HonestDan: Well, the survivors won't rescue themselves.",Has scars,MS17_DanFollowing
Scene,SceneDialogue,Custom,,Player Default: Takes a special type of person to be paid to die.,Tell me about it.,"HonestDan: Well, the survivors won't rescue themselves.",,MS17_DanFollowing
Scene,SceneDialogue,Custom,,Player Default: Here's hoping you got dental.,You are all manner of strange.,"HonestDan: Well, the survivors won't rescue themselves.",Chuckle,MS17_DanFollowing
Scene,SceneDialogue,Custom,,"Player Default: What are synths, anyway?",*grunt* You must be new around here. Synths are synthetic people made by the Institute.,,,MS17_DanFollowing
Scene,SceneDialogue,Custom,,,Real advanced machines. Might as well be human because no one can tell the difference between them and us.,,,MS17_DanFollowing
Scene,SceneDialogue,Custom,,,"Everyone in the Commonwealth is afraid of Synths, and the Institute.","Player Default: It seems like you actually care about this job, though.",,MS17_DanFollowing
Miscellaneous,Miscellaneous,SharedInfo,,"Player Default: What are synths, anyway?","Ask three different people, you'll get three different answers to that. Wildly different.",,,MS17_DanFollowing
Miscellaneous,Miscellaneous,SharedInfo,,,Most people believe the Institute's behind every manner of ill in the Commonwealth.,,,MS17_DanFollowing
Miscellaneous,Miscellaneous,SharedInfo,,,"Sister disappears or lose your Brahmin, the Institute. Settlement murdered in the middle of the night, the Institute.",,,MS17_DanFollowing
Miscellaneous,Miscellaneous,SharedInfo,,,But I've never met a single person that has proof about any of that.,,,MS17_DanFollowing
Miscellaneous,Miscellaneous,SharedInfo,,,But there's no denying synths are real enough. So the Institute's infiltrating us and I doubt they're doing that for our own good.,"HonestDan: Well, the survivors won't rescue themselves.",,MS17_DanFollowing
Scene,SceneDialogue,Custom,,"Player Default: You see enough shit, though, and either you want to muck it out or make it worse.","Well, the survivors won't rescue themselves.",,Bracing himself for a fight,MS17_DanFollowing
Scene,SceneDialogue,Custom,,,They knew we were coming. Must've tripped some sort of sensor. I bet you 50 caps there's a lot more where they came from.,,"Grim, annoyed (with himself, mainly)",MS17_330_DanComment1
Scene,SceneDialogue,Custom,,,"No sign of the Caravan yet. They got to be holding them someplace. What the hell are they doing here, any way?",,"Perplexed, searching",MS17_330_DanComment2
Scene,SceneDialogue,Custom,,,Looks like they repurposed some old world sewers. I don't like the sight lines here. Plenty of opportunities for an ambush.,,"Almost muttering to himself, on high alert",MS17_330_DanComment3
Scene,SceneDialogue,Custom,,,Some sort of bridge. Must be another way around.,,Considering,MS17_330_DanComment4
Scene,SceneDialogue,Custom,,,So they gather people up. Torture them. And all for the SAFE Test? The sick bastards need to be put down.,HonestDan: Cell's empty. Dammit.,Angry,MS17_330_DanComment5
Scene,SceneDialogue,Custom,,,Meeting room. Great. They got to have more holding cells somewhere. I feel it in my gut. Stockton's people were here.,,"On a mission, thinking on his feet",MS17_330_DanComment6
Scene,SceneDialogue,Custom,,,Got a clearing up ahead. I got your 6. Who knows where more of the bastards will pop up.,,"Grim, expecting a fire fight",MS17_330_DanComment7
Scene,SceneDialogue,Custom,,,Turret control terminal over there. I don't suppose you're good with those things?,,"Pointing something out, hoping the player is tech savvy",MS17_330_DanComment8
Scene,SceneDialogue,Custom,,HonestDan: So they gather people up. Torture them. And all for the SAFE Test? The sick bastards need to be put down.,Cell's empty. Dammit.,,"Sighing, then angry",MS17_330_DanComment5
Scene,SceneDialogue,Custom,,DoctorChambers: Let us continue our work and we will pay you the bounty you would be giving up. But we keep Stockton's synth.,Like hell I will. I made a deal with Old Man Stockton. And I plan on making good.,"DoctorChambers: Does Mr. Dan speak for you, as well? Or are you willing to listen to reason?","Firm, angry - he's totally down with shooting her / Irritated",MS17_400b_ChambersPeacefulEnding
Scene,SceneDialogue,Custom,,Player Default: I found out about a Compound. The caravan survivors may be there.,I got one thing. They deny up and down that Stockton's men ever came here. But they most certainly did.,,"Emphasize ""one thing"" - he's caught them in a lie, now he's being persistent",MS17_175b_DanInvestigate
Scene,SceneDialogue,Custom,,,There's no reason to bald face lie to me if they're not hiding something. I'll keep poking around.,Player Default: I found out about a Compound. The caravan survivors may be there.,Stubborn,MS17_175b_DanInvestigate
Scene,SceneDialogue,Custom,,Player Default: I found out about a Compound. The caravan survivors may be there.,No. I still have no proof.,Player Default: I found out about a Compound. The caravan survivors may be there.,Determined,MS17_175b_DanInvestigate
Miscellaneous,Miscellaneous,SharedInfo,,"Player Default: So, what's the Institute?",You must be new around here. Synths are synthetic people made by the Institute.,,*grunt*  before saying the line,MS17_175b_DanInvestigate
Miscellaneous,Miscellaneous,SharedInfo,,,Real advanced machines. Might as well be human because no one can tell the difference between them and us.,,,MS17_175b_DanInvestigate
Miscellaneous,Miscellaneous,SharedInfo,,,"Everyone in the Commonwealth is afraid of synths, and the Institute... but come to mention it...",,,MS17_175b_DanInvestigate
Miscellaneous,Miscellaneous,SharedInfo,,,"I've been here a long while, and nobody's even breathed a word about them. That is odd.",Player Default: I found out about a Compound. The caravan survivors may be there.,,MS17_175b_DanInvestigate
Scene,SceneDialogue,Custom,,"Player Default: So, what's the Institute?","They keep the barracks locked up tight. Find a way in and I'm sure you'll turn up something. But leads could be anywhere, really.",Player Default: I found out about a Compound. The caravan survivors may be there.,"Besides that advice, he's clueless",MS17_175b_DanInvestigate
Scene,SceneDialogue,Custom,,Player Default: I found a map that shows some sort of Compound nearby.,No. If Covenant doesn't pan out then I don't know where to start. I'll cross that road if I have to.,Player Default: I found out about a Compound. The caravan survivors may be there.,Grim,MS17_175b_DanInvestigate
Scene,SceneDialogue,Custom,,Player Default: I found out about a Compound. The caravan survivors may be there.,"Great, now we just need to find it. If anyone would know where this Compound is it'd be Jacob. He runs this town.",,Enthusiastic - then thinking aloud,MS17_175b_DanInvestigate
Scene,SceneDialogue,Custom,,,But he doesn't have the best memory. I saw him once reading a slip of paper while entering his password. Maybe you can find that?,Player Default: I found out about a Compound. The caravan survivors may be there.,"Thinking aloud, then offering help",MS17_175b_DanInvestigate
Scene,SceneDialogue,Custom,,Player Default: I found out about a Compound. The caravan survivors may be there.,We need to find out where the Compound is. My best guess is it's on Jacob's terminal.,Player Default: I found out about a Compound. The caravan survivors may be there.,Insistent,MS17_175b_DanInvestigate
Scene,SceneDialogue,Custom,,"Player Default: So, what's the Institute?",Hmm. Now that you mention it... people are always gabbing about synths. Or the Institute.,,"Thinking aloud, considering",MS17_175b_DanInvestigate
Scene,SceneDialogue,Custom,,,"But here... not one word. But, hell, this whole place is a bucket full of strange.",Player Default: I found out about a Compound. The caravan survivors may be there.,Second guessing himself,MS17_175b_DanInvestigate
Scene,SceneDialogue,Custom,,Player Default: I found a map that shows some sort of Compound nearby.,Huh. Not much to go on. I'll see if I can figure out anything about this... Compound.,Player Default: I found out about a Compound. The caravan survivors may be there.,"Curious, thinks this is important",MS17_175b_DanInvestigate
Scene,SceneDialogue,Custom,,,"The job was to rescue her, asshole.",,"Raised volume - Filled with rage, said before attacking the player",MS17_DanReactsToAttackingAmelia
Scene,SceneDialogue,Custom,,,"A caravan came a few days back. Worked for Old Man Stockton. You saw them, right?",DanIntroPartner: I already told you: I don't recollect. We get a lot of traffic.,Pit bull detective,MS17_050_IntroDan
Scene,SceneDialogue,Custom,,DanIntroPartner: I already told you: I don't recollect. We get a lot of traffic.,"This isn't Diamond City. A caravan of five comes through, you'd remember.","DanIntroPartner: Then they must not have come through. Say, wouldn't you rather have a lemonade?",Pit bull questioning,MS17_050_IntroDan
Scene,SceneDialogue,Custom,,"DanIntroPartner: Then they must not have come through. Say, wouldn't you rather have a lemonade?",My job here isn't drinking lemonade. I know for a fact they came here. Why the brush off?,"DanIntroPartner: I want to help, mister, but I don't really recollect.",Irritated,MS17_050_IntroDan
Scene,SceneDialogue,Custom,,"DanIntroPartner: I want to help, mister, but I don't really recollect.","Mark my words, I'll get to the bottom of this.",,Annoyed,MS17_050_IntroDan
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I'll take the deal.,I wish you hadn't said that.,DoctorChambers: Excellent. You'll find that Covenant has more to offer since we've come to this understanding. Goodbye.,Grim - said before attacking,MS17_400b_ChambersPeacefulEnding
Scene,SceneDialogue,Custom,,GuardManny: Blythe. Hey Blythe!,Torture? They're sick. Just give me the signal.,"Blythe: Yes. What is it, Manny?","Loud stage whisper to the player - Shocked, spoiling to kick their ass",MS17_315_MannyEscort
Scene,SceneDialogue,Custom,,"DoctorChambers: I will make you a deal. I pay you handsomely. And you let me dispose of our last remaining synth test subject, Amelia Stockton. Then I can continue my work.",I've had my fill of crazy on this contract. No deal.,"DoctorChambers: Fortunate for me, I wasn't talking to you.",Angry at Chambers / Irritated,MS17_400_Chambers
Scene,SceneDialogue,Custom,,"DoctorChambers: Fortunate for me, I wasn't talking to you.","You side with this nut job and we're going to have a serious, deadly, problem.","Player Default: Continue your work, then.",Doesn't think the player will do it - but steel in tone / Angry,MS17_400_Chambers
Scene,SceneDialogue,Custom,,"Player Default: Are you threatening me, Dan?","I have myself a code. That's not always good on my wallet, but it helps me sleep at night.",,,MS17_400_Chambers
Scene,SceneDialogue,Custom,,,I took this contract and I will honor it. Even if I have to kill you to do it.,"Player Default: Continue your work, then.",,MS17_400_Chambers
Scene,SceneDialogue,Custom,,Player Default: They took the survivors to a Compound.,Then we're in business. I'll meet you there and we'll rescue ourselves some caravan hands.,Player Default: That's fair. They're at some compound nearby.,"Pleased, eager / Happy",MS17_300_Dan_Follows
Scene,SceneDialogue,Custom,,Player Default: No. Still looking.,Then I guess we both keep digging.,Player Default: That's fair. They're at some compound nearby.,Annoyed at himself,MS17_300_Dan_Follows
Scene,SceneDialogue,Custom,,Player Default: Maybe I found out something.,You bargaining with me? We work as equal partners or not at all.,Player Default: That's fair. They're at some compound nearby.,"Firm, a little annoyed (he's unsure what the player's up to) / Irritated",MS17_300_Dan_Follows
Scene,SceneDialogue,Custom,,Player Default: People here are nervous about synths. What's a synth?,Not a lot. Everyone's got their eye on me. But I'll keep trying.,Player Default: They took the survivors to a Compound.,Annoyed with himself,MS17_300_Dan_Follows
Scene,SceneDialogue,Custom,,Player Default: That's fair. They're at some compound nearby.,That's what I like to hear.,HonestDan: We're in business. I'll meet you there and we'll rescue ourselves some caravan hands.,Appreciative,MS17_300_Dan_Follows
Scene,SceneDialogue,Custom,,Player Default: No deal.,"We'll see who finds those caravan hands first, then.",HonestDan: We're in business. I'll meet you there and we'll rescue ourselves some caravan hands.,"Annoyed, competitive / Irritated",MS17_300_Dan_Follows
Scene,SceneDialogue,Custom,,Player Default: You won't sweeten the pot?,Not interested. If you won't honor our deal then I have no use for you.,Player Default: That's fair. They're at some compound nearby.,"Firm, annoyed / Irritated",MS17_300_Dan_Follows
Scene,SceneDialogue,Custom,,HonestDan: That's what I like to hear.,We're in business. I'll meet you there and we'll rescue ourselves some caravan hands.,,Eager,MS17_300_Dan_Follows
Scene,SceneDialogue,Custom,,"Player Default: Sure, I'm from Covenant.","You? You're from Covenant? Yeah, and I'm the mayor of Diamond City.",HonestDan: You know anything about Stockton's caravan?,"Annoyed, sarcastic / Irritated",MS17_175a_Dan_Intro
Scene,SceneDialogue,Custom,,"Player Default: No, I'm just passing through.",My advice is pass through sooner than later.,HonestDan: You know anything about Stockton's caravan?,Irritated at the town / Irritated,MS17_175a_Dan_Intro
Scene,SceneDialogue,Custom,,Player Default: What's it to you?,Just doing my job.,HonestDan: You know anything about Stockton's caravan?,A little defensive,MS17_175a_Dan_Intro
Scene,SceneDialogue,Custom,,Player Default: You have a problem with the people here?,All the fake smiles and fancy talking puts me on edge. The sooner I'm out of here the better.,HonestDan: You know anything about Stockton's caravan?,Irritated / Irritated,MS17_175a_Dan_Intro
Scene,SceneDialogue,Custom,,"Player Default: You? You're from Covenant? Yeah, and I'm the mayor of Diamond City.",You know anything about Stockton's caravan?,"Player Default: Sure, I know about... Who was that again?",Said carefully - monitoring the PC's response super carefully,MS17_175a_Dan_Intro
