CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,Idle,,,I sure hope Austin pulls through.,,InPain,
Scene,SceneDialogue,Custom,,Holt: Alexis sharpened your razor. You can pick it up whenever.,Thanks. I'll swing by later.,,"Friendly, grateful / Friendly",Conv_Horatio_Holt_01
Scene,SceneDialogue,Custom,,,This chair is stuck too. Can you take a look at it?,Holt: Me? I'll send Alexis over to fix it. Might not be until tomorrow though.,Asking a question / Question,Conv_Horatio_Holt_01
Scene,SceneDialogue,Custom,,"Holt: How's the arthritis, Horatio?",Same as always. Stiff in the morning and achy at night.,Holt: Alexis sharpened your razor. You can pick it up whenever.,Friendly / Friendly,Conv_Horatio_Holt_01
Scene,SceneDialogue,Custom,,,You need me to cut that mop you call hair?,Holt: Hey! What's wrong with my hair?,trying to convince him to get his hair cut / Surprised,Conv_Horatio_Holt_02
Scene,SceneDialogue,Custom,,Holt: Hey! What's wrong with my hair?,What isn't wrong?,Holt: You're the one that trimmed it. Just last week too.,Amused at Holt's bad hair. / Amused,Conv_Horatio_Holt_02
Scene,SceneDialogue,Custom,,,"Although, you'll want to remove the Power Armor first.",,Friendly. He's just told a player wearing power armor to have a seat. Giving them a kind reminder that they need to remove it. / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,"Oh, but you may want to park that Power Armor outside first.",,Friendly. He's just told a player wearing power armor to have a seat. Giving them a kind reminder that they need to remove it. / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,"Oh, and if you could remove the Power Armor first? I'm afraid my chair wouldn't be up to the task.",,Friendly. He's just told a player wearing power armor to have a seat. Giving them a kind reminder that they need to remove it. / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,"Though, I must admit, my chair won't hold you in that armor. If you could remove it, we can begin.",,Friendly. He's just told a player wearing power armor to have a seat. Giving them a kind reminder that they need to remove it. / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,"Ah, and if you don't mind, please step out of your Power Armor first.",,Friendly. He's just told a player wearing power armor to have a seat. Giving them a kind reminder that they need to remove it. / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,HoratiosHairstylesCitizen: I didn't think I'd ever make it in with the hours I've been working.,"Ah, but you did, and now you look completely refreshed.",,Happy a customer likes their haircut.. First of a series of 3 lines. / Happy,Vault81HoratiosHairstylesIntroScene
Scene,SceneDialogue,Custom,,,Just remember: a couple months and you come back and see me again.,,"Friendly, advising a customer. 2nd of a series of 3 lines. Previous line: Ah, but you did, and now you look completely refreshed. / Friendly",Vault81HoratiosHairstylesIntroScene
Scene,SceneDialogue,Custom,,,"Now, off with you. Get some rest.","HoratiosHairstylesCitizen: No promises there, but I'll try.",Friendly dismissing. Last of a series of 3 lines. Previous line: Just remember: a couple months and you come back and see me again. / Friendly,Vault81HoratiosHairstylesIntroScene
Scene,SceneDialogue,Custom,,,Alright. Let's see what the Commonwealth has to work with.,,"Happy. 2 part line. Followed up by, ""Just have a seat."" / Friendly",Vault81HoratioSell
Scene,SceneDialogue,Custom,,,Just have a seat.,"Horatio: Although, you'll want to remove the Power Armor first.","Friendly and matter of fact. 2 part line. First part before this is, ""Alright. Let's see what the Commonwealth has to work with."" / Friendly",Vault81HoratioSell
Scene,SceneDialogue,Custom,,,Have a seat then. You've made the right decision.,"Horatio: Although, you'll want to remove the Power Armor first.",Happy to cut the player's hair. / Happy,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,"Just sit down, relax, and let Horatio do the rest.","Horatio: Although, you'll want to remove the Power Armor first.",Happy to cut the player's hair. / Happy,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,"Good. Have a seat, and I'll get started.","Horatio: Although, you'll want to remove the Power Armor first.",Happy to cut the player's hair. / Happy,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,"You won't regret it. Take a seat, and let's see what we're dealing with.","Horatio: Although, you'll want to remove the Power Armor first.",Happy to cut the player's hair. / Happy,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,"Well, should you manage to find the funds, come find me. You won't regret it.","Horatio: Although, you'll want to remove the Power Armor first.",Encouraging / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,That's all right. Just be sure to come back later.,"Horatio: Although, you'll want to remove the Power Armor first.",Encouraging / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,"That's too bad. Should you come across more caps, be sure to come see me.","Horatio: Although, you'll want to remove the Power Armor first.",Encouraging / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,"Well, should you find yourself with a few extra later on, be sure to come and visit.","Horatio: Although, you'll want to remove the Power Armor first.",Encouraging / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,"I'm not sure how easily caps are to come by in the Commonwealth, but just remember, I'm always here.","Horatio: Although, you'll want to remove the Power Armor first.",Encouraging / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Really? Sorry to hear that.,"Horatio: Although, you'll want to remove the Power Armor first.",mild dismay / Surprised,Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: Not interested.,That's too bad. A new look could really suit you.,"Horatio: Although, you'll want to remove the Power Armor first.",mild dismay / Surprised,Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Another time perhaps.,"Horatio: Although, you'll want to remove the Power Armor first.",mild dismay / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: Not interested.,All right then. But come back if you change your mind.,"Horatio: Although, you'll want to remove the Power Armor first.",mild dismay / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: Not interested.,Have it your way.,"Horatio: Although, you'll want to remove the Power Armor first.",mild dismay / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,I'll be here.,"Horatio: Although, you'll want to remove the Power Armor first.","Friendly, reminding. / Friendly",Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Take some time, and think it over.","Horatio: Although, you'll want to remove the Power Armor first.","Friendly, reminding. / Friendly",Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,That's all right. Don't want to rush into anything.,"Horatio: Although, you'll want to remove the Power Armor first.",Friendly. Understanding that haircuts can be big decisions! / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Of course, you need some time to think about what you want.","Horatio: Although, you'll want to remove the Power Armor first.",Friendly. Understanding that haircuts can be big decisions! / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: I'll think about it.,"Hopefully, I'll see you back again soon.","Horatio: Although, you'll want to remove the Power Armor first.",Friendly / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: The Overseer and Forsythe? What do they want?,Austin's real sick. They think you'll be able to help out with a cure.,,"Concerned about Austin and gossiping with the player. 2 part line. Follow up line is: And I think, if you're going to do something, ..."" / Concerned",Vault81HoratioSell
Scene,SceneDialogue,Custom,,,"And I think, if you're going to do something, do it in style. So, how bout that trim?","Horatio: Although, you'll want to remove the Power Armor first.","Gossiping, persuasive. 2nd part of a 2 part line. First line is ""Austin's real sick. They think you'll be able to help out with a cure."" / Friendly",Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: The Overseer and Forsythe? What do they want?,"Quincy, born and raised. My mother, may she rest in peace, she was a doctor.",,Making friendly conversation. First of a three part response. / Friendly,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,Imagine her surprise when she learned I'd rather cut hair than stitch people up.,,"Making conversation. 2nd of a 3 part response. Previous line is: Quincy, born and raised. My mother, may she rest in peace, she was a doctor.  / Friendly",Vault81HoratioSell
Scene,SceneDialogue,Custom,,,"But enough about me, how about that hair of yours?",,"Changing the subject. 3rd of a 3 part response. Previous line is, ""Imagine her surprise when she learned I'd rather cut hair than stitch people up."" / Friendly",Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: The Overseer and Forsythe? What do they want?,"Sure did. Looks like I was one of the lucky ones too. Last I heard, Gunners had taken her over.",,Kinda sad about his old town's situation. / Neutral,Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: The Overseer and Forsythe? What do they want?,They say Holt is running around on his wife.,,disapproving. First of a series of 3 lines. / Disgust,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,Apparently he and Tina DeLuca are secretly getting together.,,"tsk,tsk. 2nd of a series of 3 lines. First line is: They say Holt is running around on his wife. / Disgust",Vault81HoratioSell
Scene,SceneDialogue,Custom,,,But nevermind about them. Your hair is a disaster. You have to let me fix it.,,"Friendly. Last of a series of 3 lines. Previous line is, "" Apparently he and Tina DeLuca are secretly getting together."" / Disgust",Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: The Overseer and Forsythe? What do they want?,Did you know that Bobby DeLuca was a Jet junkie?,,Gossiping. First of a series of 3 lines. / Question,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,He needs to quit before someone gets hurt. Himself included.,,"Gossiping. 2nd of a series of 3 lines. First line is, ""Did you know that Bobby DeLuca was a Jet junkie?"" / Conspiratorial",Vault81HoratioSell
Scene,SceneDialogue,Custom,,,"Working in maintenance, high all the time. It's a good thing Old Rusty does most of the work.",,Gossiping. Last of a series of 3 lines. Previous line is: He needs to quit before someone gets hurt. Himself included. / Conspiratorial,Vault81HoratioSell
Scene,SceneDialogue,Custom,,Player Default: The Overseer and Forsythe? What do they want?,"I heard Erin's cat, Ashes, got out of the Vault. She's pretty upset.",,Gossiping. First of a series of 2 lines. / Neutral,Vault81HoratioSell
Scene,SceneDialogue,Custom,,,I can't imagine anyone would want to set foot outside to get him back.,,"Gossiping. Last of a series of 2 lines. Previous line is: I heard Erin's cat, Ashes, got out of the Vault. She's pretty upset. / Neutral",Vault81HoratioSell
