CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,"Well, well. Mister Valentine. I thought you had forgotten about little ole' me.","NickValentine: May have walked out of the Den, Irma, but I'd never walk out on you.",Flirting,MQ202_001_NickIrmaScene
Scene,SceneDialogue,Custom,,"NickValentine: May have walked out of the Den, Irma, but I'd never walk out on you.","Hmph. Amari's downstairs, you big flirt.",,Flirting,MQ202_001_NickIrmaScene
Miscellaneous,Miscellaneous,Greeting,,,Here for Amari? She's downstairs.,,,
Miscellaneous,Miscellaneous,Greeting,,,"Whatever you and Nick are up to, I don't need to know. Just don't let the big, metal softy hurt himself, all right?",,"worried about Nick, you were close once / Concerned",
Miscellaneous,Miscellaneous,Greeting,,,Don't let Nick spend too much time with Amari down in that lab of hers. I'll start to get jealous.,,"joking, you and Nick were close once",
Scene,SceneDialogue,Custom,,Player Default: Calm yourself. The Shroud is here to help.,Please... Stop. That's what got Kent into trouble in the first place.,,"Rattled, irritated / Afraid",MS04_1000_IrmaKentsGone
Scene,SceneDialogue,Custom,,,A dozen raiders barged in and snatched him.,Irma: When they took him they... they left you a message. Just listen to Kent's radio station. It keeps playing it over and over again.,Scared / Afraid,MS04_1000_IrmaKentsGone
Scene,SceneDialogue,Custom,,Player Default: Calm yourself. The Shroud is here to help.,It was terrible. A dozen raiders... They just charged in and grabbed Kent. Took him away.,Irma: When they took him they... they left you a message. Just listen to Kent's radio station. It keeps playing it over and over again.,"Calming down a little, still rattled / Nervous",MS04_1000_IrmaKentsGone
Scene,SceneDialogue,Custom,,Player Default: Take a deep breath and tell me what's happened.,"I'm sorry. I tried to stop them. One angry Raider is easy to distract, but a dozen of 'em...",Irma: When they took him they... they left you a message. Just listen to Kent's radio station. It keeps playing it over and over again.,"Recovers a bit from hysteria, tries to tell the story coherently / Nervous",MS04_1000_IrmaKentsGone
Scene,SceneDialogue,Custom,,Player Default: I need to know what happened.,"A dozen of 'em. Armed to the teeth. Just rushed in, grabbed Kent, and then they were gone...",Irma: When they took him they... they left you a message. Just listen to Kent's radio station. It keeps playing it over and over again.,"Recovers a bit from hysteria, tries to tell the story coherently / Afraid",MS04_1000_IrmaKentsGone
