CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: Sorry to bother you, then.",Mm hm. Goodbye.,"Player Default: I'll let you get back to work, then.",,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,"Player Default: If you're busy, that's one thing, but I don't care for your tone.",My tone?,,,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,,"There's no need to take offense. As you can clearly see, I'm deeply involved in some rather complicated mental equations.",,,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,,"Now, how about I get back to those and you get back to whatever it is you're doing.","Player Default: I'll let you get back to work, then.",,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: Someone's a little full of himself.,Hardly. There is no place for ego in science.,,,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,,"I am simply trying to tell you, in as polite as manner as possible, that I am busy.",,,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,,"Now, goodbye.","Player Default: I'll let you get back to work, then.",,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: Working on something important?,*Sigh* All of my work is important.,,,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,,"Now, if you're quite finished, I'd very much like to get back to these mental equations.",,,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,,They're difficult enough without the distractions.,"Player Default: I'll let you get back to work, then.",,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,"Player Default: I'll let you get back to work, then.",Good.,,,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: Those mental equations will get a lot tougher after I sock you in the jaw.,"Er, what? Now just a moment. There's no need to get angry.",,,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,,"If an apology will suffice to stem your anger, then I'll offer it.",,,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,,So nice talking to you. Goodbye!,,,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: What a charmer.,"If that was an attempt at humor, I'm afraid it's lost on me. I'm much too preoccupied with my equations.",,,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,,"And now, if we're quite finished here, I'll return to them.",,,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,Player Default: Equations for what?,"*Sigh* Honestly, you wouldn't understand them.",,,DialogueInstituteIsaacFirstGreeting
Scene,SceneDialogue,Custom,,,"Now I'm afraid I must end this little chat, although it's been so very diverting.",,,DialogueInstituteIsaacFirstGreeting
Miscellaneous,Miscellaneous,WaitingForPlayerInput,,,Well?,,Awaiting an answer. Wondering why the player has stopped talking.,
Miscellaneous,Miscellaneous,Greeting,,,"Yes, yes, I'm sure that whatever you have to say is very interesting, but now simply isn't a good time.","Player Default: Sorry to bother you, then.","Dismissive, condescending",DialogueInstituteIsaacFirstGreeting
Miscellaneous,Miscellaneous,Hello,,,Months of my life's work wasted because you couldn't take your job seriously.,,"Accusing, angry / Angry",
Miscellaneous,Miscellaneous,Hello,,,"You're not here to sabotage more of our work, I hope?",,"Sarcastic, angry / Stern",
Miscellaneous,Miscellaneous,Hello,,,I'm still angry about Warwick Homestead. I see no point in hiding it.,,"Stern, lecturing / Stern",
Miscellaneous,Miscellaneous,Hello,,,"I'm sorry, but I'm too preoccupied for chit-chat.",,"Annoyed, dismissive",
Miscellaneous,Miscellaneous,Hello,,,Director Holdren seems very taken with you.,,"Petty, envious",
Miscellaneous,Miscellaneous,Hello,,,Please resist any urge you might feel to eat the specimens in the hydroponic garden.,,"Nagging, almost scolding",
Miscellaneous,Miscellaneous,Hello,,,Most men lack the patience to observe and document plant growth.,,"Snobbish, arrogant",
Scene,SceneDialogue,Custom,,PlayerVoiceFemale01: I delivered the seeds.,"Good, good. I trust everything went smoothly?","Player Default: Yeah, pretty much.",Confident / Question,InstM01IsaacSceneComplete
