CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Miscellaneous,Miscellaneous,SharedInfo,,"Edward: Hey, Jack, got a minute?","Um. Yes, I suppose so. What is it?",Edward: Apparently Emogene's run off again. Mrs. Cabot has been asking me about her.,Question,CabotHouseConv01Scene
Miscellaneous,Miscellaneous,SharedInfo,,"Edward: Hey, Jack, got a minute?",It can't wait? Fine. Let's hear it.,Edward: Apparently Emogene's run off again. Mrs. Cabot has been asking me about her.,Question,CabotHouseConv01Scene
Miscellaneous,Miscellaneous,SharedInfo,,"Edward: Hey, Jack, got a minute?",I'm sure it must be important for you to interrupt me. Go ahead.,Edward: Apparently Emogene's run off again. Mrs. Cabot has been asking me about her.,Irritated,CabotHouseConv01Scene
Miscellaneous,Miscellaneous,SharedInfo,,"Edward: Hey, Jack, got a minute?","Now? All right, I assume it must be important. Let's hear it.",Edward: Apparently Emogene's run off again. Mrs. Cabot has been asking me about her.,Irritated,CabotHouseConv01Scene
Scene,SceneDialogue,Custom,,Edward: Apparently Emogene's run off again. Mrs. Cabot has been asking me about her.,I know. Mother's been starting to pester me as well.,,Irritated,CabotHouseConv01Scene
Scene,SceneDialogue,Custom,,,But I really don't think we need to worry about her yet. She'll come home when she gets tired of whatever new boyfriend she's found herself.,Edward: Your call. I just wanted to keep you in the loop.,Disgust,CabotHouseConv01Scene
Scene,SceneDialogue,Custom,,Edward: Your call. I just wanted to keep you in the loop.,"Yes, of course.",Jack: Now I really do need to get back to work.,Irritated,CabotHouseConv01Scene
Miscellaneous,Miscellaneous,SharedInfo,,"Jack: Yes, of course.",Now I really do need to get back to work.,,Irritated,CabotHouseConv01Scene
Miscellaneous,Miscellaneous,SharedInfo,,"Jack: Yes, of course.","Now if you don't mind, I'd like to enjoy my dinner in peace.",,Irritated,CabotHouseConv01Scene
Miscellaneous,Miscellaneous,SharedInfo,,"Jack: Yes, of course.","If that's all, I'd like to eat in peace for a few minutes.",,Irritated,CabotHouseConv01Scene
Miscellaneous,Miscellaneous,SharedInfo,,Jack: Good. The old utility elevator is still working.,This will take us to the basement.,,,MS09Mission3ParsonsInterior03
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: You come into Boston and knock on random doors... I think you actually are looking for trouble.,Edward! Who is it?,"Edward: Don't worry about it, Jack. I've got it under control.",Puzzled,MS09CabotHouseIntroUninvited
Scene,SceneDialogue,Custom,,"Edward: Don't worry about it, Jack. I've got it under control.","Edward, don't be so hasty. I like the look of this lady.",Edward:,jovially / Friendly,MS09CabotHouseIntroUninvited
Scene,SceneDialogue,Custom,,"Edward: Don't worry about it, Jack. I've got it under control.","Edward, don't be so hasty. I like the look of this fellow.",Edward:,jovially / Friendly,MS09CabotHouseIntroUninvited
Scene,SceneDialogue,Custom,,Edward:,"Please, accept my apologies for Edward's behavior. He's just looking out for me, but sometimes he can be overzealous.",,jovially / Friendly,MS09CabotHouseIntroUninvited
Scene,SceneDialogue,Custom,,,I'm Jack Cabot. Welcome to Cabot House.,"Player Default: Pleased to meet you, Jack.",with a broad smile - you're genuinely glad to meet the player / Happy,MS09CabotHouseIntroUninvited
Scene,SceneDialogue,Custom,,"Player Default: Pleased to meet you, Jack.",Pleased to meet you. Seems like a long time since we've had a visitor.,"Jack: Edward, I think this occasion calls for drinks - the good bourbon, eh?",Friendly,MS09CabotHouseIntroUninvited
Scene,SceneDialogue,Custom,,Player Default: You'd better tell your lackey to watch himself.,"Once you know Edward better, you'll realize what a genuinely nice fellow he is.",,Amused,MS09CabotHouseIntroUninvited
Scene,SceneDialogue,Custom,,,But let's not let a momentary misunderstanding ruin the moment. It's been so long since we've had a visitor!,"Jack: Edward, I think this occasion calls for drinks - the good bourbon, eh?",Happy,MS09CabotHouseIntroUninvited
Scene,SceneDialogue,Custom,,Player Default: Now I don't know what to think.,Let's call it a misunderstanding and put it behind us.,,Friendly,MS09CabotHouseIntroUninvited
Scene,SceneDialogue,Custom,,,"Now come in, make yourself at home. It seems like we haven't had a visitor in ages!","Jack: Edward, I think this occasion calls for drinks - the good bourbon, eh?",Happy,MS09CabotHouseIntroUninvited
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: What is this place?,"This is my ancestral home. The Cabots have always lived here, since long before the Great War.",,grandly / Friendly,MS09CabotHouseIntroUninvited
Miscellaneous,Miscellaneous,SharedInfo,,,"If you're asking what we're still doing here, with Boston in its current sad state, well... that's a story for another time, perhaps.","Jack: Edward, I think this occasion calls for drinks - the good bourbon, eh?",Somber,MS09CabotHouseIntroUninvited
Scene,SceneDialogue,Custom,,Player Default: Pleased to meet you. Seems like a long time since we've had a visitor.,"Edward, I think this occasion calls for drinks - the good bourbon, eh?","Jack: Come on, this way. There's no need to stand talking in the front hall like savages.",MARK FOR RE-RECORD. / Happy,MS09CabotHouseIntroUninvited
Scene,SceneDialogue,Custom,,"Jack: Edward, I think this occasion calls for drinks - the good bourbon, eh?","Come on, this way. There's no need to stand talking in the front hall like savages.",,Friendly,MS09CabotHouseIntroUninvited
Scene,SceneDialogue,Custom,,"Player Default: I'm sorry, Jack, but... Lorenzo is dead.",What? How...? That's... I can hardly believe it. I don't know what to say.,,Surprised,MS09Mission3EndingLorenzoDead
Scene,SceneDialogue,Custom,,,You'll have to give me a moment.,"Wilhelmina: My god, what does this mean, Jack?",Sad,MS09Mission3EndingLorenzoDead
Scene,SceneDialogue,Custom,,"emogeneYoung: I'm happy he's dead. He was going to kill us, wasn't he? And to be fair, we had it coming.","Ignore her, mother. She's just trying to provoke you.",Jack: What it means is that we don't have to worry about Lorenzo coming here to kill us.,Tired,MS09Mission3EndingLorenzoDead
Scene,SceneDialogue,Custom,,"Jack: Ignore her, mother. She's just trying to provoke you.",What it means is that we don't have to worry about Lorenzo coming here to kill us.,,Tired,MS09Mission3EndingLorenzoDead
Scene,SceneDialogue,Custom,,,And also that we're all going to have to learn to do without the serum. Our little taste of immortality is over.,,Somber,MS09Mission3EndingLorenzoDead
Scene,SceneDialogue,Custom,,Lorenzo: Ahh. At long last. You did the right thing. You'll see.,"Father, don't do this.","Lorenzo: Too late, Jack. Why don't you wait there so that we can have that little chat that's so long overdue.",Afraid,MS09ParsonsBossRoomFreeLorenzo
Scene,SceneDialogue,Custom,,Lorenzo: That's it. I can feel my strength returning. Now I will finally be free!,There's still one chance... I just need a moment to enter the failsafe codes...,Lorenzo: Don't listen to my son. He's the crazy one. You know this. Look at what he's done to me.,Afraid,MS09ParsonsBossRoomScene01
Scene,SceneDialogue,Custom,,Lorenzo: That's it. I can feel my strength returning. Now I will finally be free!,Kill them quickly!,Lorenzo: Don't listen to my son. He's the crazy one. You know this. Look at what he's done to me.,Afraid,MS09ParsonsBossRoomScene01
Scene,SceneDialogue,Custom,,Lorenzo: That's it. I can feel my strength returning. Now I will finally be free!,"We can still stop him, if you act quickly.",Lorenzo: Don't listen to my son. He's the crazy one. You know this. Look at what he's done to me.,Afraid,MS09ParsonsBossRoomScene01
Scene,SceneDialogue,Custom,,Lorenzo: That's it. I can feel my strength returning. Now I will finally be free!,Hurry! It won't be long before nothing can hold him!,Lorenzo: Don't listen to my son. He's the crazy one. You know this. Look at what he's done to me.,Afraid,MS09ParsonsBossRoomScene01
Scene,SceneDialogue,Custom,,,What a mess. Let's hope we can find a way through.,Jack: The utility elevator is on the bottom floor. Come on.,Concerned,MS09Mission3ParsonsInterior03
Scene,SceneDialogue,Custom,,Jack: What a mess. Let's hope we can find a way through.,The utility elevator is on the bottom floor. Come on.,Jack: Good. The old utility elevator is still working.,Confident,MS09Mission3ParsonsInterior03
Scene,SceneDialogue,Custom,,"Lorenzo: Hello, Jack. It's been a long time since I've had the pleasure of a personal visit.",Father. I will stop this.,"Lorenzo: My powers have grown, Jack. The artifact still has so much to teach me. Once I am free, I will be happy to teach you, too.",Stern,MS09Mission3ParsonsInterior05
Scene,SceneDialogue,Custom,,"Lorenzo: My powers have grown, Jack. The artifact still has so much to teach me. Once I am free, I will be happy to teach you, too.",You know I can't let you out until I can remove the artifact.,Jack: Let me see... Lucifer's balls. They've locked down all the security doors.,Stern,MS09Mission3ParsonsInterior05
Scene,SceneDialogue,Custom,,Wilhelmina: Why can't you be as devoted as dear Edward?,*sigh*,Jack: You shouldn't indulge her Edward. It just makes her more impossible to deal with next time.,"heavy sigh of exasperation as you watch your annoying mother walk off, having gotten exactly what she wanted / Irritated",MS09CabotHouseMission2Main
Scene,SceneDialogue,Custom,,Jack: We need to get to my office. From there we can see how bad things really are.,"Okay. Stick close, follow my orders, and I'm sure everything will be fine. Let's go.",,Stern,MS09Mission3ParsonsExterior01
Scene,SceneDialogue,Custom,,Jack: This will take us to the basement.,Come on. This is the only way down.,,,MS09Mission3ParsonsInterior03
Scene,SceneDialogue,Custom,,Jack: This will take us to the basement.,Over here.,,,MS09Mission3ParsonsInterior03
Scene,SceneDialogue,Custom,,Jack: This will take us to the basement.,Let's go.,,Irritated,MS09Mission3ParsonsInterior03
Scene,SceneDialogue,Custom,,Jack: The utility elevator is on the bottom floor. Come on.,Good. The old utility elevator is still working.,Jack: This will take us to the basement.,Stern,MS09Mission3ParsonsInterior03
Scene,SceneDialogue,Custom,,Player Default: You're right. I should have listened to you back at Parsons.,You did come back to help. I'll give you that much.,Jack: At least nobody died. A small miracle really.,Tired,MS09Mission3CabotHouseEndJack01
Scene,SceneDialogue,Custom,,Player Default: Don't forget. I didn't have to come back here to help you.,That's true. And things could have turned out much worse than they did.,Jack: At least nobody died. A small miracle really.,Tired,MS09Mission3CabotHouseEndJack01
Scene,SceneDialogue,Custom,,Player Default: At least nobody died.,"That's true. A small miracle, really... and I do realize you didn't have to come back to help us.",Player Default: I'm sorry about Lorenzo.,,MS09Mission3CabotHouseEndJack01
Scene,SceneDialogue,Custom,,Player Default: At least nobody died.,That's true. It's a terrible shame about Edward though... he'd been with me for a long time.,,,MS09Mission3CabotHouseEndJack01
Scene,SceneDialogue,Custom,,,But at least my family is safe.,Player Default: I'm sorry about Lorenzo.,,MS09Mission3CabotHouseEndJack01
Scene,SceneDialogue,Custom,,Player Default: At least nobody died.,You didn't know? You chose to listen to that... madman rather than me! And now... they're both...,,breaking off with grief - you can't say that your whole family has been killed / Angry,MS09Mission3CabotHouseEndJack01
Scene,SceneDialogue,Custom,,Player Default: At least nobody died.,No one would have been killed if you had just listened to me at Parsons!,,Angry,MS09Mission3CabotHouseEndJack01
Scene,SceneDialogue,Custom,,Player Default: How could I have known he would be so dangerous?,You could have listened to me! I made it very clear how important it was for you to follow my instructions!,Jack: But... it could have been worse. Much worse.,Angry,MS09Mission3CabotHouseEndJack01
Scene,SceneDialogue,Custom,,Player Default: You could have listened to me! I made it very clear how important it was for you to follow my instructions!,But... it could have been worse. Much worse.,Jack: At least nobody died. A small miracle really.,Relieved,MS09Mission3CabotHouseEndJack01
Scene,SceneDialogue,Custom,,Player Default: You could have listened to me! I made it very clear how important it was for you to follow my instructions!,"And now, because of you... my family is... dead!",,Angry,MS09Mission3CabotHouseEndJack01
