CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,,Oh god!,"Slag: Well, at least someone here had the balls.",Afraid,DN121_ForgeScenePrisonerKillPlayer
Scene,SceneDialogue,Custom,,,I'm sorry. Let me get you out of here.,,Apologetic,DN121_JakeFreePrisoner
Scene,SceneDialogue,Custom,,"Slag: You don't need them, they make you weak.",Did he really send you here to find me?,"Player Default: Yes. He's stubborn, but I think he wanted me to bring you back.",Surprised,DN121_ForgeSceneFamily
Scene,SceneDialogue,Custom,,Prisoner1: They're gonna kill me.,But- but I brought everything you asked for.,Slag: Stealing things from your family farm doesn't prove your strength boy.,Afraid,DN121_ForgeScene
Scene,SceneDialogue,Custom,,Slag: Kill that prisoner and prove that you aren't completely useless.,You said we'd be raiding outside of the Commonwealth. These people aren't even a threat to us!,Slag: Prove to me that you can kill. It's him or you.,Disbelief,DN121_ForgeScene
Scene,SceneDialogue,Custom,,"Player Default: Walk away Jake, you don't have to do this.",But if I don't they'll kill me.,"Player Default: Walk away Jake, you don't have to do this.",Afraid,DN121_ForgeScene
Scene,SceneDialogue,Custom,,"Player Default: Walk away Jake, you don't have to do this.","They'll come after my family if I don't. I'm sorry, but I've got no choice.","Jake: There, I did what you asked. God I think I'm going to be sick",Apologetic,DN121_ForgeScene
Scene,SceneDialogue,Custom,,"Player Default: Walk away Jake, you don't have to do this.","You're right, I don't want to do this.","Jake: I don't want to join the Forged, I just want to go home.",Defiant,DN121_ForgeScene
Scene,SceneDialogue,Custom,,"Player Default: Kill him, Jake. You've got no choice.",I didn't want it to be this way.,"Jake: There, I did what you asked. God I think I'm going to be sick",Apologetic,DN121_ForgeScene
Scene,SceneDialogue,Custom,,"Player Default: Kill him, Jake. You've got no choice.",He's not even armed!,"Slag: If you aren't strong enough to kill, then you aren't worth our time. Now do it!",Pleading,DN121_ForgeScene
Scene,SceneDialogue,Custom,,"Player Default: Kill him, Jake. You've got no choice.",No! I'm sorry but I'm not going to do this.,"Jake: I don't want to join the Forged, I just want to go home.",Defiant,DN121_ForgeScene
Scene,SceneDialogue,Custom,,Player Default: Can we move this along? I've got places to be.,I just wanted to provide for my family.,,Pleading,DN121_ForgeScene
Scene,SceneDialogue,Custom,,,I don't know if I can do this.,"Slag: Last chance, Jake. If you don't kill the prisoner before I count to three it's over.",Pleading,DN121_ForgeScene
Scene,SceneDialogue,Custom,,Player Default: What about your family? Is this what Abraham would want you to do?,I thought he hated me. Did- did he send you here to find me?,"Player Default: Yes. He's stubborn, but I think he wanted me to bring you back.",Puzzled,DN121_ForgeScene
Scene,SceneDialogue,Custom,,Player Default: What about your family? Is this what Abraham would want you to do?,Shooting someone in a gunfight one thing but this...,"Slag: What's it gonna be, Jake?",Disgust,DN121_ForgeScene
Scene,SceneDialogue,Custom,,Player Default: What about your family? Is this what Abraham would want you to do?,I thought if I joined up I could protect my family from raids.,"Jake: I don't want to join the Forged, I just want to go home.",Worried,DN121_ForgeScene
Scene,SceneDialogue,Custom,,Slag: Prove to me that you can kill. It's him or you.,"Oh god, what do I do, what do I do?","Player Default: Walk away Jake, you don't have to do this.","Stage whisper. To himself with a hint of panic, he doesn't want to kill this person. / Nervous",DN121_ForgeScene
Scene,SceneDialogue,Custom,,,"There, I did what you asked. God I think I'm going to be sick",Slag: Good. Now - kill the stranger.,Depressed,DN121_ForgeScenePrisonerKill
Scene,SceneDialogue,Custom,,"Player Default: Yes. He's stubborn, but I think he wanted me to bring you back.",You're right.,"Jake: I don't want to join the Forged, I just want to go home.",Thinking,DN121_ForgeSceneFamily
Scene,SceneDialogue,Custom,,"Player Default: Yes. He's stubborn, but I think he wanted me to bring you back.","No, he told me to never come home. You're lying.","Jake: There, I did what you asked. God I think I'm going to be sick",Disbelief,DN121_ForgeSceneFamily
Scene,SceneDialogue,Custom,,"Player Default: No, he just wants the sword back.","Well, I guess that's it then. No going back now.","Jake: There, I did what you asked. God I think I'm going to be sick",Sad,DN121_ForgeSceneFamily
Scene,SceneDialogue,Custom,,Player Default: Not exactly. But there is still time to turn things around.,"You're right. It won't be easy, but I can still make things right.","Jake: I don't want to join the Forged, I just want to go home.",Relieved,DN121_ForgeSceneFamily
Scene,SceneDialogue,Custom,,Player Default: Not exactly. But there is still time to turn things around.,"No, it's too late. He'll never forgive me. Not now.","Jake: There, I did what you asked. God I think I'm going to be sick",Depressed,DN121_ForgeSceneFamily
Scene,SceneDialogue,Custom,,Player Default: What happened between you two?,Just- I don't know. I just can't ever manage to live up to his expectations.,"Slag: You don't need them, they make you weak.",Irritated,DN121_ForgeSceneFamily
Scene,SceneDialogue,Custom,,Player Default: What happened between you two?,Dad was right.,"Jake: I don't want to join the Forged, I just want to go home.",Worried,DN121_ForgeSceneFamily
Scene,SceneDialogue,Custom,,"MaleEvenToned: Wait wait! I'm sorry, I messed up! I panicked!","Please, I didn't want to hurt anyone. I just want to go home.",Player Default: It's not your fault. It was him or you.,Pleading,DN121_JakeSurrender
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: It's not your fault. It was him or you.,"I- I know, but I just wish there had been another way.","Jake: Look, I should probably try to go home and make amends. I know I've got no right to ask...",Somber,DN121_JakeSurrender
Scene,SceneDialogue,Custom,,Player Default: I can't let you live after you murdered that man.,"I made a mistake, but I'm not just going to let you kill me!",,Afraid,DN121_JakeSurrender
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: I can't let you live after you murdered that man.,"I- Yeah, you're right. I just need to learn to carry that.","Jake: Look, I should probably try to go home and make amends. I know I've got no right to ask...",Depressed,DN121_JakeSurrender
Miscellaneous,Miscellaneous,SharedInfo,,"Player Default: I don't have time for this, where are the dampening coils?",Dampening Coils? They're in the generator by the big furnace. I'll show you where they are.,"Jake: Come on, follow me. The generator is just over this way.",Puzzled,DN121_JakeSurrender
Miscellaneous,Miscellaneous,SharedInfo,,"Player Default: I don't have time for this, where are the dampening coils?",Yeah... well... I just...,,Apologetic,DN121_JakeSurrender
Miscellaneous,Miscellaneous,SharedInfo,,,I thought we'd be raiding outside of the Commonwealth and that if I joined them I could provide for my family...,,Apologetic,DN121_JakeSurrender
Miscellaneous,Miscellaneous,SharedInfo,,,"I don't know. God, my dad's right. I'm such an idiot.","Jake: Look, I should probably try to go home and make amends. I know I've got no right to ask...",Depressed,DN121_JakeSurrender
Scene,SceneDialogue,Custom,,,"Look, I should probably try to go home and make amends. I know I've got no right to ask...",,Jake may or may not have killed someone before this so it should feel pretty remorseful / Nervous,DN121_JakeToFarm
Scene,SceneDialogue,Custom,,,"But I think if you're there to help explain, things with my Dad would go easier.","Jake: I bet if you bring my Great Granddad's sword, he'll make it worth your while. He always tries to deal fair with people.",Worried,DN121_JakeToFarm
Scene,SceneDialogue,Custom,,"Jake: I bet if you bring my Great Granddad's sword, he'll make it worth your while. He always tries to deal fair with people.",I'll wait for you by the overpass near the farm.,,Grateful,DN121_JakeToFarm
Scene,SceneDialogue,Custom,,"Jake: But I think if you're there to help explain, things with my Dad would go easier.","I bet if you bring my Great Granddad's sword, he'll make it worth your while. He always tries to deal fair with people.",Jake: I'll wait for you by the overpass near the farm.,Thinking,DN121_JakeToFarm
Scene,SceneDialogue,Custom,,Player Default: It's not your fault. It was him or you.,I don't know what I was thinking trying to join them...,"Jake: Look, I should probably try to go home and make amends. I know I've got no right to ask...",,DN121_JakeReturnLoop
Scene,SceneDialogue,Custom,,Player Default: Whatever.,"Still mad at me, huh? I can't really blame you.","Jake: Look, I should probably try to go home and make amends. I know I've got no right to ask...",,DN121_JakeReturnLoop
