CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: All right, brainbox. Ivey wants me to find out what makes you tick, so let's get started.",There's no need for that. I'm certain we can discuss this rather unfortunate situation before it gets completely out of hand.,,slight concern / Concerned,DLC01Hagen_HolotapeScene
Scene,SceneDialogue,Custom,,,"Now, what exactly did this ""Ivey"" tell you to do?",Player Default: Simple. She wants me to crack open that dome you have for a head and find out how your brain is connected to your circuits.,Question,DLC01Hagen_HolotapeScene
Scene,SceneDialogue,Custom,,Player Default: Simple. She wants me to crack open that dome you have for a head and find out how your brain is connected to your circuits.,"Perhaps I can be of assistance in that regard... after all, there isn't much else I can do now that you've removed my head from its chassis.",,annoyed / Irritated,DLC01Hagen_HolotapeScene
Scene,SceneDialogue,Custom,,,How about we forge some sort of an accord... just between the two of us?,"Player Default: What the hell is an ""accord?"" You talking about wires or something?",Question,DLC01Hagen_HolotapeScene
Scene,SceneDialogue,Custom,,"Player Default: What the hell is an ""accord?"" You talking about wires or something?",Right... I need to phrase this so even a dullard like you would understand...,,"To self, aloud (under breath but audible) / Thinking",DLC01Hagen_HolotapeScene
Scene,SceneDialogue,Custom,,,"Let me put it this way. You need information that's going to make your boss happy. I want to keep my brain in one piece. Maybe we can ""cut a deal.""",Player Default: Fine. I'm listening.,Confident,DLC01Hagen_HolotapeScene
Scene,SceneDialogue,Custom,,Player Default: Fine. I'm listening.,"I'll tell you everything I know about my own construction... all the bits that ""Ivey"" wants to hear. And I promise you, she won't be disappointed.",,Confident,DLC01Hagen_HolotapeScene
Scene,SceneDialogue,Custom,,,"In return, you keep those tools away from me and put me back onto my body.",,Confident,DLC01Hagen_HolotapeScene
Scene,SceneDialogue,Custom,,,"You get what you want, and I don't get dissected like some kind of a laboratory experiment.",,Irritated,DLC01Hagen_HolotapeScene
Scene,SceneDialogue,Custom,,,Do we have a deal?,"Player Default: Well, that would save me a lot of time... and Ivey doesn't like waiting...",Question,DLC01Hagen_HolotapeScene
Scene,SceneDialogue,Custom,,Player Default: How's that for a deal?,"Sigh. I suppose it will have to suffice... I mean... yeah, it's a deal.",,correcting yourself midstream since the other person is kind of slow / Irritated,DLC01Hagen_HolotapeScene
Combat,Combat,AvoidThreat,,,Minions! Scatter!,,,
Combat,Combat,AvoidThreat,,,"Beware, my minions!",,,
Combat,Combat,AvoidThreat,,,"Minions! Evasive action, now!",,,
Combat,Combat,CoverMe,,,Minions! Protecting me is your highest priority!,,,
Combat,Combat,CoverMe,,,"To me, my metal minions!",,,
Combat,Combat,OrderFlank,,,Minions! Flank them!,,,
Combat,Combat,OrderFlank,,,"Minions, find a way to get behind them!",,,
Combat,Combat,OrderFlank,,,"Frontal assault is not the best option here, my minions.",,,
Combat,Combat,OrderMoveUp,,,Minions! Forward!,,,
Combat,Combat,OrderMoveUp,,,"Charge, my minions! For the Mechanist!",,,
Combat,Combat,OrderMoveUp,,,"Forward, my metal minions!",,,
Combat,Combat,OrderTakeCover,,,Minions! Take cover!,,,
Combat,Combat,OrderTakeCover,,,"Find cover, my minions!",,,
Combat,Combat,OrderTakeCover,,,We will all be destroyed if we don't find cover!,,,
Combat,Combat,SuppressiveFire,,,Minions! Suppress that fire!,,,
Combat,Combat,SuppressiveFire,,,"Minions, keep his head down while I deal with him.",,,
Combat,Combat,SuppressiveFire,,,"Minions, keep her head down while I deal with her.",,,
Combat,Combat,SuppressiveFire,,,Concentrate fire over there!,,,
Combat,Combat,AcceptYield,,,I'm really glad we could avoid any unpleasantness.,,,
Combat,Combat,Assault,,,If that's the way you want it.,,,
Combat,Combat,Attack,,,Let's get... intimate.,,,
Combat,Combat,Attack,,,I'd really prefer you don't bleed on me.,,,
Combat,Combat,Attack,,,I can see the fear in your eyes. It's very unsettling.,,,
Combat,Combat,Attack,,,"You know, I'm just as capable at killing you up close.",,,
Combat,Combat,Death,,,Tell the Mechanist I did my best...,,Needs to be edited in audio to trail off/malfunction,
Combat,Combat,Death,,,Oh. Oh my.,,,
Combat,Combat,Death,,,Well now. That's unfortunate.,,,
Combat,Combat,Death,,,And now I die...,,Needs to be edited in audio to trail off/malfunction,
Combat,Combat,PickpocketCombat,,,Picking my pocket? Silly dear - I don't have pockets.,,,
Combat,Combat,Steal,,,Nobody likes a thief.,,,
Combat,Combat,Steal,,,"My my. Sticky fingers, is it?",,,
Combat,Combat,Steal,,,You always take things that aren't yours?,,,
Combat,Combat,Taunt,,,"Minions, destroy him!",,,
Combat,Combat,Taunt,,,"Minions, destroy her!",,,
Combat,Combat,Taunt,,,"Trust me, this is for the best.",,,
Combat,Combat,Taunt,,,The Mechanist has ordered me to clean up the Commonwealth.,,,
Combat,Combat,Taunt,,,Don't let any of them get away. It will just prolong the agony.,,,
Combat,Combat,Taunt,,,I'm just carrying out my orders. I'm sure you understand.,,,
Combat,Combat,Taunt,,,The Mechanist has sent us to protect the Commonwealth.,,,
Combat,Combat,Taunt,,,"The best way to protect you is to destroy you. I promise, it all makes perfect sense.",,,
Combat,Combat,Taunt,,,"Sorry, but the Mechanist's orders require your destruction.",,,
Combat,Combat,Taunt,,,I normally abhor violence. But you've forced my hand.,,,
Combat,Combat,Taunt,,,"You could run. I am trying to kill you, you know...",,,
Combat,Combat,Taunt,,,Please believe me when I say I'm not enjoying this.,,,
Combat,Combat,Taunt,,,"I calculate your chance of success to be... Well, I don't want to be morbid.",,,
Combat,Combat,Taunt,,,"I'm not programmed to fail, just so you know...",,,
Combat,Combat,Taunt,,,"They could have programmed me to love, to forgive. But noooooo.",,,
Combat,Combat,Taunt,,,"I'm sorry, but my programming requires that I try to kill you. Nothing personal.",,,
Combat,Combat,Taunt,,,I hope we can still be friends when this is all over.,,,
Combat,Combat,Taunt,,,I'll miss you.,,,
Combat,Combat,Taunt,,,Don't let the alluring voice fool you. I'm a lethal killing machine.,,,
Combat,Combat,Taunt,,,"I'm a much better tactician than you. It's all in the brain, you see.",,,
Combat,Combat,Taunt,,,You may want to run now.,,,
Combat,Combat,Taunt,,,You truly inspire me. To use deadly force.,,,
Combat,Combat,CrippledLimb,,,Going right for the brain? How unsporting.,,,
Combat,Combat,CrippledLimb,,,"You can slow me down, but you'll never stop me.",,,
Combat,Combat,OrderFallback,,,You know what? I think I'll just move over here.,,,
Combat,Combat,OrderFallback,,,I'm starting to think I may be outmatched.,,,
Combat,Combat,OrderFallback,,,I'm not running away - I'm withdrawing. Big difference.,,,
Combat,Combat,OrderFallback,,,Minions! Tactical withdrawal!,,,
Combat,Combat,OrderFallback,,,"I've analyzed the situation, and a withdrawal is required.",,,
Combat,Combat,OrderFallback,,,"Follow me, my minions! Victory requires a tactical readjustment.",,,
Combat,Combat,AllyKilled,,,Nobody likes a robot killer.,,"Gives a ""tsk tsk"" before speaking the line.",
Combat,Combat,AllyKilled,,,How sad. I'll be sure to mourn them after you're dead.,,,
Detection,Detection,AlertIdle,,,Report any sensor contact immediately!,,,
Detection,Detection,AlertIdle,,,"If I don't find you, my minions will.",,,
Detection,Detection,AlertIdle,,,We will find you. Our orders do not allow us to ignore any chance to help.,,,
Detection,Detection,AlertIdle,,,Marco! Come on... this only works if you play too.,,"Pause after the ""Marco!"" Like you're waiting to see if the other person will respond.",
Detection,Detection,AlertIdle,,,There's no point in trying to hide from me. I'm programmed to be quite relentless.,,,
Detection,Detection,AlertIdle,,,"Ooh, I love hide and seek. I'll be ""it""... and you'll be dead.",,,
Detection,Detection,AlertIdle,,,"Wow, you're good. Have you had training as a ninja?",,,
Detection,Detection,AlertIdle,,,"I'll find you eventually, you know.",,,
Detection,Detection,AlertIdle,,,Why hide? Are you some kind of chicken? Bawk bawk...,,,
Detection,Detection,AlertIdle,,,"You know, I am a robot. With sensors. It's not like you can stay hidden forever.",,"emphasis on the ""am""",
Detection,Detection,AlertToCombat,,,Boo!,,,
Detection,Detection,AlertToCombat,,,Peek-a-boo!,,,
Detection,Detection,AlertToCombat,,,Gotcha!,,,
Detection,Detection,AlertToCombat,,,"Not as sneaky as you thought, huh?",,,
Detection,Detection,AlertToCombat,,,"Jig's up, I'm afraid.",,,
Detection,Detection,AlertToCombat,,,Well hey there!,,,
Detection,Detection,AlertToCombat,,,Look who's terrible at sneaking.,,,
Detection,Detection,AlertToCombat,,,This is going to hurt you a lot more than me.,,,
Detection,Detection,AlertToCombat,,,I really hope your will's up to date.,,,
Detection,Detection,AlertToCombat,,,Well. Time to die.,,,
Detection,Detection,AlertToCombat,,,"Hey, what comes next? I apologize in advance.",,,
Detection,Detection,AlertToCombat,,,Try not to bleed on the chrome. It's sooo difficult to remove.,,,
Detection,Detection,AlertToCombat,,,I think this is the part where you run screaming.,,,
Detection,Detection,AlertToCombat,,,You may want to run now.,,,
Detection,Detection,AlertToCombat,,,"I believe they call this ""suicide by robot.""",,,
Detection,Detection,AlertToNormal,,,Weird. Must be radroaches.,,,
Detection,Detection,AlertToNormal,,,Stupid sensors. So unreliable...,,Sighs before speaking the line.,
Detection,Detection,AlertToNormal,,,"I'm hearing things, then I'm not. Can a robot go crazy? Because I swear, I'm going crazy.",,,
Detection,Detection,AlertToNormal,,,Nope. Nothing.,,,
Detection,Detection,AlertToNormal,,,Sensors on the fritz again. Lovely.,,,
Detection,Detection,AlertToNormal,,,Aannndd.... nothing.,,,
Detection,Detection,CombatToLost,,,Minions! Spread out and find him!,,,
Detection,Detection,CombatToLost,,,Minions! Spread out and find her!,,,
Detection,Detection,CombatToLost,,,"Minions, initiate search pattern.",,,
Detection,Detection,CombatToLost,,,Very well. We will find you sooner or later.,,,
Detection,Detection,CombatToLost,,,"Attention, my minions! Initiate search protocol!",,,
Detection,Detection,CombatToLost,,,"My orders from the Mechanist require that I help everyone, no exceptions.",,,
Detection,Detection,CombatToLost,,,Do you want to fight or not? Please make up your mind.,,,
Detection,Detection,CombatToLost,,,You vanished! Neat trick.,,,
Detection,Detection,CombatToLost,,,"Okay, how did you do that? Stealth Boy? Or are you just naturally sneaky?",,,
Detection,Detection,CombatToLost,,,Whoa. Where did you go?,,,
Detection,Detection,CombatToLost,,,Leaving so soon?,,,
Detection,Detection,CombatToNormal,,,Looks like that's enough excitement for one day.,,,
Detection,Detection,CombatToNormal,,,Is that it? I was just starting to have fun.,,,
Detection,Detection,CombatToNormal,,,And just like that... it's over.,,,
Detection,Detection,LostIdle,,,Nothing yet? Any of you?,,,
Detection,Detection,LostIdle,,,I need to have the Mechanist improve your sensors.,,,
Detection,Detection,LostIdle,,,Find him!,,,
Detection,Detection,LostIdle,,,Find her!,,,
Detection,Detection,LostIdle,,,The Mechanist will send you all to the scrap heap if you fail again.,,,
Detection,Detection,LostIdle,,,"Come on, you useless metal junkpiles. Don't let a mere human evade you.",,,
Detection,Detection,LostIdle,,,Don't hide. We're just trying to help.,,,
Detection,Detection,LostIdle,,,I'm gonna fiiiindd yoooouu...,,Playful,
Detection,Detection,LostIdle,,,"Oooh, this is fun.",,,
Detection,Detection,LostIdle,,,"Come out, come out, wherever you arrrreee...",,sing song,
Detection,Detection,LostIdle,,,Now where could you be...,,,
Detection,Detection,LostIdle,,,Are you still there? Oh wait... I know you are.,,,
Detection,Detection,LostIdle,,,"Now if I were a stupid, suicidal meat bag, where would I hide...?",,,
Detection,Detection,LostToCombat,,,"Get up and run, you fool!",,,
Detection,Detection,LostToCombat,,,"Sneak time's over, don't you think?",,,
Detection,Detection,LostToCombat,,,Well look who I found.,,,
Detection,Detection,LostToCombat,,,"You tried hiding, I found you, and now you'll die. Circle complete.",,,
Detection,Detection,LostToCombat,,,Wow. You're pretty terrible at this whole sneaking thing.,,,
Detection,Detection,LostToCombat,,,Found you!,,,
Detection,Detection,LostToCombat,,,"Oh, hello.",,,
Detection,Detection,LostToCombat,,,You had your chance to run. You blew it.,,,
Detection,Detection,LostToCombat,,,You didn't seriously think you could slip away?,,,
Detection,Detection,LostToCombat,,,"Let's try this again, shall we?",,,
Detection,Detection,LostToCombat,,,"Okay, that's it. Play time's over.",,,
Detection,Detection,LostToCombat,,,Now you did it. You got me... flummoxed.,,,
Detection,Detection,LostToNormal,,,Oh well. Maybe next time you'll introduce yourself.,,,
Detection,Detection,LostToNormal,,,Fine. Be like that.,,,
Detection,Detection,LostToNormal,,,So that's it? Taking your ball and going home?,,,
Detection,Detection,LostToNormal,,,Ah well. Maybe next time.,,,
Detection,Detection,LostToNormal,,,Well. Someone gets to live a little while longer.,,,
Detection,Detection,LostToNormal,,,Boring fight anyway...,,,
Detection,Detection,NormalToAlert,,,Hello?,,,
Detection,Detection,NormalToCombat,,,Threat detected! Kill! Kill! Kill!,,,
Detection,Detection,NormalToLost,,,Huh. Strange. Must have been a sensor blip.,,,
Miscellaneous,Miscellaneous,Idle,,,The Mechanist's orders leave no room for mercy.,,,
Miscellaneous,Miscellaneous,Idle,,,So much to do.,,,
Miscellaneous,Miscellaneous,Idle,,,The Mechanist will be pleased with my progress.,,,
Miscellaneous,Miscellaneous,Idle,,,Who else needs my help?,,,
Miscellaneous,Miscellaneous,Idle,,,I hope I find someone else to assist soon.,,,
Miscellaneous,Miscellaneous,Idle,,,The Mechanist has sent me to help.,,,
Scene,SceneDialogue,Custom,,"Player Default: I'm sorry you feel that way, it's the best I could do.","Yes, well it's certainly better than being stuck to a machine surrounded by Rust Devils poking and prodding me for their amusement.","DLC01MQ04JezebelBuilt: Look... it's obvious we don't care for each other's company, which suits me just fine.",Irritated,DLC01MQ04_Stage200_JezebelScene
Scene,SceneDialogue,Custom,,"Player Default: I risked my neck saving you, so a little more gratitude wouldn't hurt.","If the phrase ""thank you"" will allow us to get to conclude our bargain more rapidly, then I'm more than happy to utter it aloud on your behalf.","DLC01MQ04JezebelBuilt: Look... it's obvious we don't care for each other's company, which suits me just fine.",Irritated,DLC01MQ04_Stage200_JezebelScene
Scene,SceneDialogue,Custom,,"Player Default: Well, I was going to connect your head to Liberty Prime's body, but I decided to do a little arts and crafts instead. Disappointed?","If you're attempting to use sarcasm as an intimidation tactic, I'm afraid you're wasting your time.","DLC01MQ04JezebelBuilt: Look... it's obvious we don't care for each other's company, which suits me just fine.",Irritated,DLC01MQ04_Stage200_JezebelScene
Scene,SceneDialogue,Custom,,Player Default: What kind of a body were you expecting?,"Considering I look like a junkbot that's been hastily welded together by an amateur, I'd say almost anything else would have been better.",,Irritated,DLC01MQ04_Stage200_JezebelScene
Scene,SceneDialogue,Custom,,,"However, I suppose I shouldn't be surprised given your limited skill set derived from your equally diminished intelligence.","Player Default: I'm sorry you feel that way, it's the best I could do.",Irritated,DLC01MQ04_Stage200_JezebelScene
Scene,SceneDialogue,Custom,,"Player Default: Yes, well it's certainly better than being stuck to a machine surrounded by Rust Devils poking and prodding me for their amusement.","Look... it's obvious we don't care for each other's company, which suits me just fine.",,Irritated,DLC01MQ04_Stage200_JezebelScene
Scene,SceneDialogue,Custom,,,"So, why don't you ask me everything you wanted to know and then I'll be on my way.",Player Default: Tell me everything you know about the Mechanist.,Irritated,DLC01MQ04_Stage200_JezebelScene
Scene,SceneDialogue,Custom,,Player Default: Tell me everything you know about the Mechanist.,Now there's a fascinating subject... The Mechanist.,"DLC01MQ04JezebelBuilt: Amazingly adept at programming, a veritable genius with electronics. I'm not surprised you're interested.",Impressed,DLC01MQ04_Stage200_JezebelScene
Scene,SceneDialogue,Custom,,Player Default: I can't think of anything to ask right now.,"Take your time. Given your limited lifespan, I certainly have far more than you do.","DLC01MQ04JezebelBuilt: Amazingly adept at programming, a veritable genius with electronics. I'm not surprised you're interested.",Sarcastic,DLC01MQ04_Stage200_JezebelScene
Scene,SceneDialogue,Custom,,Player Default: Why did General Atomics make you so... uncooperative?,I haven't the faintest idea of what you're talking about.,,Irritated,DLC01MQ04_Stage200_JezebelScene
