CATEGORY,TYPE,SUBTYPE,PROMPT,DIALOGUE BEFORE,RESPONSE TEXT,DIALOGUE AFTER,SCRIPT NOTES,SCENE
Scene,SceneDialogue,Custom,,"Player Default: Yeah, if our places were reversed, I'd probably want the same thing.",Then I trust you will honor my wish.,"Sierra: You can't kill him! He's a great man! He invented Nuka-Cola, the best thing in the world!",,DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,Player Default: There's got to be a better solution than killing you.,"That's easy for you to say, standing there on your own two legs, able to go where you wish and do what you want.","Sierra: You can't kill him! He's a great man! He invented Nuka-Cola, the best thing in the world!",,DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,"Player Default: Come on, you're a disembodied head trapped in a vault. You've got so much to live for!","Despite your obvious sarcasm, you clearly recognize my situation for the living hell that it is.","Sierra: You can't kill him! He's a great man! He invented Nuka-Cola, the best thing in the world!",,DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,Player Default: Are you really sure that you want to die?,I've had plenty of time to think about it.,"Sierra: You can't kill him! He's a great man! He invented Nuka-Cola, the best thing in the world!",,DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,"Player Default: I'm not shutting off the power. With Sierra to keep you company, I think you'll both be happier.","What?! Will you not respect the wishes of a man who has suffered the way I have? Please, I beg you to reconsider!",,Surprised and disappointed / Angry,DLC04MS01_BradbertonDecideScene
Scene,SceneDialogue,Custom,,Player Default: I'll do it. I'll shut off the power.,Thank you.,,Grateful,DLC04MS01_BradbertonDecideScene
Scene,SceneDialogue,Custom,,,"Now please do get on with it. I'm ready. I've been ready for a long, long time.",,,DLC04MS01_BradbertonDecideScene
Scene,SceneDialogue,Custom,,Player Default: I haven't decided yet.,I see. I can only hope your sense of compassion compels you to do the right thing. I've been a prisoner long enough.,,"Weary, helpless / Tired",DLC04MS01_BradbertonDecideScene
Scene,SceneDialogue,Custom,,Player Default: What about Sierra's offer to keep you company? Wouldn't that help?,"I admit I'm flattered by her admiration, but I'm so tired, in ways that words could not explain.",,"Weary, despondent / Tired",DLC04MS01_BradbertonDecideScene
Scene,SceneDialogue,Custom,,,"I've lived far too long already, and I'm prepared to move on.",,Tired,DLC04MS01_BradbertonDecideScene
Scene,SceneDialogue,Custom,,,I await your decision.,"Player Default: I'm not shutting off the power. With Sierra to keep you company, I think you'll both be happier.",Tired,DLC04MS01_BradbertonDecideScene
Scene,SceneDialogue,Custom,,"Sierra: You can't kill him! He's a great man! He invented Nuka-Cola, the best thing in the world!","Young lady, you don't know what a torment it is, being trapped here alone and staring at the same wall, decade after decade.",,"Bitter, sad / Sad",DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,,Now please shut up while I talk to your more rational friend here,"BradbertonsHead: I realize that what I'm asking isn't easy, but there's something in it for you.",Getting annoyed / Irritated,DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,BradbertonsHead: Now please shut up while I talk to your more rational friend here,"I realize that what I'm asking isn't easy, but there's something in it for you.",,,DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,,"When the power is cut, the door to the prototype storage room will open automatically. Take anything you want. I don't care anymore.",,"Despair, sadness / Sad",DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,,Just... please... set me free at last. I can't bear this loneliness any longer.,"Sierra: Wait, wait, wait! I have an idea!",,DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,"Sierra: It's one of my most treasured possessions, but... well... I'm willing to let you have it.",A Nuka-Cola jumpsuit? Hah! That's a paltry prize compared to what I'm offering.,,,DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,,"The choice is yours, but I beg you to honor my wishes. There is noone else who can help me.",,,DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,"Sierra: That's John-Caleb Bradberton! Or at least, it's his head. Wow!",Who... who are you? I haven't seen a real human face in so long. I had given up all hope.,Sierra: Oh my God! It's alive! He's alive!,"Surprised, seeing humans for the first time in decades / Surprised",DLC04MS01_SierraEnterHeadRoom
Miscellaneous,Miscellaneous,SharedInfo,,"DLC04NPCMJohnCalebBradberton: You there, with the Pip-Boy. What are you doing here?","You there, with the Pip-Boy. What are you doing here?",Player Default: We solved your Hidden Cappy contest.,"Stern, demanding / Stern",DLC04MS01_BradbertonPlayerScene
Miscellaneous,Miscellaneous,SharedInfo,,Player Default: We solved your Hidden Cappy contest.,The Hidden Cappy contest... it all seems so long ago. Another lifetime.,,"Lost in memory, wistful / Irritated",DLC04MS01_BradbertonPlayerScene
Miscellaneous,Miscellaneous,SharedInfo,,,That was before I became this monster. Before I was trapped here for centuries to suffer in solitude.,BradbertonsHead: This was General Braxton's plan all along. Damn the man!,Bitter / Irritated,DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,Player Default: This has to be a joke.,"You trespass in my private vault in my office in my amusement park, and you have the gall to treat me like some joke?",,"Angry, indignant / Angry",DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,,"Oh, what's the use. Look at me. Look at me! I'm a monster, trapped in a prison of my own making.",BradbertonsHead: This was General Braxton's plan all along. Damn the man!,,DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,Player Default: We used the contest code to get in. What the hell happened to you?,"I made a devil's bargain, though I didn't know it at the time.",BradbertonsHead: This was General Braxton's plan all along. Damn the man!,,DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,Player Default: That was before I became this monster. Before I was trapped here for centuries to suffer in solitude.,This was General Braxton's plan all along. Damn the man!,,Bemoaning your fate / Irritated,DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,,"He called it Project Cobalt. In exchange for my weapon design, he would give me access to life-extending technology.",,,DLC04MS01_BradbertonPlayerScene
Scene,SceneDialogue,Custom,,,I'm such a fool for taking him at his word. He never told me that this would be the price!,"Player Default: I can't imagine what you must have gone through. I'm truly sorry, Mister Bradberton.",Irritated,DLC04MS01_BradbertonPlayerScene
